Generation,Min,Mean,Max,Std
-1,-24.620834231570672,-24.620834231570672,-24.620834231570672,0.0
0,-19.433334002892177,-19.433334002892177,-19.433334002892177,0.0
1,-16.304167224715155,-16.304167224715155,-16.304167224715155,0.0
2,-17.95416727285677,-17.95416727285677,-17.95416727285677,0.0
3,-10.383333615182588,-10.383333615182588,-10.383333615182588,0.0
4,-9.729166933374168,-9.729166933374168,-9.729166933374168,0.0
5,-8.441666871774942,-8.441666871774942,-8.441666871774942,0.0
6,-6.591666805402686,-6.591666805402686,-6.591666805402686,0.0
7,-11.362500346343344,-11.362500346343344,-11.362500346343344,0.0
8,-10.812500319560058,-10.812500319560058,-10.812500319560058,0.0
9,-4.5333334481886896,-4.5333334481886896,-4.5333334481886896,0.0
10,-11.98333374170276,-11.98333374170276,-11.98333374170276,0.0
11,-16.004167289162677,-16.004167289162677,-16.004167289162677,0.0
12,-10.012500304612331,-10.012500304612331,-10.012500304612331,0.0
13,-5.095833420869894,-5.095833420869894,-5.095833420869894,0.0
14,-5.941666903051858,-5.941666903051858,-5.941666903051858,0.0
15,-6.383333517898184,-6.383333517898184,-6.383333517898184,0.0
16,-5.170833488266605,-5.170833488266605,-5.170833488266605,0.0
17,-4.291666902873355,-4.291666902873355,-4.291666902873355,0.0
18,-5.058333583292551,-5.058333583292551,-5.058333583292551,0.0
19,-2.562500046643739,-2.562500046643739,-2.562500046643739,0.0
20,-2.500000194646418,-2.500000194646418,-2.500000194646418,0.0
21,-7.3750001979448525,-7.3750001979448525,-7.3750001979448525,0.0
22,-0.6875002717133611,-0.6875002717133611,-0.6875002717133611,0.0
23,-4.145833621150814,-4.145833621150814,-4.145833621150814,0.0
24,-10.012500529837174,-10.012500529837174,-10.012500529837174,0.0
25,-3.808333792917741,-3.808333792917741,-3.808333792917741,0.0
26,-6.566666817098546,-6.566666817098546,-6.566666817098546,0.0
27,-7.775000757770613,-7.775000757770613,-7.775000757770613,0.0
28,-3.4041671827823543,-3.4041671827823543,-3.4041671827823543,0.0
29,-1.000000255764462,-1.000000255764462,-1.000000255764462,0.0
30,0.41249965061433613,0.41249965061433613,0.41249965061433613,0.0
31,-1.7291669697733596,-1.7291669697733596,-1.7291669697733596,0.0
32,3.9541663381193453,3.9541663381193453,3.9541663381193453,0.0
33,1.8666663607194398,1.8666663607194398,1.8666663607194398,0.0
34,-1.0125004005385563,-1.0125004005385563,-1.0125004005385563,0.0
35,-3.18666735466104,-3.18666735466104,-3.18666735466104,0.0
36,-15.470834225260964,-15.470834225260964,-15.470834225260964,0.0
37,-4.583333992670911,-4.583333992670911,-4.583333992670911,0.0
38,-0.2125002897810191,-0.2125002897810191,-0.2125002897810191,0.0
39,-0.34583373096150655,-0.34583373096150655,-0.34583373096150655,0.0
