Generation,Min,Mean,Max,Std
-1,-24.454167564205516,-24.454167564205516,-24.454167564205516,0.0
0,-20.216667392329935,-20.216667392329935,-20.216667392329935,0.0
1,-15.583333860500716,-15.583333860500716,-15.583333860500716,0.0
2,-11.845833677837314,-11.845833677837314,-11.845833677837314,0.0
3,-10.42916695047946,-10.42916695047946,-10.42916695047946,0.0
4,-10.716666998225264,-10.716666998225264,-10.716666998225264,0.0
5,-8.237500206024075,-8.237500206024075,-8.237500206024075,0.0
6,-18.00000060815364,-18.00000060815364,-18.00000060815364,0.0
7,-14.437500458753979,-14.437500458753979,-14.437500458753979,0.0
8,-7.175000176493389,-7.175000176493389,-7.175000176493389,0.0
9,-8.837500222066106,-8.837500222066106,-8.837500222066106,0.0
10,-18.658333969690528,-18.658333969690528,-18.658333969690528,0.0
11,-11.770833690728372,-11.770833690728372,-11.770833690728372,0.0
12,-13.329167187446728,-13.329167187446728,-13.329167187446728,0.0
13,-5.600000096252188,-5.600000096252188,-5.600000096252188,0.0
14,-8.43750032732108,-8.43750032732108,-8.43750032732108,0.0
15,-3.9875001109127575,-3.9875001109127575,-3.9875001109127575,0.0
16,-6.050000288989395,-6.050000288989395,-6.050000288989395,0.0
17,-15.21666731328393,-15.21666731328393,-15.21666731328393,0.0
18,-14.962500548766306,-14.962500548766306,-14.962500548766306,0.0
19,-8.35416690989708,-8.35416690989708,-8.35416690989708,0.0
20,-12.37500047024029,-12.37500047024029,-12.37500047024029,0.0
21,-17.587500667665154,-17.587500667665154,-17.587500667665154,0.0
22,-10.566667052878378,-10.566667052878378,-10.566667052878378,0.0
23,-10.200000399374403,-10.200000399374403,-10.200000399374403,0.0
24,-12.920833765761927,-12.920833765761927,-12.920833765761927,0.0
25,-14.612500475913597,-14.612500475913597,-14.612500475913597,0.0
26,-15.354167206562124,-15.354167206562124,-15.354167206562124,0.0
27,-7.012500465265475,-7.012500465265475,-7.012500465265475,0.0
28,-10.00833386920082,-10.00833386920082,-10.00833386920082,0.0
29,-15.879167229053564,-15.879167229053564,-15.879167229053564,0.0
30,-8.500000439273814,-8.500000439273814,-8.500000439273814,0.0
31,-7.166667032715243,-7.166667032715243,-7.166667032715243,0.0
32,-9.675000283711901,-9.675000283711901,-9.675000283711901,0.0
33,-13.283334176521748,-13.283334176521748,-13.283334176521748,0.0
34,-11.008333670945527,-11.008333670945527,-11.008333670945527,0.0
35,-12.558333943132311,-12.558333943132311,-12.558333943132311,0.0
36,-7.420833844963151,-7.420833844963151,-7.420833844963151,0.0
37,-3.295833626490397,-3.295833626490397,-3.295833626490397,0.0
38,-11.916667367797345,-11.916667367797345,-11.916667367797345,0.0
39,-8.550000225853486,-8.550000225853486,-8.550000225853486,0.0
