Generation,Min,Mean,Max,Std
-1,-24.66250091290567,-24.66250091290567,-24.66250091290567,0.0
0,-19.316667350552354,-19.316667350552354,-19.316667350552354,0.0
1,-9.829167008516379,-9.829167008516379,-9.829167008516379,0.0
2,-8.345833572985915,-8.345833572985915,-8.345833572985915,0.0
3,-6.516666834397863,-6.516666834397863,-6.516666834397863,0.0
4,-8.445833583711646,-8.445833583711646,-8.445833583711646,0.0
5,-9.412500333545418,-9.412500333545418,-9.412500333545418,0.0
6,-4.791666737951648,-4.791666737951648,-4.791666737951648,0.0
7,-10.35833366564475,-10.35833366564475,-10.35833366564475,0.0
8,-9.579166968818754,-9.579166968818754,-9.579166968818754,0.0
9,-12.541667060305675,-12.541667060305675,-12.541667060305675,0.0
10,-13.412500427725414,-13.412500427725414,-13.412500427725414,0.0
11,-7.42916686704848,-7.42916686704848,-7.42916686704848,0.0
12,-7.995833548329149,-7.995833548329149,-7.995833548329149,0.0
13,-5.212500115080426,-5.212500115080426,-5.212500115080426,0.0
14,-9.345833619047577,-9.345833619047577,-9.345833619047577,0.0
15,-10.391666990627224,-10.391666990627224,-10.391666990627224,0.0
16,-8.954166938822405,-8.954166938822405,-8.954166938822405,0.0
17,-10.741667012179581,-10.741667012179581,-10.741667012179581,0.0
18,-17.966667324925464,-17.966667324925464,-17.966667324925464,0.0
19,-6.591666866598341,-6.591666866598341,-6.591666866598341,0.0
20,-5.854166793132511,-5.854166793132511,-5.854166793132511,0.0
21,-10.383333708470067,-10.383333708470067,-10.383333708470067,0.0
22,-6.070833536602247,-6.070833536602247,-6.070833536602247,0.0
23,-9.6708337070498,-9.6708337070498,-9.6708337070498,0.0
24,-5.075000205465282,-5.075000205465282,-5.075000205465282,0.0
25,-7.720833558977271,-7.720833558977271,-7.720833558977271,0.0
26,-3.366666795957523,-3.366666795957523,-3.366666795957523,0.0
27,-8.987500353755118,-8.987500353755118,-8.987500353755118,0.0
28,-5.80833351581047,-5.80833351581047,-5.80833351581047,0.0
29,-6.670833584852517,-6.670833584852517,-6.670833584852517,0.0
30,-6.333333634926627,-6.333333634926627,-6.333333634926627,0.0
31,-10.0958337734531,-10.0958337734531,-10.0958337734531,0.0
32,-3.2208334885848067,-3.2208334885848067,-3.2208334885848067,0.0
33,-13.691667292926772,-13.691667292926772,-13.691667292926772,0.0
34,-3.0625001484683403,-3.0625001484683403,-3.0625001484683403,0.0
35,-5.916666930735421,-5.916666930735421,-5.916666930735421,0.0
36,-6.812500273576006,-6.812500273576006,-6.812500273576006,0.0
37,-8.01666699827183,-8.01666699827183,-8.01666699827183,0.0
38,-11.283333859406412,-11.283333859406412,-11.283333859406412,0.0
39,-4.787500193264957,-4.787500193264957,-4.787500193264957,0.0
