Generation,Min,Mean,Max,Std
-1,-24.054167534185883,-24.054167534185883,-24.054167534185883,0.0
0,-20.43333405861631,-20.43333405861631,-20.43333405861631,0.0
1,-11.133333669858985,-11.133333669858985,-11.133333669858985,0.0
2,-17.51666730886791,-17.51666730886791,-17.51666730886791,0.0
3,-7.2666668759581325,-7.2666668759581325,-7.2666668759581325,0.0
4,-13.087500513647683,-13.087500513647683,-13.087500513647683,0.0
5,-12.729167177846344,-12.729167177846344,-12.729167177846344,0.0
6,-9.204167017053502,-9.204167017053502,-9.204167017053502,0.0
7,-4.64583370652205,-4.64583370652205,-4.64583370652205,0.0
8,0.32916638456905883,0.32916638456905883,0.32916638456905883,0.0
9,-0.7958337182644755,-0.7958337182644755,-0.7958337182644755,0.0
10,-3.30833384868068,-3.30833384868068,-3.30833384868068,0.0
11,3.0083330722603328,3.0083330722603328,3.0083330722603328,0.0
12,1.42499966500327,1.42499966500327,1.42499966500327,0.0
13,2.916666379935729,2.916666379935729,2.916666379935729,0.0
14,2.708332947610567,2.708332947610567,2.708332947610567,0.0
15,3.0708330433117226,3.0708330433117226,3.0708330433117226,0.0
16,1.4791662151692435,1.4791662151692435,1.4791662151692435,0.0
17,-2.116667133717177,-2.116667133717177,-2.116667133717177,0.0
18,1.0624997013558943,1.0624997013558943,1.0624997013558943,0.0
19,3.554166439222172,3.554166439222172,3.554166439222172,0.0
20,0.8291662742849439,0.8291662742849439,0.8291662742849439,0.0
21,-1.5875006015024458,-1.5875006015024458,-1.5875006015024458,0.0
22,-4.358333880198188,-4.358333880198188,-4.358333880198188,0.0
23,1.049999578894737,1.049999578894737,1.049999578894737,0.0
24,-5.525000584311783,-5.525000584311783,-5.525000584311783,0.0
25,-1.8208337111088138,-1.8208337111088138,-1.8208337111088138,0.0
26,-1.300000464504895,-1.300000464504895,-1.300000464504895,0.0
27,-4.28750054394671,-4.28750054394671,-4.28750054394671,0.0
28,-0.8666670319701856,-0.8666670319701856,-0.8666670319701856,0.0
29,1.9833329485263675,1.9833329485263675,1.9833329485263675,0.0
30,-1.4291671590181068,-1.4291671590181068,-1.4291671590181068,0.0
31,-0.020833726817121107,-0.020833726817121107,-0.020833726817121107,0.0
32,4.892499640157136,4.892499640157136,4.892499640157136,0.0
33,2.754166337312199,2.754166337312199,2.754166337312199,0.0
34,-8.391667364126382,-8.391667364126382,-8.391667364126382,0.0
35,-2.8208341733164466,-2.8208341733164466,-2.8208341733164466,0.0
36,-0.9327090171864256,-0.9327090171864256,-0.9327090171864256,0.0
37,-1.2458339716152598,-1.2458339716152598,-1.2458339716152598,0.0
38,6.810416318320979,6.810416318320979,6.810416318320979,0.0
39,5.821041259526585,5.821041259526585,5.821041259526585,0.0
