Generation,Min,Mean,Max,Std
-1,-29.000001079402864,-25.720000962074845,-22.300000908318907,2.2604424963223386
0,-30.400001139380038,-21.37083410071209,-3.6999999955296516,8.251330005903615
1,-50.200002026278526,-10.839166983504159,-3.599999991245568,12.890872947015419
2,-30.50000114366412,-5.598333410833342,-3.2999999783933163,6.207025633393499
3,-42.2500019161962,-11.192500331951305,-2.4000000171363354,10.696233556122694
4,-49.700002004858106,-9.558333622307206,-0.6000000946223736,13.164736212526773
5,-50.400001996196806,-13.662500428128988,-2.8999999999068677,15.284362560270665
6,-50.30000199191272,-9.300000326172448,9.649999456945807,12.12958207567435
7,-28.750001068692654,-3.9891667222526546,0.19999978505074978,4.8380705020743875
8,-49.300001949071884,-7.24916685547214,0.8499997742474079,9.638229369130642
9,-50.50000203913078,-13.748333864985034,1.6999997720122337,16.45330063370735
10,-50.400001996196806,-7.249166842588845,1.1999997892417014,10.60768436352539
11,-29.200001165270805,-2.6683336176521455,8.899999619461596,8.993692310946278
12,-27.750001296401024,-3.410833440061348,7.849999534431845,5.981764745010849
13,-31.50000118650496,-6.170833586715162,2.0999997118487954,9.87067359226201
14,-36.90000141784549,-6.415000270307064,2.0499997097067535,10.174344299676328
15,-50.400001996196806,-10.700833781428324,2.0999997118487954,13.458366830679706
16,-50.450002036988735,-5.858333458045187,0.39999979361891747,8.939142611283444
17,-29.500001100823283,-5.123333435505629,5.899999722838402,7.104737326293861
18,-27.70000133290887,-3.9525000314228236,5.04999980237335,4.452587701304916
19,-13.000000393949449,-2.805833365232684,6.999999457970262,2.70598239756113
20,-28.000001036562026,-5.673333452673008,4.64999966789037,7.244771195127448
21,-28.300001049414277,-5.847500109431954,5.049999606329948,7.35071129476319
22,-26.700000980868936,-4.035833359354486,-1.4621764421463013e-07,4.3127341464606275
23,-28.90000107511878,-4.370000053220428,1.0999997463077307,5.435647980995278
24,-26.100001071114093,-5.135000101453625,4.599999548401684,6.49275454989005
25,-25.600000933744013,-4.353333396790549,1.3499997570179403,5.6295714514518505
26,-28.900001113768667,-4.737500127513583,7.449999399948865,7.3487848554952055
27,-30.70000115223229,-5.462500126411517,7.649999525863677,7.863738938803224
28,-30.900001160800457,-4.238333396970605,7.24999970337376,5.585721339476545
29,-26.100000955164433,-5.660000102043463,0.7999998107552528,6.813741302450372
30,-27.200001002289355,-5.510833460527162,8.299999515060335,7.099836484192223
31,-47.60000199219212,-4.564166742974582,6.849999686237425,6.889158982913619
32,-27.8500010301359,-5.08916677517506,3.4999996558763087,6.441054070421891
33,-50.450002036988735,-5.983333449228667,0.9999997420236468,8.226880411034669
34,-25.400000925175846,-3.9116667221533135,3.399999612942338,4.676433689525696
35,-28.800001070834696,-5.6250001127598805,3.0999997947365046,7.37940576034424
36,-29.650001261848956,-5.147500109074948,2.9499996709637344,6.889451298949037
37,-25.500000968109816,-4.563333396745535,1.649999731220305,4.956013979631919
38,-30.600001147948205,-6.281666792122026,2.8499996666796505,7.442154827443389
39,-29.300001092255116,-5.8550001103508595,6.9499996905215085,7.034668602390284
