Generation,Min,Mean,Max,Std
-1,-23.687500855031733,-23.687500855031733,-23.687500855031733,0.0
0,-19.912500696528394,-19.912500696528394,-19.912500696528394,0.0
1,-14.000000443231935,-14.000000443231935,-14.000000443231935,0.0
2,-14.000000443231935,-14.000000443231935,-14.000000443231935,0.0
3,-12.850000403627442,-12.850000403627442,-12.850000403627442,0.0
4,-9.670833629633611,-9.670833629633611,-9.670833629633611,0.0
5,-9.670833629633611,-9.670833629633611,-9.670833629633611,0.0
6,-7.750000172255871,-7.750000172255871,-7.750000172255871,0.0
7,-3.8833333367171385,-3.8833333367171385,-3.8833333367171385,0.0
8,-3.8833333367171385,-3.8833333367171385,-3.8833333367171385,0.0
9,-3.8833333367171385,-3.8833333367171385,-3.8833333367171385,0.0
10,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
11,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
12,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
13,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
14,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
15,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
16,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
17,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
18,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
19,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
20,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
21,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
22,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
23,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
24,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
25,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
26,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
27,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
28,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
29,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
30,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
31,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
32,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
33,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
34,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
35,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
36,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
37,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
38,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
39,-2.920833330911895,-2.920833330911895,-2.920833330911895,0.0
