Generation,Min,Mean,Max,Std
-1,-24.72916757276592,-24.72916757276592,-24.72916757276592,0.0
0,-21.354167466827978,-21.354167466827978,-21.354167466827978,0.0
1,-25.98750095356566,-25.98750095356566,-25.98750095356566,0.0
2,-14.48333379405085,-14.48333379405085,-14.48333379405085,0.0
3,-5.287500069981131,-5.287500069981131,-5.287500069981131,0.0
4,-9.591666943587674,-9.591666943587674,-9.591666943587674,0.0
5,-10.60833367635496,-10.60833367635496,-10.60833367635496,0.0
6,-9.079166895865152,-9.079166895865152,-9.079166895865152,0.0
7,-10.683333653801432,-10.683333653801432,-10.683333653801432,0.0
8,-5.425000069430098,-5.425000069430098,-5.425000069430098,0.0
9,-2.9249999977570647,-2.9249999977570647,-2.9249999977570647,0.0
10,-3.3333333131546774,-3.3333333131546774,-3.3333333131546774,0.0
11,-9.48333362171737,-9.48333362171737,-9.48333362171737,0.0
12,-3.458333318509782,-3.458333318509782,-3.458333318509782,0.0
13,-7.533333653894563,-7.533333653894563,-7.533333653894563,0.0
14,-3.4625000207840153,-3.4625000207840153,-3.4625000207840153,0.0
15,-5.833333420256774,-5.833333420256774,-5.833333420256774,0.0
16,-8.541666943579912,-8.541666943579912,-8.541666943579912,0.0
17,-4.908333383849822,-4.908333383849822,-4.908333383849822,0.0
18,-7.68750017924079,-7.68750017924079,-7.68750017924079,0.0
19,-4.1375000142725185,-4.1375000142725185,-4.1375000142725185,0.0
20,-4.675000037299469,-4.675000037299469,-4.675000037299469,0.0
21,-5.241666728242611,-5.241666728242611,-5.241666728242611,0.0
22,-3.341666646845018,-3.341666646845018,-3.341666646845018,0.0
23,-6.291666773225491,-6.291666773225491,-6.291666773225491,0.0
24,-3.1499999848504863,-3.1499999848504863,-3.1499999848504863,0.0
25,-8.683333542353163,-8.683333542353163,-8.683333542353163,0.0
26,-7.1916668117822455,-7.1916668117822455,-7.1916668117822455,0.0
27,-4.108333346356328,-4.108333346356328,-4.108333346356328,0.0
28,-6.1083334320380045,-6.1083334320380045,-6.1083334320380045,0.0
29,-6.258333448126602,-6.258333448126602,-6.258333448126602,0.0
30,-3.3249999826851613,-3.3249999826851613,-3.3249999826851613,0.0
31,-8.612500244635157,-8.612500244635157,-8.612500244635157,0.0
32,-3.2833333110126355,-3.2833333110126355,-3.2833333110126355,0.0
33,-4.708333391385774,-4.708333391385774,-4.708333391385774,0.0
34,-7.158333483462532,-7.158333483462532,-7.158333483462532,0.0
35,-7.9791669002734125,-7.9791669002734125,-7.9791669002734125,0.0
36,-6.216666824766435,-6.216666824766435,-6.216666824766435,0.0
37,-4.987500095778766,-4.987500095778766,-4.987500095778766,0.0
38,-3.2999999783933163,-3.2999999783933163,-3.2999999783933163,0.0
39,-3.270833310477125,-3.270833310477125,-3.270833310477125,0.0
