Generation,Min,Mean,Max,Std
-1,-25.683334283530712,-25.683334283530712,-25.683334283530712,0.0
0,-16.16666719627877,-16.16666719627877,-16.16666719627877,0.0
1,-13.850000430364162,-13.850000430364162,-13.850000430364162,0.0
2,-7.5166668450304615,-7.5166668450304615,-7.5166668450304615,0.0
3,-9.612500268151052,-9.612500268151052,-9.612500268151052,0.0
4,-19.25416738318745,-19.25416738318745,-19.25416738318745,0.0
5,-8.375000285993641,-8.375000285993641,-8.375000285993641,0.0
6,-11.950000429487167,-11.950000429487167,-11.950000429487167,0.0
7,-14.404167162642503,-14.404167162642503,-14.404167162642503,0.0
8,-7.487500225310214,-7.487500225310214,-7.487500225310214,0.0
9,-18.57083401735872,-18.57083401735872,-18.57083401735872,0.0
10,-8.320833607343957,-8.320833607343957,-8.320833607343957,0.0
11,-11.479167091970643,-11.479167091970643,-11.479167091970643,0.0
12,-9.95833365172924,-9.95833365172924,-9.95833365172924,0.0
13,-14.425000515727637,-14.425000515727637,-14.425000515727637,0.0
14,-11.029167024263492,-11.029167024263492,-11.029167024263492,0.0
15,-12.050000417550715,-12.050000417550715,-12.050000417550715,0.0
16,-12.608333768478284,-12.608333768478284,-12.608333768478284,0.0
17,-15.241667220951058,-15.241667220951058,-15.241667220951058,0.0
18,-8.345833601856915,-8.345833601856915,-8.345833601856915,0.0
19,-9.916666992940009,-9.916666992940009,-9.916666992940009,0.0
20,-15.950000607292168,-15.950000607292168,-15.950000607292168,0.0
21,-8.550000264270542,-8.550000264270542,-8.550000264270542,0.0
22,-11.929167117574252,-11.929167117574252,-11.929167117574252,0.0
23,-10.337500344185779,-10.337500344185779,-10.337500344185779,0.0
24,-7.420833546241435,-7.420833546241435,-7.420833546241435,0.0
25,-13.670833852646561,-13.670833852646561,-13.670833852646561,0.0
26,-5.5916668138622,-5.5916668138622,-5.5916668138622,0.0
27,-11.654167076922022,-11.654167076922022,-11.654167076922022,0.0
28,-6.01666681918626,-6.01666681918626,-6.01666681918626,0.0
29,-13.708333831707327,-13.708333831707327,-13.708333831707327,0.0
30,-7.633333542345402,-7.633333542345402,-7.633333542345402,0.0
31,-8.158333580708131,-8.158333580708131,-8.158333580708131,0.0
32,-15.387500554090366,-15.387500554090366,-15.387500554090366,0.0
33,-5.554166825138964,-5.554166825138964,-5.554166825138964,0.0
34,-2.3916666963292905,-2.3916666963292905,-2.3916666963292905,0.0
35,-7.6000002302462235,-7.6000002302462235,-7.6000002302462235,0.0
36,-2.5041666815911108,-2.5041666815911108,-2.5041666815911108,0.0
37,-13.429167088664448,-13.429167088664448,-13.429167088664448,0.0
38,-4.262500087264925,-4.262500087264925,-4.262500087264925,0.0
39,-13.233333808137104,-13.233333808137104,-13.233333808137104,0.0
