Generation,Min,Mean,Max,Std
-1,-21.812500784367632,-21.812500784367632,-21.812500784367632,0.0
0,-22.108334130374715,-22.108334130374715,-22.108334130374715,0.0
1,-19.429167358592775,-19.429167358592775,-19.429167358592775,0.0
2,-11.49583366284302,-11.49583366284302,-11.49583366284302,0.0
3,-15.887500527314842,-15.887500527314842,-15.887500527314842,0.0
4,-16.958333906523574,-16.958333906523574,-16.958333906523574,0.0
5,-12.55000039721684,-12.55000039721684,-12.55000039721684,0.0
6,-9.445833642656604,-9.445833642656604,-9.445833642656604,0.0
7,-15.525000543993277,-15.525000543993277,-15.525000543993277,0.0
8,-11.366667003526041,-11.366667003526041,-11.366667003526041,0.0
9,-13.329167084380364,-13.329167084380364,-13.329167084380364,0.0
10,-10.158333634530814,-10.158333634530814,-10.158333634530814,0.0
11,-13.166667070977079,-13.166667070977079,-13.166667070977079,0.0
12,-6.400000136966507,-6.400000136966507,-6.400000136966507,0.0
13,-12.00000036721273,-12.00000036721273,-12.00000036721273,0.0
14,-7.987500359110224,-7.987500359110224,-7.987500359110224,0.0
15,-14.954167166880021,-14.954167166880021,-14.954167166880021,0.0
16,-14.72083384609626,-14.72083384609626,-14.72083384609626,0.0
17,-7.5666669306810945,-7.5666669306810945,-7.5666669306810945,0.0
18,-16.770833950024098,-16.770833950024098,-16.770833950024098,0.0
19,-16.13333397079259,-16.13333397079259,-16.13333397079259,0.0
20,-11.187500461004674,-11.187500461004674,-11.187500461004674,0.0
21,-15.12500054606547,-15.12500054606547,-15.12500054606547,0.0
22,-12.587500456798201,-12.587500456798201,-12.587500456798201,0.0
23,-5.804166922578588,-5.804166922578588,-5.804166922578588,0.0
24,-5.2333335293612135,-5.2333335293612135,-5.2333335293612135,0.0
25,-19.037500691250898,-19.037500691250898,-19.037500691250898,0.0
26,-7.7791670362930745,-7.7791670362930745,-7.7791670362930745,0.0
27,-16.354167220415547,-16.354167220415547,-16.354167220415547,0.0
28,-14.708333922627693,-14.708333922627693,-14.708333922627693,0.0
29,-3.9250001433150223,-3.9250001433150223,-3.9250001433150223,0.0
30,-9.59166702721268,-9.59166702721268,-9.59166702721268,0.0
31,-17.72083395529383,-17.72083395529383,-17.72083395529383,0.0
32,-12.941667264016965,-12.941667264016965,-12.941667264016965,0.0
33,-8.995833661795283,-8.995833661795283,-8.995833661795283,0.0
34,-7.575000248383731,-7.575000248383731,-7.575000248383731,0.0
35,-10.59166716322458,-10.59166716322458,-10.59166716322458,0.0
36,-10.654167146460773,-10.654167146460773,-10.654167146460773,0.0
37,-9.783333734298745,-9.783333734298745,-9.783333734298745,0.0
38,-7.670833550509997,-7.670833550509997,-7.670833550509997,0.0
39,-16.300000651041046,-16.300000651041046,-16.300000651041046,0.0
