Generation,Min,Mean,Max,Std
-1,-33.40000126790255,-23.70000085234642,-12.900000389665365,6.944638517032835
0,-28.95000111591071,-20.1608340411447,-3.9000000040978193,6.08420173713733
1,-30.600001147948205,-15.60750050758943,-3.3999999826774,8.194001330711762
2,-28.200001045130193,-12.712500386786026,-3.2999999783933163,8.902161284022169
3,-43.20000168774277,-10.035000268858857,-3.2999999783933163,9.645410806705213
4,-50.600002004764974,-12.67333373776637,-1.8000002233311534,12.168787316154203
5,-50.600002004764974,-9.784166940239569,-1.400000206194818,11.495403521916622
6,-50.70000200904906,-10.48250029576011,-2.9999999655410647,10.589145149658082
7,-30.50000114366412,-9.259166917103963,-3.1999999741092324,8.861948485467206
8,-50.30000199191272,-10.47916697387894,-0.7500002942979336,10.168211891612007
9,-32.10000121220946,-9.769166936376132,-2.300000167451799,9.63249788330399
10,-50.600002004764974,-12.370000395947136,2.14999955939129,12.582826773034203
11,-45.60000179056078,-10.52333364241446,4.29999961424619,10.79969359598309
12,-32.400001225061715,-8.650833577631662,12.89999928837642,9.25132227404864
13,-50.50000200048089,-14.970000525920963,10.349999488331378,14.680884396086874
14,-50.600002004764974,-10.583333691271642,11.899999440182,12.224534051787206
15,-29.20000108797103,-9.005000352067873,18.29999921331182,11.275215364226128
16,-50.400001996196806,-11.008333710767328,9.799999270122498,12.437521531075554
17,-49.600001961924136,-8.130833661478635,13.04999925615266,11.521484193797312
18,-50.70000200904906,-9.138333746395073,17.199999359436333,13.5232715636721
19,-50.70000200904906,-6.563333649514243,16.049999387469143,12.395351810577898
20,-43.80000171344727,-6.95916706668213,18.449999102391303,13.310592787633654
21,-28.500001057982445,-5.794166921645713,14.799999253824353,8.98798791072632
22,-38.80000149924308,-6.67500034532665,17.299999363720417,12.09640293110167
23,-50.70000200904906,-9.780833785561844,12.499999192543328,13.94813374849738
24,-50.70000200904906,-9.324167159742986,13.149999144487083,14.861826447690092
25,-50.20000198762864,-6.237500392218741,17.599999299272895,12.812278255374613
26,-32.900002325885,-9.481667127840531,13.949999294709414,12.445554960065227
27,-49.350001951213926,-8.040833752128917,23.94999891286716,13.973786729905552
28,-50.600002004764974,-8.140000420350892,25.44999882252887,14.223548197342822
29,-47.90000188909471,-7.399167070599893,29.59999884851277,14.81927679346817
30,-31.900001203641295,-8.905000366969034,15.799999298062176,11.792200039477747
31,-50.50000200048089,-9.916667112933162,17.9999991604127,13.181937679511387
32,-48.40000191051513,-7.768333670838426,21.599999201484025,12.802242856200841
33,-50.70000200904906,-8.05833379382578,28.1999990218319,13.317820865286404
34,-50.50000200048089,-4.803708724879349,21.3499990333803,14.553628603747987
35,-48.20000190194696,-7.458333690480019,15.1499991142191,12.505273056204386
36,-43.40000169631094,-4.1525003106178096,20.59999919589609,11.98608379298606
37,-50.70000200904906,-4.960833762143738,28.949998897965997,15.171838372043593
38,-50.70000200904906,-8.32000043510149,22.199999109841883,14.229872606432558
39,-50.600002004764974,-10.326667079081139,17.749999382998794,14.925084132229369
