Generation,Min,Mean,Max,Std
-1,-21.958334114286117,-21.958334114286117,-21.958334114286117,0.0
0,-20.966667408356443,-20.966667408356443,-20.966667408356443,0.0
1,-15.12083383424518,-15.12083383424518,-15.12083383424518,0.0
2,-12.212500373095585,-12.212500373095585,-12.212500373095585,0.0
3,-13.975000471148329,-13.975000471148329,-13.975000471148329,0.0
4,-8.795833563276878,-8.795833563276878,-8.795833563276878,0.0
5,-7.433333521010354,-7.433333521010354,-7.433333521010354,0.0
6,-10.200000505545177,-10.200000505545177,-10.200000505545177,0.0
7,-10.066666934949657,-10.066666934949657,-10.066666934949657,0.0
8,-9.67500039942873,-9.67500039942873,-9.67500039942873,0.0
9,-8.750000211875886,-8.750000211875886,-8.750000211875886,0.0
10,-12.320833775486486,-12.320833775486486,-12.320833775486486,0.0
11,-6.750000280328095,-6.750000280328095,-6.750000280328095,0.0
12,-4.129166972862246,-4.129166972862246,-4.129166972862246,0.0
13,-10.091667096596211,-10.091667096596211,-10.091667096596211,0.0
14,-9.187500446181124,-9.187500446181124,-9.187500446181124,0.0
15,-5.708333675322744,-5.708333675322744,-5.708333675322744,0.0
16,-8.07916701992508,-8.07916701992508,-8.07916701992508,0.0
17,-4.8125001202570274,-4.8125001202570274,-4.8125001202570274,0.0
18,-3.2833335135752955,-3.2833335135752955,-3.2833335135752955,0.0
19,-5.91250048209137,-5.91250048209137,-5.91250048209137,0.0
20,-3.100000226908984,-3.100000226908984,-3.100000226908984,0.0
21,-6.20000018303593,-6.20000018303593,-6.20000018303593,0.0
22,-6.483333810892266,-6.483333810892266,-6.483333810892266,0.0
23,-3.008333604511184,-3.008333604511184,-3.008333604511184,0.0
24,-9.845833887889361,-9.845833887889361,-9.845833887889361,0.0
25,-7.000000451846669,-7.000000451846669,-7.000000451846669,0.0
26,-4.129167066382554,-4.129167066382554,-4.129167066382554,0.0
27,-8.145833664030457,-8.145833664030457,-8.145833664030457,0.0
28,-6.050000555852118,-6.050000555852118,-6.050000555852118,0.0
29,-4.916666884557344,-4.916666884557344,-4.916666884557344,0.0
30,-9.116667328130765,-9.116667328130765,-9.116667328130765,0.0
31,-5.2433335609578835,-5.2433335609578835,-5.2433335609578835,0.0
32,-6.129167126414056,-6.129167126414056,-6.129167126414056,0.0
33,-8.475000258069485,-8.475000258069485,-8.475000258069485,0.0
34,-8.737500375369564,-8.737500375369564,-8.737500375369564,0.0
35,-7.116667068990258,-7.116667068990258,-7.116667068990258,0.0
36,-2.4250004711793736,-2.4250004711793736,-2.4250004711793736,0.0
37,-12.425000523799099,-12.425000523799099,-12.425000523799099,0.0
38,-0.6916671975826224,-0.6916671975826224,-0.6916671975826224,0.0
39,-5.666667138691992,-5.666667138691992,-5.666667138691992,0.0
