Generation,Min,Mean,Max,Std
-1,-21.49166742762706,-21.49166742762706,-21.49166742762706,0.0
0,-22.86666751874145,-22.86666751874145,-22.86666751874145,0.0
1,-17.32916727506866,-17.32916727506866,-17.32916727506866,0.0
2,-16.84166727028787,-16.84166727028787,-16.84166727028787,0.0
3,-13.954167117597535,-13.954167117597535,-13.954167117597535,0.0
4,-13.625000456154035,-13.625000456154035,-13.625000456154035,0.0
5,-14.400000495797334,-14.400000495797334,-14.400000495797334,0.0
6,-10.054167156418165,-10.054167156418165,-10.054167156418165,0.0
7,-11.01250033134905,-11.01250033134905,-11.01250033134905,0.0
8,-21.812500852004934,-21.812500852004934,-21.812500852004934,0.0
9,-10.341667020809837,-10.341667020809837,-10.341667020809837,0.0
10,-10.350000312629467,-10.350000312629467,-10.350000312629467,0.0
11,-4.987500076453823,-4.987500076453823,-4.987500076453823,0.0
12,-4.420833639373693,-4.420833639373693,-4.420833639373693,0.0
13,-8.683333741695,-8.683333741695,-8.683333741695,0.0
14,-10.8166669960677,-10.8166669960677,-10.8166669960677,0.0
15,-8.80000026555111,-8.80000026555111,-8.80000026555111,0.0
16,-10.762500475005558,-10.762500475005558,-10.762500475005558,0.0
17,-5.495833695090066,-5.495833695090066,-5.495833695090066,0.0
18,-11.458333822044855,-11.458333822044855,-11.458333822044855,0.0
19,-3.558333599435476,-3.558333599435476,-3.558333599435476,0.0
20,-14.575000564373719,-14.575000564373719,-14.575000564373719,0.0
21,-14.416667253128253,-14.416667253128253,-14.416667253128253,0.0
22,-5.883333573661123,-5.883333573661123,-5.883333573661123,0.0
23,-2.958333724644035,-2.958333724644035,-2.958333724644035,0.0
24,-5.470833703448686,-5.470833703448686,-5.470833703448686,0.0
25,-10.350000450775648,-10.350000450775648,-10.350000450775648,0.0
26,-4.2958338296739385,-4.2958338296739385,-4.2958338296739385,0.0
27,-5.316667162114754,-5.316667162114754,-5.316667162114754,0.0
28,-11.466667136410251,-11.466667136410251,-11.466667136410251,0.0
29,-8.554166966777606,-8.554166966777606,-8.554166966777606,0.0
30,-8.254167056642473,-8.254167056642473,-8.254167056642473,0.0
31,-11.01250046006559,-11.01250046006559,-11.01250046006559,0.0
32,-7.616667006785671,-7.616667006785671,-7.616667006785671,0.0
33,-7.175000292443049,-7.175000292443049,-7.175000292443049,0.0
34,-4.716666969160239,-4.716666969160239,-4.716666969160239,0.0
35,-2.9208338032088554,-2.9208338032088554,-2.9208338032088554,0.0
36,-10.16666725417599,-10.16666725417599,-10.16666725417599,0.0
37,-8.62083372590132,-8.62083372590132,-8.62083372590132,0.0
38,-6.550000467764524,-6.550000467764524,-6.550000467764524,0.0
39,-4.620833647825445,-4.620833647825445,-4.620833647825445,0.0
