Generation,Min,Mean,Max,Std
-1,-23.83750088722445,-23.83750088722445,-23.83750088722445,0.0
0,-16.870833954191767,-16.870833954191767,-16.870833954191767,0.0
1,-18.45416731360213,-18.45416731360213,-18.45416731360213,0.0
2,-11.725000377977267,-11.725000377977267,-11.725000377977267,0.0
3,-16.154167224730674,-16.154167224730674,-16.154167224730674,0.0
4,-15.470833833135353,-15.470833833135353,-15.470833833135353,0.0
5,-10.341666975718303,-10.341666975718303,-10.341666975718303,0.0
6,-14.925000550264182,-14.925000550264182,-14.925000550264182,0.0
7,-4.883333411766216,-4.883333411766216,-4.883333411766216,0.0
8,-3.9750001454570643,-3.9750001454570643,-3.9750001454570643,0.0
9,-8.354166880909665,-8.354166880909665,-8.354166880909665,0.0
10,-12.700000438955612,-12.700000438955612,-12.700000438955612,0.0
11,-5.887500336781765,-5.887500336781765,-5.887500336781765,0.0
12,-8.21250039152801,-8.21250039152801,-8.21250039152801,0.0
13,-6.375000332016498,-6.375000332016498,-6.375000332016498,0.0
14,-14.495833813911304,-14.495833813911304,-14.495833813911304,0.0
15,-12.820833745373724,-12.820833745373724,-12.820833745373724,0.0
16,-5.645833855650078,-5.645833855650078,-5.645833855650078,0.0
17,-3.150000373406025,-3.150000373406025,-3.150000373406025,0.0
18,-2.3416671589948237,-2.3416671589948237,-2.3416671589948237,0.0
19,-2.60770320892334e-07,-2.60770320892334e-07,-2.60770320892334e-07,0.0
20,-0.7625002971229454,-0.7625002971229454,-0.7625002971229454,0.0
21,-0.9833337360760197,-0.9833337360760197,-0.9833337360760197,0.0
22,-5.841667088097893,-5.841667088097893,-5.841667088097893,0.0
23,-4.637500289439534,-4.637500289439534,-4.637500289439534,0.0
24,-0.041666925768367946,-0.041666925768367946,-0.041666925768367946,0.0
25,-1.7708337662431102,-1.7708337662431102,-1.7708337662431102,0.0
26,-6.079167284614717,-6.079167284614717,-6.079167284614717,0.0
27,-13.96666751957188,-13.96666751957188,-13.96666751957188,0.0
28,-7.975000603008084,-7.975000603008084,-7.975000603008084,0.0
29,4.524999695558411,4.524999695558411,4.524999695558411,0.0
30,0.6874996690700451,0.6874996690700451,0.6874996690700451,0.0
31,-5.754167202472066,-5.754167202472066,-5.754167202472066,0.0
32,-0.8666670702708265,-0.8666670702708265,-0.8666670702708265,0.0
33,2.0958330020075664,2.0958330020075664,2.0958330020075664,0.0
34,-5.229167228409399,-5.229167228409399,-5.229167228409399,0.0
35,-6.325000583155391,-6.325000583155391,-6.325000583155391,0.0
36,2.0958329308001944,2.0958329308001944,2.0958329308001944,0.0
37,-0.2541669922647998,-0.2541669922647998,-0.2541669922647998,0.0
38,-3.2250005015327283,-3.2250005015327283,-3.2250005015327283,0.0
39,-0.05000028569096079,-0.05000028569096079,-0.05000028569096079,0.0
