Generation,Min,Mean,Max,Std
-1,-24.908334243887413,-24.908334243887413,-24.908334243887413,0.0
0,-22.658334163599648,-22.658334163599648,-22.658334163599648,0.0
1,-18.304167291071888,-18.304167291071888,-18.304167291071888,0.0
2,-15.11666716740001,-15.11666716740001,-15.11666716740001,0.0
3,-13.554167084357081,-13.554167084357081,-13.554167084357081,0.0
4,-18.441667293741677,-18.441667293741677,-18.441667293741677,0.0
5,-13.86250043734132,-13.86250043734132,-13.86250043734132,0.0
6,-13.35000041538539,-13.35000041538539,-13.35000041538539,0.0
7,-12.65416709089186,-12.65416709089186,-12.65416709089186,0.0
8,-6.750000174390152,-6.750000174390152,-6.750000174390152,0.0
9,-13.629167122999206,-13.629167122999206,-13.629167122999206,0.0
10,-7.058333543362096,-7.058333543362096,-7.058333543362096,0.0
11,-10.754166974065205,-10.754166974065205,-10.754166974065205,0.0
12,-18.345833972406883,-18.345833972406883,-18.345833972406883,0.0
13,-12.44583378728324,-12.44583378728324,-12.44583378728324,0.0
14,-10.604167038497204,-10.604167038497204,-10.604167038497204,0.0
15,-6.637500185791093,-6.637500185791093,-6.637500185791093,0.0
16,-6.504166795212465,-6.504166795212465,-6.504166795212465,0.0
17,-10.087500282058803,-10.087500282058803,-10.087500282058803,0.0
18,-13.233333849774985,-13.233333849774985,-13.233333849774985,0.0
19,-15.291667232755572,-15.291667232755572,-15.291667232755572,0.0
20,-11.470833748501414,-11.470833748501414,-11.470833748501414,0.0
21,-11.48750043210263,-11.48750043210263,-11.48750043210263,0.0
22,-9.679166940894598,-9.679166940894598,-9.679166940894598,0.0
23,-9.808333635640642,-9.808333635640642,-9.808333635640642,0.0
24,-13.475000446507087,-13.475000446507087,-13.475000446507087,0.0
25,-8.75000026639706,-8.75000026639706,-8.75000026639706,0.0
26,-10.39166700684776,-10.39166700684776,-10.39166700684776,0.0
27,-5.808333551239532,-5.808333551239532,-5.808333551239532,0.0
28,-4.604166771789703,-4.604166771789703,-4.604166771789703,0.0
29,-8.44166697806213,-8.44166697806213,-8.44166697806213,0.0
30,-7.175000285768571,-7.175000285768571,-7.175000285768571,0.0
31,-12.716667093569413,-12.716667093569413,-12.716667093569413,0.0
32,-9.795833718497306,-9.795833718497306,-9.795833718497306,0.0
33,-5.566666832348953,-5.566666832348953,-5.566666832348953,0.0
34,-13.80416715304212,-13.80416715304212,-13.80416715304212,0.0
35,-12.450000447453931,-12.450000447453931,-12.450000447453931,0.0
36,-12.312500467446322,-12.312500467446322,-12.312500467446322,0.0
37,-11.916667068959214,-11.916667068959214,-11.916667068959214,0.0
38,-3.845833463477902,-3.845833463477902,-3.845833463477902,0.0
39,-13.07916709621592,-13.07916709621592,-13.07916709621592,0.0
