Generation,Min,Mean,Max,Std
-1,-26.200000959448516,-25.01000090846792,-22.700000809505582,1.2076423828924523
0,-50.00000197906047,-21.33083408998015,-5.250000061932951,6.86476595915419
1,-49.850001972634345,-16.90833389729572,-3.2999999783933163,9.873015694621017
2,-29.600001105107367,-11.298333655670286,-3.2999999783933163,8.887927429458236
3,-49.90000197477639,-12.358333712653257,-3.2999999783933163,12.044802873066477
4,-49.850001972634345,-11.481666996213608,-3.2999999783933163,11.56921599346054
5,-49.70000196620822,-12.730833717683952,-3.2999999783933163,12.235791916435874
6,-30.20000113081187,-10.265000280644745,-3.2999999783933163,9.580367922963182
7,-28.500001057982445,-6.920000134765481,-3.2999999783933163,7.076034975927813
8,-46.30000182054937,-10.63833363641364,-3.2999999783933163,10.971711696224263
9,-50.400001996196806,-10.765833638655021,-3.2999999783933163,11.750431315298954
10,-44.350001737009734,-11.055000312556512,-3.2999999783933163,10.729875808511375
11,-29.90000111795962,-8.694166885145629,-3.2999999783933163,8.553732942710647
12,-50.70000200904906,-9.968333600624465,-3.2999999783933163,11.039731625755593
13,-50.70000200904906,-8.925000221305528,-3.2999999783933163,11.148122518189123
14,-50.50000200048089,-11.102500315235618,-3.2999999783933163,10.696173546568039
15,-46.65000183554366,-8.78416688644793,-3.2999999783933163,9.446090828683515
16,-49.8000019704923,-11.78333368288974,-3.2999999783933163,12.876120782598287
17,-50.70000200904906,-11.714167039647387,10.499999338760972,11.702397261644363
18,-29.000001079402864,-9.667500292362336,7.899999499320984,8.187036935825802
19,-46.40000182483345,-8.890833586027535,-2.5000001760199666,8.364665578449445
20,-50.100001983344555,-11.910000373640408,-2.8500001137144864,11.414774535870317
21,-49.90000197477639,-13.332500463592199,3.0499995979480445,11.822933065981278
22,-49.90000197477639,-10.80333370527563,3.7499995892867446,11.34699661258345
23,-44.95000176271424,-13.180833766593908,0.8499997355975211,11.31484355455284
24,-48.20000190194696,-11.572500398382545,3.199999605771154,12.155443094346934
25,-50.100001983344555,-10.771583709865808,7.749999608844519,13.021358951311981
26,-50.50000200048089,-10.377500348569205,2.9499995936639607,10.018368607470366
27,-50.30000199191272,-9.020833729285126,11.94999920623377,12.694655745258437
28,-50.600002004764974,-11.675000411171157,10.549999458249658,12.0276924351369
29,-50.70000200904906,-12.244167115151262,3.499999617226422,14.829102276876295
30,-50.70000200904906,-9.915833705834423,13.349999346304685,10.386772727999555
31,-49.40000195335597,-10.238333768676966,4.199999531265348,12.037668267822864
32,-50.400001996196806,-11.622500506190894,5.449999468866736,14.360964415159415
33,-50.600002004764974,-10.77416704313364,4.699999826028943,12.526537277611313
34,-49.50000195764005,-8.910000402589018,17.799999385140836,11.713165273744965
35,-50.30000199191272,-10.028333740790064,4.949999720789492,12.249688737979294
36,-49.90000197477639,-9.85916709965871,18.599999303463846,14.232546724398505
37,-48.15000189980492,-8.890000371386607,15.299999509938061,11.968217973726475
38,-50.600002004764974,-9.80833372756994,6.799999568145722,13.089522866840554
39,-50.50000200048089,-12.537500518863089,12.399999265559018,14.093475967842561
