Generation,Min,Mean,Max,Std
-1,-23.41666751653732,-23.41666751653732,-23.41666751653732,0.0
0,-19.354167368263006,-19.354167368263006,-19.354167368263006,0.0
1,-12.979167104815133,-12.979167104815133,-12.979167104815133,0.0
2,-15.629167182914292,-15.629167182914292,-15.629167182914292,0.0
3,-9.229166934499517,-9.229166934499517,-9.229166934499517,0.0
4,-6.458333540436191,-6.458333540436191,-6.458333540436191,0.0
5,-11.325000335074341,-11.325000335074341,-11.325000335074341,0.0
6,-6.400000149849802,-6.400000149849802,-6.400000149849802,0.0
7,-12.095833720755763,-12.095833720755763,-12.095833720755763,0.0
8,-18.066667351755314,-18.066667351755314,-18.066667351755314,0.0
9,-11.937500367756002,-11.937500367756002,-11.937500367756002,0.0
10,-13.158333753390858,-13.158333753390858,-13.158333753390858,0.0
11,-13.762500455603004,-13.762500455603004,-13.762500455603004,0.0
12,-10.591666983207688,-10.591666983207688,-10.591666983207688,0.0
13,-6.44166684395168,-6.44166684395168,-6.44166684395168,0.0
14,-12.708333743774952,-12.708333743774952,-12.708333743774952,0.0
15,-12.608333762036636,-12.608333762036636,-12.608333762036636,0.0
16,-14.108333803752126,-14.108333803752126,-14.108333803752126,0.0
17,-4.575000097431864,-4.575000097431864,-4.575000097431864,0.0
18,-7.400000199132289,-7.400000199132289,-7.400000199132289,0.0
19,-12.16250055085402,-12.16250055085402,-12.16250055085402,0.0
20,-3.4625001687090844,-3.4625001687090844,-3.4625001687090844,0.0
21,-12.37083374542029,-12.37083374542029,-12.37083374542029,0.0
22,-10.145833656541072,-10.145833656541072,-10.145833656541072,0.0
23,-7.995833725241634,-7.995833725241634,-7.995833725241634,0.0
24,-10.337500344302194,-10.337500344302194,-10.337500344302194,0.0
25,-6.541667095773543,-6.541667095773543,-6.541667095773543,0.0
26,-10.825000467904223,-10.825000467904223,-10.825000467904223,0.0
27,-10.229167227982543,-10.229167227982543,-10.229167227982543,0.0
28,-6.40833370864857,-6.40833370864857,-6.40833370864857,0.0
29,-10.63750047585927,-10.63750047585927,-10.63750047585927,0.0
30,-13.21666730789002,-13.21666730789002,-13.21666730789002,0.0
31,-10.745833900679523,-10.745833900679523,-10.745833900679523,0.0
32,-17.412500862730667,-17.412500862730667,-17.412500862730667,0.0
33,-9.325000458396971,-9.325000458396971,-9.325000458396971,0.0
34,-5.441667071427219,-5.441667071427219,-5.441667071427219,0.0
35,-13.054167143224428,-13.054167143224428,-13.054167143224428,0.0
36,-10.683333910885267,-10.683333910885267,-10.683333910885267,0.0
37,-2.8750002717909715,-2.8750002717909715,-2.8750002717909715,0.0
38,-13.433333861563975,-13.433333861563975,-13.433333861563975,0.0
39,-4.633333639164145,-4.633333639164145,-4.633333639164145,0.0
