Generation,Min,Mean,Max,Std
-1,-23.51250088296365,-23.51250088296365,-23.51250088296365,0.0
0,-18.887500646174885,-18.887500646174885,-18.887500646174885,0.0
1,-12.695833720693676,-12.695833720693676,-12.695833720693676,0.0
2,-13.758333798420304,-13.758333798420304,-13.758333798420304,0.0
3,-10.975000320080047,-10.975000320080047,-10.975000320080047,0.0
4,-13.83750044593277,-13.83750044593277,-13.83750044593277,0.0
5,-9.666666998333918,-9.666666998333918,-9.666666998333918,0.0
6,-12.916667079591813,-12.916667079591813,-12.916667079591813,0.0
7,-6.65416689182166,-6.65416689182166,-6.65416689182166,0.0
8,-8.933333578829965,-8.933333578829965,-8.933333578829965,0.0
9,-10.533333686025193,-10.533333686025193,-10.533333686025193,0.0
10,-9.454166918372115,-9.454166918372115,-9.454166918372115,0.0
11,-7.658333537091191,-7.658333537091191,-7.658333537091191,0.0
12,-2.9083335391478613,-2.9083335391478613,-2.9083335391478613,0.0
13,-4.858333490982962,-4.858333490982962,-4.858333490982962,0.0
14,-8.829167058846602,-8.829167058846602,-8.829167058846602,0.0
15,-10.10416699751901,-10.10416699751901,-10.10416699751901,0.0
16,-9.295833568593176,-9.295833568593176,-9.295833568593176,0.0
17,-13.650000576395541,-13.650000576395541,-13.650000576395541,0.0
18,-7.345833739032969,-7.345833739032969,-7.345833739032969,0.0
19,-3.9541669014142826,-3.9541669014142826,-3.9541669014142826,0.0
20,-4.829167057488424,-4.829167057488424,-4.829167057488424,0.0
21,-9.458333829650655,-9.458333829650655,-9.458333829650655,0.0
22,-10.52916725348526,-10.52916725348526,-10.52916725348526,0.0
23,-6.987500371372637,-6.987500371372637,-6.987500371372637,0.0
24,-11.68333377072122,-11.68333377072122,-11.68333377072122,0.0
25,-6.241666960646398,-6.241666960646398,-6.241666960646398,0.0
26,-5.100000229198486,-5.100000229198486,-5.100000229198486,0.0
27,-5.308333706149521,-5.308333706149521,-5.308333706149521,0.0
28,-5.033333842176944,-5.033333842176944,-5.033333842176944,0.0
29,-4.225000249571167,-4.225000249571167,-4.225000249571167,0.0
30,0.01666638026169191,0.01666638026169191,0.01666638026169191,0.0
31,-4.600000413328719,-4.600000413328719,-4.600000413328719,0.0
32,-10.341667322752377,-10.341667322752377,-10.341667322752377,0.0
33,-8.916667046723887,-8.916667046723887,-8.916667046723887,0.0
34,-6.145833610440604,-6.145833610440604,-6.145833610440604,0.0
35,-2.2708335696952417,-2.2708335696952417,-2.2708335696952417,0.0
36,-2.9958336843798556,-2.9958336843798556,-2.9958336843798556,0.0
37,-6.808333912010615,-6.808333912010615,-6.808333912010615,0.0
38,-3.3750002450154475,-3.3750002450154475,-3.3750002450154475,0.0
39,-10.89166713754336,-10.89166713754336,-10.89166713754336,0.0
