Generation,Min,Mean,Max,Std
-1,-22.933334152835112,-22.933334152835112,-22.933334152835112,0.0
0,-19.912500696528394,-19.912500696528394,-19.912500696528394,0.0
1,-22.033334130382475,-22.033334130382475,-22.033334130382475,0.0
2,-14.162500443751924,-14.162500443751924,-14.162500443751924,0.0
3,-11.204166986901933,-11.204166986901933,-11.204166986901933,0.0
4,-12.9125003934217,-12.9125003934217,-12.9125003934217,0.0
5,-12.412500378442928,-12.412500378442928,-12.412500378442928,0.0
6,-6.029166768421419,-6.029166768421419,-6.029166768421419,0.0
7,-10.600000297573084,-10.600000297573084,-10.600000297573084,0.0
8,-10.195833610370755,-10.195833610370755,-10.195833610370755,0.0
9,-11.254166989043975,-11.254166989043975,-11.254166989043975,0.0
10,-10.404166955850087,-10.404166955850087,-10.404166955850087,0.0
11,-5.012500112953906,-5.012500112953906,-5.012500112953906,0.0
12,-10.86666697244315,-10.86666697244315,-10.86666697244315,0.0
13,-10.579166985893002,-10.579166985893002,-10.579166985893002,0.0
14,-7.704166833738175,-7.704166833738175,-7.704166833738175,0.0
15,-6.462500126760763,-6.462500126760763,-6.462500126760763,0.0
16,-11.587500339878412,-11.587500339878412,-11.587500339878412,0.0
17,-7.200000145472586,-7.200000145472586,-7.200000145472586,0.0
18,-6.51666678286468,-6.51666678286468,-6.51666678286468,0.0
19,-11.708333678388348,-11.708333678388348,-11.708333678388348,0.0
20,-13.479167094027313,-13.479167094027313,-13.479167094027313,0.0
21,-10.416666985373013,-10.416666985373013,-10.416666985373013,0.0
22,-7.258333529617327,-7.258333529617327,-7.258333529617327,0.0
23,-12.537500457644152,-12.537500457644152,-12.537500457644152,0.0
24,-9.808333616315698,-9.808333616315698,-9.808333616315698,0.0
25,-6.78750014390486,-6.78750014390486,-6.78750014390486,0.0
26,-9.32083359543079,-9.32083359543079,-9.32083359543079,0.0
27,-8.662500266102143,-8.662500266102143,-8.662500266102143,0.0
28,-10.983333656991212,-10.983333656991212,-10.983333656991212,0.0
29,-14.012500463092389,-14.012500463092389,-14.012500463092389,0.0
30,-10.041666943541108,-10.041666943541108,-10.041666943541108,0.0
31,-13.033333757698225,-13.033333757698225,-13.033333757698225,0.0
32,-9.320833614755733,-9.320833614755733,-9.320833614755733,0.0
33,-11.179167005155856,-11.179167005155856,-11.179167005155856,0.0
34,-7.175000170168157,-7.175000170168157,-7.175000170168157,0.0
35,-9.666666930696616,-9.666666930696616,-9.666666930696616,0.0
36,-14.737500503698053,-14.737500503698053,-14.737500503698053,0.0
37,-7.604166986808802,-7.604166986808802,-7.604166986808802,0.0
38,-9.625000294453153,-9.625000294453153,-9.625000294453153,0.0
39,-9.425000472343527,-9.425000472343527,-9.425000472343527,0.0
