Generation,Min,Mean,Max,Std
-1,-24.7375009386645,-24.7375009386645,-24.7375009386645,0.0
0,-18.679167307137202,-18.679167307137202,-18.679167307137202,0.0
1,-15.454167181858793,-15.454167181858793,-15.454167181858793,0.0
2,-16.183333863659453,-16.183333863659453,-16.183333863659453,0.0
3,-11.058333647320978,-11.058333647320978,-11.058333647320978,0.0
4,-12.54166704742238,-12.54166704742238,-12.54166704742238,0.0
5,-10.904167006257921,-10.904167006257921,-10.904167006257921,0.0
6,-13.925000517318646,-13.925000517318646,-13.925000517318646,0.0
7,-8.633333556315241,-8.633333556315241,-8.633333556315241,0.0
8,-9.208333632249074,-9.208333632249074,-9.208333632249074,0.0
9,-9.812500385994403,-9.812500385994403,-9.812500385994403,0.0
10,-8.854167005163617,-8.854167005163617,-8.854167005163617,0.0
11,-7.400000411241005,-7.400000411241005,-7.400000411241005,0.0
12,-7.220833746677575,-7.220833746677575,-7.220833746677575,0.0
13,-7.416666898604793,-7.416666898604793,-7.416666898604793,0.0
14,-13.400000697157035,-13.400000697157035,-13.400000697157035,0.0
15,-11.933333900019838,-11.933333900019838,-11.933333900019838,0.0
16,-4.275000357301906,-4.275000357301906,-4.275000357301906,0.0
17,-2.658333772288946,-2.658333772288946,-2.658333772288946,0.0
18,-14.116667391421894,-14.116667391421894,-14.116667391421894,0.0
19,-6.762500496542391,-6.762500496542391,-6.762500496542391,0.0
20,-3.3708334660235173,-3.3708334660235173,-3.3708334660235173,0.0
21,-4.79583383211866,-4.79583383211866,-4.79583383211866,0.0
22,-4.775000494904816,-4.775000494904816,-4.775000494904816,0.0
23,-9.420833821486061,-9.420833821486061,-9.420833821486061,0.0
24,-11.641667227415988,-11.641667227415988,-11.641667227415988,0.0
25,-2.495833544021783,-2.495833544021783,-2.495833544021783,0.0
26,-11.691667348495685,-11.691667348495685,-11.691667348495685,0.0
27,-4.175000352552161,-4.175000352552161,-4.175000352552161,0.0
28,-10.07500063154536,-10.07500063154536,-10.07500063154536,0.0
29,-9.325000525917858,-9.325000525917858,-9.325000525917858,0.0
30,-10.875000688363798,-10.875000688363798,-10.875000688363798,0.0
31,-11.425000724809555,-11.425000724809555,-11.425000724809555,0.0
32,-2.2958336831458532,-2.2958336831458532,-2.2958336831458532,0.0
33,-2.6166670655366033,-2.6166670655366033,-2.6166670655366033,0.0
34,-4.9625004992509885,-4.9625004992509885,-4.9625004992509885,0.0
35,-3.737500469200313,-3.737500469200313,-3.737500469200313,0.0
36,-4.191667181439698,-4.191667181439698,-4.191667181439698,0.0
37,-5.20416704157833,-5.20416704157833,-5.20416704157833,0.0
38,-2.529167042928748,-2.529167042928748,-2.529167042928748,0.0
39,-2.6875004307754957,-2.6875004307754957,-2.6875004307754957,0.0
