Generation,Min,Mean,Max,Std
-1,-25.400000925175846,-23.22000083178282,-20.30000070668757,2.0193068982637614
0,-49.45000195549801,-22.7041674827924,-4.300000021234155,7.47438039954375
1,-31.100001169368625,-15.385833839156355,-3.2999999783933163,7.45257309783743
2,-29.000001079402864,-12.865833733750817,-3.2999999783933163,7.633176230336573
3,-50.50000200048089,-13.715000429089802,-3.2999999783933163,11.759767012475587
4,-50.70000200904906,-12.241667041011775,-3.2999999783933163,12.572295366563814
5,-50.70000200904906,-12.640000381103407,-3.1999999741092324,12.115860646825546
6,-49.70000196620822,-10.418333622479501,-3.1999999741092324,9.794284328542798
7,-48.70000192336738,-11.471667001582682,-3.250000014901161,10.800175489270885
8,-49.70000196620822,-9.400833582753936,-3.1999999741092324,10.619045807566586
9,-50.50000200048089,-13.137500411435031,-3.1999999741092324,11.722161227407849
10,-49.300001949071884,-13.383333759809224,-3.2999999783933163,12.266301470588449
11,-50.70000200904906,-15.041667158389464,-1.1500001568347216,14.90992788504727
12,-46.65000183554366,-9.985833652193348,8.899999619461596,10.228074854002449
13,-50.70000200904906,-11.813333713806545,1.1999997119419277,12.670523613360862
14,-49.2000019447878,-9.151666944039365,6.099999614059925,9.60794832404256
15,-46.200001816265285,-9.032500260005085,4.79999979166314,10.082463847665151
16,-50.400001996196806,-10.438333807194915,13.799999365583062,14.150590383634226
17,-47.15000185696408,-10.340833758710263,18.69999907305464,13.454424974756737
18,-50.70000200904906,-11.236667172866873,9.949999548494816,15.98175276734281
19,-49.50000195764005,-10.765000472947333,11.349999336525798,14.085475540920998
20,-50.70000200904906,-9.869167160522192,12.699999513104558,14.943201440725108
21,-37.350001437123865,-7.844167094289635,18.59999910881743,12.843105072235215
22,-49.300001949071884,-11.021667098114268,6.94999945582822,11.780416208892419
23,-31.800002162810415,-6.370000389427878,16.899999267887324,12.045062199452174
24,-45.80000179912895,-9.32000049779502,20.499999191612005,15.179573225268344
25,-47.10000185482204,-6.619167113583535,19.54999926686287,15.072127123540099
26,-50.600002004764974,-8.21583376827184,15.649999447632581,14.958048668676243
27,-32.85000136028975,-7.200833718990907,23.099999267142266,12.510290994930457
28,-50.70000200904906,-8.72583383511907,23.749999021645635,16.420063048241733
29,-50.70000200904906,-7.186667120456695,32.99999880231917,16.229078828408287
30,-44.30000173486769,-3.513208715462436,32.0999986063689,13.80384897690759
31,-50.50000200048089,-6.099167197314091,23.299998844973743,16.747735165560112
32,-41.800001627765596,-3.3342503851745278,30.39999868813902,14.322345867650787
33,-50.45000199833885,-6.590000468003564,27.29999898187816,15.474190580062034
34,-50.600002004764974,-8.446708900217589,23.59999917121604,18.403052775800205
35,-29.95000112010166,-2.3400421295470246,26.29999913368374,15.703893334119481
36,-50.600002004764974,-3.416625439740407,23.34999916050583,17.789889526466546
37,-50.50000200048089,-3.9837088195063797,24.949999113101512,16.716868862063173
38,-50.600002004764974,-4.6508337682966765,22.349999233614653,15.638173323101675
39,-50.45000199833885,-7.113583840701419,23.19999903673306,16.798641483989133
