Generation,Min,Mean,Max,Std
-1,-23.70416752563324,-23.70416752563324,-23.70416752563324,0.0
0,-21.27500078388645,-21.27500078388645,-21.27500078388645,0.0
1,-16.295833961882938,-16.295833961882938,-16.295833961882938,0.0
2,-14.100000441074371,-14.100000441074371,-14.100000441074371,0.0
3,-9.870833599668307,-9.870833599668307,-9.870833599668307,0.0
4,-6.25833343846413,-6.25833343846413,-6.25833343846413,0.0
5,-8.816666920048496,-8.816666920048496,-8.816666920048496,0.0
6,-7.658333530649543,-7.658333530649543,-7.658333530649543,0.0
7,-16.375000544978928,-16.375000544978928,-16.375000544978928,0.0
8,-13.541667177225463,-13.541667177225463,-13.541667177225463,0.0
9,-8.012500209268183,-8.012500209268183,-8.012500209268183,0.0
10,-8.625000293483026,-8.625000293483026,-8.625000293483026,0.0
11,-9.120833644721037,-9.120833644721037,-9.120833644721037,0.0
12,-11.679167052342867,-11.679167052342867,-11.679167052342867,0.0
13,-12.445833787166825,-12.445833787166825,-12.445833787166825,0.0
14,-10.241667113034055,-10.241667113034055,-10.241667113034055,0.0
15,-7.625000392242025,-7.625000392242025,-7.625000392242025,0.0
16,-15.32916741449541,-15.32916741449541,-15.32916741449541,0.0
17,-7.525000503209109,-7.525000503209109,-7.525000503209109,0.0
18,-19.083334039431065,-19.083334039431065,-19.083334039431065,0.0
19,-6.820833700553824,-6.820833700553824,-6.820833700553824,0.0
20,-7.558333732265358,-7.558333732265358,-7.558333732265358,0.0
21,-5.845833790488541,-5.845833790488541,-5.845833790488541,0.0
22,-6.287500671848345,-6.287500671848345,-6.287500671848345,0.0
23,0.11666649704178174,0.11666649704178174,0.11666649704178174,0.0
24,-3.3041670052722716,-3.3041670052722716,-3.3041670052722716,0.0
25,-4.216667044248122,-4.216667044248122,-4.216667044248122,0.0
26,-11.270833868416958,-11.270833868416958,-11.270833868416958,0.0
27,-0.9250002622138709,-0.9250002622138709,-0.9250002622138709,0.0
28,0.2208330724776412,0.2208330724776412,0.2208330724776412,0.0
29,-14.066667196263248,-14.066667196263248,-14.066667196263248,0.0
30,-6.416667131823488,-6.416667131823488,-6.416667131823488,0.0
31,-2.720833772327751,-2.720833772327751,-2.720833772327751,0.0
32,-0.7458337349817157,-0.7458337349817157,-0.7458337349817157,0.0
33,-3.7583337131266794,-3.7583337131266794,-3.7583337131266794,0.0
34,-11.608334068985036,-11.608334068985036,-11.608334068985036,0.0
35,-13.79583417593191,-13.79583417593191,-13.79583417593191,0.0
36,-3.7625005475711077,-3.7625005475711077,-3.7625005475711077,0.0
37,-9.416667449326875,-9.416667449326875,-9.416667449326875,0.0
38,-2.125000473499919,-2.125000473499919,-2.125000473499919,0.0
39,-13.27500076231081,-13.27500076231081,-13.27500076231081,0.0
