Generation,Min,Mean,Max,Std
-1,-23.17500083629663,-23.17500083629663,-23.17500083629663,0.0
0,-23.22916751172549,-23.22916751172549,-23.22916751172549,0.0
1,-15.650000520360967,-15.650000520360967,-15.650000520360967,0.0
2,-11.966667026009722,-11.966667026009722,-11.966667026009722,0.0
3,-12.820833748594547,-12.820833748594547,-12.820833748594547,0.0
4,-11.508333676261827,-11.508333676261827,-11.508333676261827,0.0
5,-10.08750032070869,-10.08750032070869,-10.08750032070869,0.0
6,-8.37500024412293,-8.37500024412293,-8.37500024412293,0.0
7,-18.39166732058705,-18.39166732058705,-18.39166732058705,0.0
8,-12.783333788625896,-12.783333788625896,-12.783333788625896,0.0
9,-8.012500193164064,-8.012500193164064,-8.012500193164064,0.0
10,-12.866667093553891,-12.866667093553891,-12.866667093553891,0.0
11,-11.408333697744334,-11.408333697744334,-11.408333697744334,0.0
12,-9.145833626467114,-9.145833626467114,-9.145833626467114,0.0
13,-24.075000919944916,-24.075000919944916,-24.075000919944916,0.0
14,-7.804166873451322,-7.804166873451322,-7.804166873451322,0.0
15,-20.475000797809724,-20.475000797809724,-20.475000797809724,0.0
16,-10.32500032444174,-10.32500032444174,-10.32500032444174,0.0
17,-15.07916723009354,-15.07916723009354,-15.07916723009354,0.0
18,-8.279167044946613,-8.279167044946613,-8.279167044946613,0.0
19,-4.6083335702229915,-4.6083335702229915,-4.6083335702229915,0.0
20,-5.979166952970748,-5.979166952970748,-5.979166952970748,0.0
21,-11.862500451505184,-11.862500451505184,-11.862500451505184,0.0
22,-16.054167284746654,-16.054167284746654,-16.054167284746654,0.0
23,-10.237500523255827,-10.237500523255827,-10.237500523255827,0.0
24,-10.120833873904,-10.120833873904,-10.120833873904,0.0
25,-5.68333346536383,-5.68333346536383,-5.68333346536383,0.0
26,-19.466667395628367,-19.466667395628367,-19.466667395628367,0.0
27,-15.225000627765743,-15.225000627765743,-15.225000627765743,0.0
28,-12.14166702706522,-12.14166702706522,-12.14166702706522,0.0
29,-13.104167315720892,-13.104167315720892,-13.104167315720892,0.0
30,-14.970833847143998,-14.970833847143998,-14.970833847143998,0.0
31,-16.38333407479028,-16.38333407479028,-16.38333407479028,0.0
32,-8.779166995625323,-8.779166995625323,-8.779166995625323,0.0
33,-9.262500256377583,-9.262500256377583,-9.262500256377583,0.0
34,-21.137500800541602,-21.137500800541602,-21.137500800541602,0.0
35,-14.612500707463672,-14.612500707463672,-14.612500707463672,0.0
36,-20.008334062838305,-20.008334062838305,-20.008334062838305,0.0
37,-12.300000688565584,-12.300000688565584,-12.300000688565584,0.0
38,-12.495833712125508,-12.495833712125508,-12.495833712125508,0.0
39,-15.233334131228427,-15.233334131228427,-15.233334131228427,0.0
