Generation,Min,Mean,Max,Std
-1,-23.616667515443016,-23.616667515443016,-23.616667515443016,0.0
0,-22.812500817546,-22.812500817546,-22.812500817546,0.0
1,-15.13333381867657,-15.13333381867657,-15.13333381867657,0.0
2,-15.341667177039199,-15.341667177039199,-15.341667177039199,0.0
3,-14.995833828890076,-14.995833828890076,-14.995833828890076,0.0
4,-6.062500096741132,-6.062500096741132,-6.062500096741132,0.0
5,-13.700000517109098,-13.700000517109098,-13.700000517109098,0.0
6,-10.741667099141827,-10.741667099141827,-10.741667099141827,0.0
7,-8.60416688839905,-8.60416688839905,-8.60416688839905,0.0
8,-10.67500037808592,-10.67500037808592,-10.67500037808592,0.0
9,-11.35833366017323,-11.35833366017323,-11.35833366017323,0.0
10,-9.333333679358475,-9.333333679358475,-9.333333679358475,0.0
11,-1.5416668234781052,-1.5416668234781052,-1.5416668234781052,0.0
12,-7.43750037419765,-7.43750037419765,-7.43750037419765,0.0
13,-11.429167144349776,-11.429167144349776,-11.429167144349776,0.0
14,-4.970833733677864,-4.970833733677864,-4.970833733677864,0.0
15,-12.454167108090283,-12.454167108090283,-12.454167108090283,0.0
16,-8.86250029077443,-8.86250029077443,-8.86250029077443,0.0
17,-9.679167201432088,-9.679167201432088,-9.679167201432088,0.0
18,-12.745833774368899,-12.745833774368899,-12.745833774368899,0.0
19,-3.066666895717693,-3.066666895717693,-3.066666895717693,0.0
20,-4.987500201833124,-4.987500201833124,-4.987500201833124,0.0
21,-6.754166989276807,-6.754166989276807,-6.754166989276807,0.0
22,-10.35000040269612,-10.35000040269612,-10.35000040269612,0.0
23,-7.550000179791823,-7.550000179791823,-7.550000179791823,0.0
24,-7.925000385420087,-7.925000385420087,-7.925000385420087,0.0
25,-13.87916712082612,-13.87916712082612,-13.87916712082612,0.0
26,-3.6708336393348873,-3.6708336393348873,-3.6708336393348873,0.0
27,-7.4625004398015635,-7.4625004398015635,-7.4625004398015635,0.0
28,-6.7791669481278705,-6.7791669481278705,-6.7791669481278705,0.0
29,-7.841667071178866,-7.841667071178866,-7.841667071178866,0.0
30,-7.145833685256851,-7.145833685256851,-7.145833685256851,0.0
31,-2.700000251759775,-2.700000251759775,-2.700000251759775,0.0
32,-2.891667006808954,-2.891667006808954,-2.891667006808954,0.0
33,-3.6541668565866225,-3.6541668565866225,-3.6541668565866225,0.0
34,-8.458333770472867,-8.458333770472867,-8.458333770472867,0.0
35,-7.19583349795236,-7.19583349795236,-7.19583349795236,0.0
36,-7.570833790542868,-7.570833790542868,-7.570833790542868,0.0
37,-4.7541670864836005,-4.7541670864836005,-4.7541670864836005,0.0
38,-4.787500222368787,-4.787500222368787,-4.787500222368787,0.0
39,-5.437500327282275,-5.437500327282275,-5.437500327282275,0.0
