Generation,Min,Mean,Max,Std
-1,-22.129167458158918,-22.129167458158918,-22.129167458158918,0.0
0,-21.941667446905438,-21.941667446905438,-21.941667446905438,0.0
1,-18.71250063867774,-18.71250063867774,-18.71250063867774,0.0
2,-13.829167096138312,-13.829167096138312,-13.829167096138312,0.0
3,-11.550000360817648,-11.550000360817648,-11.550000360817648,0.0
4,-10.93333365484917,-10.93333365484917,-10.93333365484917,0.0
5,-11.379167007282376,-11.379167007282376,-11.379167007282376,0.0
6,-7.187500340941672,-7.187500340941672,-7.187500340941672,0.0
7,-11.016667004635869,-11.016667004635869,-11.016667004635869,0.0
8,-10.2666670884549,-10.2666670884549,-10.2666670884549,0.0
9,-11.17500034153151,-11.17500034153151,-11.17500034153151,0.0
10,-4.183333568236169,-4.183333568236169,-4.183333568236169,0.0
11,-10.737500422401354,-10.737500422401354,-10.737500422401354,0.0
12,-7.566667004760045,-7.566667004760045,-7.566667004760045,0.0
13,-7.691666865294489,-7.691666865294489,-7.691666865294489,0.0
14,-8.662500275764614,-8.662500275764614,-8.662500275764614,0.0
15,-9.429166926963566,-9.429166926963566,-9.429166926963566,0.0
16,-6.445833687592919,-6.445833687592919,-6.445833687592919,0.0
17,-3.6708335400714227,-3.6708335400714227,-3.6708335400714227,0.0
18,-7.466666997138721,-7.466666997138721,-7.466666997138721,0.0
19,-6.175000474128562,-6.175000474128562,-6.175000474128562,0.0
20,-8.095833655330352,-8.095833655330352,-8.095833655330352,0.0
21,-11.595833725101935,-11.595833725101935,-11.595833725101935,0.0
22,-8.729167125187814,-8.729167125187814,-8.729167125187814,0.0
23,-10.391667096681582,-10.391667096681582,-10.391667096681582,0.0
24,-2.9208335785660893,-2.9208335785660893,-2.9208335785660893,0.0
25,-5.654167064310362,-5.654167064310362,-5.654167064310362,0.0
26,-13.912500458808305,-13.912500458808305,-13.912500458808305,0.0
27,-5.2791669931417955,-5.2791669931417955,-5.2791669931417955,0.0
28,-5.562500226466606,-5.562500226466606,-5.562500226466606,0.0
29,-7.820833701407537,-7.820833701407537,-7.820833701407537,0.0
30,-8.791666957510946,-8.791666957510946,-8.791666957510946,0.0
31,-0.4041670220516001,-0.4041670220516001,-0.4041670220516001,0.0
32,-5.083333632326685,-5.083333632326685,-5.083333632326685,0.0
33,0.058333001215942204,0.058333001215942204,0.058333001215942204,0.0
34,1.2124997076656048,1.2124997076656048,1.2124997076656048,0.0
35,-3.7250005651731044,-3.7250005651731044,-3.7250005651731044,0.0
36,-9.700000281562097,-9.700000281562097,-9.700000281562097,0.0
37,-5.329167178521554,-5.329167178521554,-5.329167178521554,0.0
38,-9.758333739436543,-9.758333739436543,-9.758333739436543,0.0
39,-7.545833757030778,-7.545833757030778,-7.545833757030778,0.0
