Generation,Min,Mean,Max,Std
-1,-23.929167535272427,-23.929167535272427,-23.929167535272427,0.0
0,-20.0750007131525,-20.0750007131525,-20.0750007131525,0.0
1,-16.108333879771333,-16.108333879771333,-16.108333879771333,0.0
2,-12.162500419149486,-12.162500419149486,-12.162500419149486,0.0
3,-13.095833741050834,-13.095833741050834,-13.095833741050834,0.0
4,-9.50833360668427,-9.50833360668427,-9.50833360668427,0.0
5,-10.533333653816953,-10.533333653816953,-10.533333653816953,0.0
6,-14.379167132584067,-14.379167132584067,-14.379167132584067,0.0
7,-11.229167007297898,-11.229167007297898,-11.229167007297898,0.0
8,-14.583333798334934,-14.583333798334934,-14.583333798334934,0.0
9,-12.225000421943454,-12.225000421943454,-12.225000421943454,0.0
10,-5.50416677169657,-5.50416677169657,-5.50416677169657,0.0
11,-9.075000373724228,-9.075000373724228,-9.075000373724228,0.0
12,-17.16250059804103,-17.16250059804103,-17.16250059804103,0.0
13,-11.712500403208347,-11.712500403208347,-11.712500403208347,0.0
14,-9.55416700639762,-9.55416700639762,-9.55416700639762,0.0
15,-10.183333854035785,-10.183333854035785,-10.183333854035785,0.0
16,-9.604166992435543,-9.604166992435543,-9.604166992435543,0.0
17,-11.32083380971259,-11.32083380971259,-11.32083380971259,0.0
18,-10.116667007949824,-10.116667007949824,-10.116667007949824,0.0
19,-8.23750032185732,-8.23750032185732,-8.23750032185732,0.0
20,-6.720833718349847,-6.720833718349847,-6.720833718349847,0.0
21,-12.429167171086496,-12.429167171086496,-12.429167171086496,0.0
22,-9.941666981011318,-9.941666981011318,-9.941666981011318,0.0
23,-11.379167007282376,-11.379167007282376,-11.379167007282376,0.0
24,-13.958333784442706,-13.958333784442706,-13.958333784442706,0.0
25,-16.26666739967186,-16.26666739967186,-16.26666739967186,0.0
26,-7.191667043215905,-7.191667043215905,-7.191667043215905,0.0
27,-8.012500263789358,-8.012500263789358,-8.012500263789358,0.0
28,-8.279167205289317,-8.279167205289317,-8.279167205289317,0.0
29,-15.45416727825068,-15.45416727825068,-15.45416727825068,0.0
30,-6.612500319529015,-6.612500319529015,-6.612500319529015,0.0
31,-3.1708336115892357,-3.1708336115892357,-3.1708336115892357,0.0
32,-5.725000098386469,-5.725000098386469,-5.725000098386469,0.0
33,-10.250000324449502,-10.250000324449502,-10.250000324449502,0.0
34,-5.670833702587212,-5.670833702587212,-5.670833702587212,0.0
35,-9.00000046333298,-9.00000046333298,-9.00000046333298,0.0
36,-10.81250038719736,-10.81250038719736,-10.81250038719736,0.0
37,-10.079167289077304,-10.079167289077304,-10.079167289077304,0.0
38,-4.4666669715661556,-4.4666669715661556,-4.4666669715661556,0.0
39,-6.495833451859653,-6.495833451859653,-6.495833451859653,0.0
