Generation,Min,Mean,Max,Std
-1,-23.42083417372002,-23.42083417372002,-23.42083417372002,0.0
0,-21.137500742566772,-21.137500742566772,-21.137500742566772,0.0
1,-21.137500742566772,-21.137500742566772,-21.137500742566772,0.0
2,-13.887500435191518,-13.887500435191518,-13.887500435191518,0.0
3,-13.887500435191518,-13.887500435191518,-13.887500435191518,0.0
4,-12.504167049036672,-12.504167049036672,-12.504167049036672,0.0
5,-11.408333662315272,-11.408333662315272,-11.408333662315272,0.0
6,-11.408333662315272,-11.408333662315272,-11.408333662315272,0.0
7,-11.408333662315272,-11.408333662315272,-11.408333662315272,0.0
8,-4.3291667342418805,-4.3291667342418805,-4.3291667342418805,0.0
9,-4.308333554266331,-4.308333554266331,-4.308333554266331,0.0
10,-4.308333554266331,-4.308333554266331,-4.308333554266331,0.0
11,-4.308333554266331,-4.308333554266331,-4.308333554266331,0.0
12,-4.308333554266331,-4.308333554266331,-4.308333554266331,0.0
13,-4.308333554266331,-4.308333554266331,-4.308333554266331,0.0
14,-4.308333554266331,-4.308333554266331,-4.308333554266331,0.0
15,-4.308333554266331,-4.308333554266331,-4.308333554266331,0.0
16,-2.550000277076227,-2.550000277076227,-2.550000277076227,0.0
17,-2.550000277076227,-2.550000277076227,-2.550000277076227,0.0
18,-2.550000277076227,-2.550000277076227,-2.550000277076227,0.0
19,-2.0750002729473636,-2.0750002729473636,-2.0750002729473636,0.0
20,-2.0750002729473636,-2.0750002729473636,-2.0750002729473636,0.0
21,-2.0750002729473636,-2.0750002729473636,-2.0750002729473636,0.0
22,-2.0750002729473636,-2.0750002729473636,-2.0750002729473636,0.0
23,-2.0750002729473636,-2.0750002729473636,-2.0750002729473636,0.0
24,-1.8458335708128288,-1.8458335708128288,-1.8458335708128288,0.0
25,-1.8458335708128288,-1.8458335708128288,-1.8458335708128288,0.0
26,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
27,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
28,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
29,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
30,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
31,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
32,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
33,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
34,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
35,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
36,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
37,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
38,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
39,2.0916664497150728,2.0916664497150728,2.0916664497150728,0.0
