Generation,Min,Mean,Max,Std
-1,-24.241667561543483,-24.241667561543483,-24.241667561543483,0.0
0,-21.720834116994713,-21.720834116994713,-21.720834116994713,0.0
1,-15.90833385831987,-15.90833385831987,-15.90833385831987,0.0
2,-16.229167240827035,-16.229167240827035,-16.229167240827035,0.0
3,-14.695833799933704,-14.695833799933704,-14.695833799933704,0.0
4,-17.920833941316232,-17.920833941316232,-17.920833941316232,0.0
5,-12.437500369851477,-12.437500369851477,-12.437500369851477,0.0
6,-9.979166944084378,-9.979166944084378,-9.979166944084378,0.0
7,-11.987500357014747,-11.987500357014747,-11.987500357014747,0.0
8,-8.720833624363877,-8.720833624363877,-8.720833624363877,0.0
9,-13.404167171102017,-13.404167171102017,-13.404167171102017,0.0
10,-17.512500613035325,-17.512500613035325,-17.512500613035325,0.0
11,-8.904166904472126,-8.904166904472126,-8.904166904472126,0.0
12,-13.750000445405021,-13.750000445405021,-13.750000445405021,0.0
13,-10.025000276160426,-10.025000276160426,-10.025000276160426,0.0
14,-8.77083360729739,-8.77083360729739,-8.77083360729739,0.0
15,-3.9000001618017754,-3.9000001618017754,-3.9000001618017754,0.0
16,-8.925000290231159,-8.925000290231159,-8.925000290231159,0.0
17,-11.07083367362308,-11.07083367362308,-11.07083367362308,0.0
18,-9.808333728811704,-9.808333728811704,-9.808333728811704,0.0
19,-5.629167065878089,-5.629167065878089,-5.629167065878089,0.0
20,-11.125000548277361,-11.125000548277361,-11.125000548277361,0.0
21,-9.137500254243301,-9.137500254243301,-9.137500254243301,0.0
22,-9.12916699439908,-9.12916699439908,-9.12916699439908,0.0
23,-8.308333818684332,-8.308333818684332,-8.308333818684332,0.0
24,-9.662500334593156,-9.662500334593156,-9.662500334593156,0.0
25,-13.420833970187232,-13.420833970187232,-13.420833970187232,0.0
26,-12.858333746980255,-12.858333746980255,-12.858333746980255,0.0
27,-7.654167063029793,-7.654167063029793,-7.654167063029793,0.0
28,-9.100000246195123,-9.100000246195123,-9.100000246195123,0.0
29,-5.287500266102143,-5.287500266102143,-5.287500266102143,0.0
30,-12.970833848191736,-12.970833848191736,-12.970833848191736,0.0
31,-9.129167180974036,-9.129167180974036,-9.129167180974036,0.0
32,-9.529167358685905,-9.529167358685905,-9.529167358685905,0.0
33,-8.6083335391401,-8.6083335391401,-8.6083335391401,0.0
34,-5.379167151676181,-5.379167151676181,-5.379167151676181,0.0
35,-6.666667203729351,-6.666667203729351,-6.666667203729351,0.0
36,-10.7583340331524,-10.7583340331524,-10.7583340331524,0.0
37,-8.979167331902621,-8.979167331902621,-8.979167331902621,0.0
38,-7.758333592792042,-7.758333592792042,-7.758333592792042,0.0
39,-12.266667299399463,-12.266667299399463,-12.266667299399463,0.0
