Generation,Min,Mean,Max,Std
-1,-29.000001079402864,-21.36000075209886,-14.300000449642539,4.94999011104131
0,-31.00000116508454,-20.852500736154617,-4.200000016950071,7.3568419468155835
1,-49.600001961924136,-16.347500547642507,-3.499999986961484,9.766189650954177
2,-46.80000184196979,-14.564167140509623,-3.349999980535358,10.489829217841619
3,-49.2000019447878,-11.928333689745825,-3.2999999783933163,11.116202491138164
4,-50.650002006907016,-12.535833709329987,-3.1999999741092324,13.089373131216153
5,-50.400001996196806,-9.560833583810988,-3.1999999741092324,10.196638328946522
6,-48.90000193193555,-10.569166959698002,-3.1999999741092324,13.00152640429325
7,-47.20000185910612,-8.749166879151016,-3.2999999783933163,9.856983953249582
8,-50.30000199191272,-8.657500211778096,-2.9500000020489097,11.536806905059423
9,-50.30000199191272,-11.845833679125644,-3.1999999741092324,12.588882181347978
10,-50.50000200048089,-11.345000324980356,-3.1999999741092324,12.837139705365953
11,-50.00000197906047,-10.43250029037396,-3.1999999741092324,11.91510935446438
12,-49.90000197477639,-11.960000350683307,-3.0999999698251486,12.031025687944659
13,-50.70000200904906,-10.939166976193276,-3.1999999741092324,12.329707513179292
14,-50.350001994054765,-9.923333598052462,-3.0999999698251486,11.137454056955205
15,-50.70000200904906,-10.997500309449,-3.1999999741092324,12.85602191876063
16,-50.50000200048089,-12.264167029736564,-3.1999999741092324,12.272439469594621
17,-49.2000019447878,-10.575833625361945,-3.1999999741092324,11.79535090228827
18,-47.60000187624246,-12.651667048269882,-3.1000000471249223,12.124730642246146
19,-50.70000200904906,-9.494166925239066,3.6499996623024344,12.79268429652524
20,-50.70000200904906,-11.460833672938557,-3.1999999741092324,13.166941789330279
21,-50.650002006907016,-14.288333797936017,4.4999995441176,13.179452251392458
22,-50.70000200904906,-11.112500321438226,-3.1999999741092324,11.422878211924303
23,-50.70000200904906,-15.513333838176914,-3.1999999741092324,14.411214036162702
24,-50.600002004764974,-10.685833641669403,-2.5500001781620085,10.857183533526088
25,-50.600002004764974,-14.10416714392292,17.099999276455492,15.323947792807976
26,-35.65000136429444,-8.753333608938071,17.249999400228262,10.873097372829085
27,-50.70000200904906,-11.931667070727174,14.049999533686787,14.715695035213159
28,-50.70000200904906,-15.195000543887726,17.849999269936234,15.463534825219924
29,-50.600002004764974,-11.12166702063599,10.699999541975558,13.054311317968427
30,-50.20000198762864,-8.399167056917213,22.19999899249524,14.155772055504997
31,-50.600002004764974,-8.827500384743326,18.74999915389344,14.147248132140549
32,-50.70000200904906,-11.355833832880792,16.74999941745773,17.26384300523016
33,-50.70000200904906,-8.348333805946943,18.749999309889972,17.085620508428647
34,-50.70000200904906,-10.059167085013662,19.3499992582947,14.89570309750557
35,-50.650002006907016,-7.793333721277304,19.749999119434506,16.692065590309706
36,-50.600002004764974,-11.960833887189317,23.349998925812542,16.806056114118675
37,-50.70000200904906,-10.968333835604911,15.349999356083572,16.510908405753774
38,-50.70000200904906,-11.764583823876455,15.899999340996146,17.044083248998593
39,-50.600002004764974,-4.68666695690093,19.599998995661736,12.942298020632927
