Generation,Min,Mean,Max,Std
-1,-23.866667529374052,-23.866667529374052,-23.866667529374052,0.0
0,-20.520834052702412,-20.520834052702412,-20.520834052702412,0.0
1,-13.016667067771778,-13.016667067771778,-13.016667067771778,0.0
2,-14.19583379139658,-14.19583379139658,-14.19583379139658,0.0
3,-12.937500404155193,-12.937500404155193,-12.937500404155193,0.0
4,-6.841666832217015,-6.841666832217015,-6.841666832217015,0.0
5,-14.325000473259328,-14.325000473259328,-14.325000473259328,0.0
6,-8.191666948026977,-8.191666948026977,-8.191666948026977,0.0
7,-12.512500427818546,-12.512500427818546,-12.512500427818546,0.0
8,-12.691667047406858,-12.691667047406858,-12.691667047406858,0.0
9,-12.691667053848505,-12.691667053848505,-12.691667053848505,0.0
10,-11.837500350588622,-11.837500350588622,-11.837500350588622,0.0
11,-9.66666693391744,-9.66666693391744,-9.66666693391744,0.0
12,-9.566666990829011,-9.566666990829011,-9.566666990829011,0.0
13,-15.625000544940121,-15.625000544940121,-15.625000544940121,0.0
14,-14.216667235130444,-14.216667235130444,-14.216667235130444,0.0
15,-19.145834128954448,-19.145834128954448,-19.145834128954448,0.0
16,-10.587500361454053,-10.587500361454053,-10.587500361454053,0.0
17,-11.112500377503844,-11.112500377503844,-11.112500377503844,0.0
18,-0.8708334035472944,-0.8708334035472944,-0.8708334035472944,0.0
19,-11.700000527935723,-11.700000527935723,-11.700000527935723,0.0
20,-17.09583393818078,-17.09583393818078,-17.09583393818078,0.0
21,-11.216667035749802,-11.216667035749802,-11.216667035749802,0.0
22,-8.075000202283263,-8.075000202283263,-8.075000202283263,0.0
23,-7.200000145472586,-7.200000145472586,-7.200000145472586,0.0
24,-10.97500039714699,-10.97500039714699,-10.97500039714699,0.0
25,-7.300000304123387,-7.300000304123387,-7.300000304123387,0.0
26,-5.941666899831034,-5.941666899831034,-5.941666899831034,0.0
27,-1.854166795227987,-1.854166795227987,-1.854166795227987,0.0
28,-3.2708336028736085,-3.2708336028736085,-3.2708336028736085,0.0
29,-3.7416669983649626,-3.7416669983649626,-3.7416669983649626,0.0
30,1.5999997205799446,1.5999997205799446,1.5999997205799446,0.0
31,-3.7458337161612385,-3.7458337161612385,-3.7458337161612385,0.0
32,-4.466667167105091,-4.466667167105091,-4.466667167105091,0.0
33,-2.4541670935383686,-2.4541670935383686,-2.4541670935383686,0.0
34,-8.650000464559222,-8.650000464559222,-8.650000464559222,0.0
35,-4.204166921437718,-4.204166921437718,-4.204166921437718,0.0
36,-5.1083335434474675,-5.1083335434474675,-5.1083335434474675,0.0
37,-8.941667156488014,-8.941667156488014,-8.941667156488014,0.0
38,-4.541667144667978,-4.541667144667978,-4.541667144667978,0.0
39,-4.845833743379141,-4.845833743379141,-4.845833743379141,0.0
