Generation,Min,Mean,Max,Std
-1,-30.000001122243702,-24.50000088661909,-18.100000612437725,3.967367054940798
0,-30.70000115223229,-20.875834070487567,-6.800000128336251,5.798387173333262
1,-46.30000182054937,-14.590000467219701,-3.2999999783933163,9.547599583137593
2,-31.25000117579475,-13.418333755511169,-3.2999999783933163,8.961171099257328
3,-50.100001983344555,-10.160000272925632,-3.1999999741092324,9.912600991833092
4,-50.70000200904906,-13.373333744565025,-3.2999999783933163,14.512766457272946
5,-48.90000193193555,-10.471666952300195,-3.1999999741092324,11.561291393037836
6,-45.400001781992614,-9.173333565277668,-3.1999999741092324,10.997858091626268
7,-50.20000198762864,-10.028333599974092,-3.2999999783933163,12.272029584633268
8,-50.70000200904906,-9.045000224513933,-3.2499999762512743,10.132257915340201
9,-35.20000134501606,-9.570000253447022,-3.2499999762512743,9.962702545388668
10,-45.25000177556649,-8.150000187459712,-3.1999999741092324,9.128896818773175
11,-50.70000200904906,-13.377500410121865,-3.1999999741092324,14.843810863869265
12,-50.400001996196806,-8.932500219694338,-3.1999999741092324,10.786808860185598
13,-50.70000200904906,-12.921667057904415,-3.1999999741092324,14.060060367279368
14,-44.20000173058361,-9.436666913757412,-3.1999999741092324,10.284535222560118
15,-50.30000199191272,-9.166666897037066,-3.1999999741092324,10.61015151640686
16,-50.600002004764974,-9.263333567845015,-3.1999999741092324,11.793179560350247
17,-46.30000182054937,-8.386666862977048,-3.1999999741092324,9.98045159751084
18,-49.70000196620822,-11.087500312016346,-3.0999999698251486,10.888345248081311
19,-50.100001983344555,-11.391666992357932,-3.1999999741092324,11.951611863391834
20,-50.100001983344555,-10.610833625573044,-3.1999999741092324,11.571834446956684
21,-30.600001147948205,-8.480833534322057,-3.0999999698251486,9.249072835257591
22,-50.50000200048089,-12.503333707293496,-3.1999999741092324,11.839126554644965
23,-28.700001066550612,-8.98333355584958,-3.1999999741092324,9.017047514504162
24,-49.40000195335597,-10.470000286850457,-3.1999999741092324,10.805451248511133
25,-31.20000117365271,-7.865000174605909,-3.1999999741092324,8.784263294016739
26,-49.8000019704923,-11.033333643673298,-2.9999999655410647,11.734517488046203
27,-48.000001893378794,-9.38750023918692,-3.1999999741092324,10.320423661009249
28,-50.100001983344555,-12.036667019346108,-3.1999999741092324,12.485905476969196
29,-46.450001826975495,-8.46195855635063,1.3324997774325311,10.000036845501178
30,-30.45000114152208,-9.53083358896741,-0.10000015050172806,9.807587149228402
31,-50.70000200904906,-11.53833367174957,0.5499997613951564,13.480648325964372
32,-50.70000200904906,-11.455000336755377,-3.1999999741092324,12.916090972628933
33,-50.70000200904906,-11.910833695414476,3.749999745283276,12.440150878949478
34,-49.90000197477639,-9.300000252830795,-0.7500003715977073,10.651350135116829
35,-50.70000200904906,-11.070833680018161,5.699999556876719,13.008229622683785
36,-50.70000200904906,-9.525000267576736,12.549999389331788,12.761278201531491
37,-50.70000200904906,-13.445833752180139,-3.1999999741092324,12.602636807890772
38,-50.400001996196806,-11.950833726045676,7.949999538715929,13.571175524553563
39,-50.70000200904906,-11.524167003187662,-3.0999999698251486,14.34155298727297
