Generation,Min,Mean,Max,Std
-1,-24.62083424445397,-24.62083424445397,-24.62083424445397,0.0
0,-21.137500761891715,-21.137500761891715,-21.137500761891715,0.0
1,-16.333333902293816,-16.333333902293816,-16.333333902293816,0.0
2,-14.962500513453657,-14.962500513453657,-14.962500513453657,0.0
3,-14.283333814470097,-14.283333814470097,-14.283333814470097,0.0
4,-9.020833566474417,-9.020833566474417,-9.020833566474417,0.0
5,-6.600000129430555,-6.600000129430555,-6.600000129430555,0.0
6,-10.829166993382387,-10.829166993382387,-10.829166993382387,0.0
7,-11.287500330246985,-11.287500330246985,-11.287500330246985,0.0
8,-7.908333547684985,-7.908333547684985,-7.908333547684985,0.0
9,-8.975000237619193,-8.975000237619193,-8.975000237619193,0.0
10,-9.020833579357713,-9.020833579357713,-9.020833579357713,0.0
11,-7.458333489873136,-7.458333489873136,-7.458333489873136,0.0
12,-10.729166979435831,-10.729166979435831,-10.729166979435831,0.0
13,-11.820833683207942,-11.820833683207942,-11.820833683207942,0.0
14,-10.67083366937004,-10.67083366937004,-10.67083366937004,0.0
15,-6.283333442755975,-6.283333442755975,-6.283333442755975,0.0
16,-10.366666954243556,-10.366666954243556,-10.366666954243556,0.0
17,-19.354167348938063,-19.354167348938063,-19.354167348938063,0.0
18,-9.204166914103553,-9.204166914103553,-9.204166914103553,0.0
19,-13.358333781283969,-13.358333781283969,-13.358333781283969,0.0
20,-6.987500152473028,-6.987500152473028,-6.987500152473028,0.0
21,-6.975000184145756,-6.975000184145756,-6.975000184145756,0.0
22,-9.36250027998661,-9.36250027998661,-9.36250027998661,0.0
23,-8.941666899637008,-8.941666899637008,-8.941666899637008,0.0
24,-14.287500455548676,-14.287500455548676,-14.287500455548676,0.0
25,-9.545833595407506,-9.545833595407506,-9.545833595407506,0.0
26,-8.033333527389914,-8.033333527389914,-8.033333527389914,0.0
27,-8.858333556291958,-8.858333556291958,-8.858333556291958,0.0
28,-10.97916698048357,-10.97916698048357,-10.97916698048357,0.0
29,-10.800000335128667,-10.800000335128667,-10.800000335128667,0.0
30,-8.662500240335552,-8.662500240335552,-8.662500240335552,0.0
31,-4.104166939699401,-4.104166939699401,-4.104166939699401,0.0
32,-12.245833746274002,-12.245833746274002,-12.245833746274002,0.0
33,-10.56250046667022,-10.56250046667022,-10.56250046667022,0.0
34,-7.287500412746643,-7.287500412746643,-7.287500412746643,0.0
35,-7.666667053902832,-7.666667053902832,-7.666667053902832,0.0
36,-6.537500129973826,-6.537500129973826,-6.537500129973826,0.0
37,-10.94583391568934,-10.94583391568934,-10.94583391568934,0.0
38,-13.816667127694624,-13.816667127694624,-13.816667127694624,0.0
39,-10.462500584195368,-10.462500584195368,-10.462500584195368,0.0
