Generation,Min,Mean,Max,Std
-1,-27.012501000698347,-27.012501000698347,-27.012501000698347,0.0
0,-18.31250065374964,-18.31250065374964,-18.31250065374964,0.0
1,-12.758333745916994,-12.758333745916994,-12.758333745916994,0.0
2,-9.02500029761965,-9.02500029761965,-9.02500029761965,0.0
3,-9.275000250471445,-9.275000250471445,-9.275000250471445,0.0
4,-10.004166948376223,-10.004166948376223,-10.004166948376223,0.0
5,-12.358333869914835,-12.358333869914835,-12.358333869914835,0.0
6,-13.958333983435296,-13.958333983435296,-13.958333983435296,0.0
7,-2.170833687336805,-2.170833687336805,-2.170833687336805,0.0
8,-7.887500399801259,-7.887500399801259,-7.887500399801259,0.0
9,-8.84166725849112,-8.84166725849112,-8.84166725849112,0.0
10,-9.837500547291711,-9.837500547291711,-9.837500547291711,0.0
11,-7.237500391279657,-7.237500391279657,-7.237500391279657,0.0
12,-14.02500062098261,-14.02500062098261,-14.02500062098261,0.0
13,-6.7791670669491095,-6.7791670669491095,-6.7791670669491095,0.0
14,-9.054166952768961,-9.054166952768961,-9.054166952768961,0.0
15,-10.050000575836748,-10.050000575836748,-10.050000575836748,0.0
16,-3.612500454299152,-3.612500454299152,-3.612500454299152,0.0
17,-8.937500512188612,-8.937500512188612,-8.937500512188612,0.0
18,-10.133334134511339,-10.133334134511339,-10.133334134511339,0.0
19,-4.216667088641164,-4.216667088641164,-4.216667088641164,0.0
20,-10.758333785614619,-10.758333785614619,-10.758333785614619,0.0
21,-15.95833398917845,-15.95833398917845,-15.95833398917845,0.0
22,-10.829167076774562,-10.829167076774562,-10.829167076774562,0.0
23,-5.433333750038098,-5.433333750038098,-5.433333750038098,0.0
24,-1.6250004107908655,-1.6250004107908655,-1.6250004107908655,0.0
25,-3.8250003319311268,-3.8250003319311268,-3.8250003319311268,0.0
26,-2.596667188568972,-2.596667188568972,-2.596667188568972,0.0
27,-3.4125004070810974,-3.4125004070810974,-3.4125004070810974,0.0
28,-8.554167290683836,-8.554167290683836,-8.554167290683836,0.0
29,-7.53333381745809,-7.53333381745809,-7.53333381745809,0.0
30,-12.604167544826245,-12.604167544826245,-12.604167544826245,0.0
31,-10.683334004172744,-10.683334004172744,-10.683334004172744,0.0
32,-4.362500393025887,-4.362500393025887,-4.362500393025887,0.0
33,-4.883333623642102,-4.883333623642102,-4.883333623642102,0.0
34,-3.720833833795041,-3.720833833795041,-3.720833833795041,0.0
35,-4.008333682781085,-4.008333682781085,-4.008333682781085,0.0
36,-7.787500700447708,-7.787500700447708,-7.787500700447708,0.0
37,-8.125000339234248,-8.125000339234248,-8.125000339234248,0.0
38,-0.04583352245390415,-0.04583352245390415,-0.04583352245390415,0.0
39,-9.458333951809133,-9.458333951809133,-9.458333951809133,0.0
