Generation,Min,Mean,Max,Std
-1,-22.629167473137688,-22.629167473137688,-22.629167473137688,0.0
0,-21.758334118601244,-21.758334118601244,-21.758334118601244,0.0
1,-17.875000618902657,-17.875000618902657,-17.875000618902657,0.0
2,-14.533333792972067,-14.533333792972067,-14.533333792972067,0.0
3,-9.620833582516449,-9.620833582516449,-9.620833582516449,0.0
4,-13.43750043201726,-13.43750043201726,-13.43750043201726,0.0
5,-14.445833792444319,-14.445833792444319,-14.445833792444319,0.0
6,-8.650000217254274,-8.650000217254274,-8.650000217254274,0.0
7,-9.84583361148058,-9.84583361148058,-9.84583361148058,0.0
8,-11.258333665551618,-11.258333665551618,-11.258333665551618,0.0
9,-24.566667556141812,-24.566667556141812,-24.566667556141812,0.0
10,-11.920833693933673,-11.920833693933673,-11.920833693933673,0.0
11,-11.583333714903953,-11.583333714903953,-11.583333714903953,0.0
12,-12.020833727205172,-12.020833727205172,-12.020833727205172,0.0
13,-12.562500404193997,-12.562500404193997,-12.562500404193997,0.0
14,-9.154166931286454,-9.154166931286454,-9.154166931286454,0.0
15,-13.200000405738441,-13.200000405738441,-13.200000405738441,0.0
16,-13.158333772715801,-13.158333772715801,-13.158333772715801,0.0
17,-8.008333619722785,-8.008333619722785,-8.008333619722785,0.0
18,-8.98750036675483,-8.98750036675483,-8.98750036675483,0.0
19,-7.562500392203219,-7.562500392203219,-7.562500392203219,0.0
20,-11.654167015842782,-11.654167015842782,-11.654167015842782,0.0
21,-3.9458334939942383,-3.9458334939942383,-3.9458334939942383,0.0
22,-10.375000368338078,-10.375000368338078,-10.375000368338078,0.0
23,-7.8791670342519255,-7.8791670342519255,-7.8791670342519255,0.0
24,-9.445833874090264,-9.445833874090264,-9.445833874090264,0.0
25,-8.170833613568297,-8.170833613568297,-8.170833613568297,0.0
26,-18.26666742473996,-18.26666742473996,-18.26666742473996,0.0
27,-5.270833714438292,-5.270833714438292,-5.270833714438292,0.0
28,-13.408333770542717,-13.408333770542717,-13.408333770542717,0.0
29,-17.254167358817842,-17.254167358817842,-17.254167358817842,0.0
30,-11.162500701029785,-11.162500701029785,-11.162500701029785,0.0
31,-6.320833907229826,-6.320833907229826,-6.320833907229826,0.0
32,-3.0041671016952023,-3.0041671016952023,-3.0041671016952023,0.0
33,-7.195833870985855,-7.195833870985855,-7.195833870985855,0.0
34,-4.566666956641711,-4.566666956641711,-4.566666956641711,0.0
35,-0.6375002271185318,-0.6375002271185318,-0.6375002271185318,0.0
36,-7.833333727709639,-7.833333727709639,-7.833333727709639,0.0
37,-3.720833837481526,-3.720833837481526,-3.720833837481526,0.0
38,-10.07083369496589,-10.07083369496589,-10.07083369496589,0.0
39,-7.9458339378470555,-7.9458339378470555,-7.9458339378470555,0.0
