Generation,Min,Mean,Max,Std
-1,-24.80000092201711,-24.80000092201711,-24.80000092201711,0.0
0,-23.416667529420618,-23.416667529420618,-23.416667529420618,0.0
1,-14.775000543954471,-14.775000543954471,-14.775000543954471,0.0
2,-18.94166733448704,-18.94166733448704,-18.94166733448704,0.0
3,-13.054167062936662,-13.054167062936662,-13.054167062936662,0.0
4,-9.987500355074493,-9.987500355074493,-9.987500355074493,0.0
5,-14.24583389959298,-14.24583389959298,-14.24583389959298,0.0
6,-10.491667072211081,-10.491667072211081,-10.491667072211081,0.0
7,-15.162500531684296,-15.162500531684296,-15.162500531684296,0.0
8,-11.658333824171374,-11.658333824171374,-11.658333824171374,0.0
9,-10.85833374170276,-10.85833374170276,-10.85833374170276,0.0
10,-9.354167029921276,-9.354167029921276,-9.354167029921276,0.0
11,-8.38333369686734,-8.38333369686734,-8.38333369686734,0.0
12,-11.808333808284564,-11.808333808284564,-11.808333808284564,0.0
13,-7.808333598038492,-7.808333598038492,-7.808333598038492,0.0
14,0.5708331736192728,0.5708331736192728,0.5708331736192728,0.0
15,-18.30833400945024,-18.30833400945024,-18.30833400945024,0.0
16,-15.604167268805517,-15.604167268805517,-15.604167268805517,0.0
17,-9.175000391008021,-9.175000391008021,-9.175000391008021,0.0
18,-5.037500200754342,-5.037500200754342,-5.037500200754342,0.0
19,-9.958333924917193,-9.958333924917193,-9.958333924917193,0.0
20,-8.929166985947328,-8.929166985947328,-8.929166985947328,0.0
21,-11.758333828339042,-11.758333828339042,-11.758333828339042,0.0
22,-4.6791669321246445,-4.6791669321246445,-4.6791669321246445,0.0
23,-3.991666989517398,-3.991666989517398,-3.991666989517398,0.0
24,-6.729166984984961,-6.729166984984961,-6.729166984984961,0.0
25,-10.708333825110458,-10.708333825110458,-10.708333825110458,0.0
26,-2.9333336364943534,-2.9333336364943534,-2.9333336364943534,0.0
27,-17.48750063451007,-17.48750063451007,-17.48750063451007,0.0
28,-1.0708334059066449,-1.0708334059066449,-1.0708334059066449,0.0
29,-6.816667017022458,-6.816667017022458,-6.816667017022458,0.0
30,-12.500000581416922,-12.500000581416922,-12.500000581416922,0.0
31,-7.9625005276951315,-7.9625005276951315,-7.9625005276951315,0.0
32,-0.6000002838360766,-0.6000002838360766,-0.6000002838360766,0.0
33,-2.483333633552926,-2.483333633552926,-2.483333633552926,0.0
34,-7.012500269493709,-7.012500269493709,-7.012500269493709,0.0
35,-15.516667277707407,-15.516667277707407,-15.516667277707407,0.0
36,-8.291667199266763,-8.291667199266763,-8.291667199266763,0.0
37,-11.116667018582424,-11.116667018582424,-11.116667018582424,0.0
38,-3.812500308849849,-3.812500308849849,-3.812500308849849,0.0
39,-9.341667167299116,-9.341667167299116,-9.341667167299116,0.0
