Generation,Min,Mean,Max,Std
-1,-25.116667599029217,-25.116667599029217,-25.116667599029217,0.0
0,-20.5333340500171,-20.5333340500171,-20.5333340500171,0.0
1,-19.04583401849959,-19.04583401849959,-19.04583401849959,0.0
2,-14.591667135246098,-14.591667135246098,-14.591667135246098,0.0
3,-15.73750053687642,-15.73750053687642,-15.73750053687642,0.0
4,-7.05000013904646,-7.05000013904646,-7.05000013904646,0.0
5,-13.879167101501176,-13.879167101501176,-13.879167101501176,0.0
6,-10.283333633444272,-10.283333633444272,-10.283333633444272,0.0
7,-14.891667151319174,-14.891667151319174,-14.891667151319174,0.0
8,-17.012500585173257,-17.012500585173257,-17.012500585173257,0.0
9,-12.466667044209316,-12.466667044209316,-12.466667044209316,0.0
10,-6.808333484572358,-6.808333484572358,-6.808333484572358,0.0
11,-12.370833709991226,-12.370833709991226,-12.370833709991226,0.0
12,-10.76250031097637,-10.76250031097637,-10.76250031097637,0.0
13,-15.595833973765062,-15.595833973765062,-15.595833973765062,0.0
14,-8.43750021137142,-8.43750021137142,-8.43750021137142,0.0
15,-19.258334040486563,-19.258334040486563,-19.258334040486563,0.0
16,-8.295833612714583,-8.295833612714583,-8.295833612714583,0.0
17,-9.933333695749752,-9.933333695749752,-9.933333695749752,0.0
18,-12.904167098381246,-12.904167098381246,-12.904167098381246,0.0
19,-15.104167176526971,-15.104167176526971,-15.104167176526971,0.0
20,-11.941667037821995,-11.941667037821995,-11.941667037821995,0.0
21,-16.19583393827391,-16.19583393827391,-16.19583393827391,0.0
22,-22.09583415882662,-22.09583415882662,-22.09583415882662,0.0
23,-11.129167067430293,-11.129167067430293,-11.129167067430293,0.0
24,-10.566667046553144,-10.566667046553144,-10.566667046553144,0.0
25,-11.000000340476012,-11.000000340476012,-11.000000340476012,0.0
26,-9.016667131295739,-9.016667131295739,-9.016667131295739,0.0
27,-3.07083341141697,-3.07083341141697,-3.07083341141697,0.0
28,-14.366667222231627,-14.366667222231627,-14.366667222231627,0.0
29,-8.570833798187474,-8.570833798187474,-8.570833798187474,0.0
30,-10.691667039024955,-10.691667039024955,-10.691667039024955,0.0
31,-11.662500407507954,-11.662500407507954,-11.662500407507954,0.0
32,-7.133333530471039,-7.133333530471039,-7.133333530471039,0.0
33,-18.612500634393655,-18.612500634393655,-18.612500634393655,0.0
34,-4.1541668360199155,-4.1541668360199155,-4.1541668360199155,0.0
35,-14.204167170178456,-14.204167170178456,-14.204167170178456,0.0
36,-6.70000033317289,-6.70000033317289,-6.70000033317289,0.0
37,-22.041667486618582,-22.041667486618582,-22.041667486618582,0.0
38,-6.962500434368849,-6.962500434368849,-6.962500434368849,0.0
39,-14.487500493104259,-14.487500493104259,-14.487500493104259,0.0
