Generation,Min,Mean,Max,Std
-1,-22.825000853510574,-22.825000853510574,-22.825000853510574,0.0
0,-19.433334009333823,-19.433334009333823,-19.433334009333823,0.0
1,-17.100000576038536,-17.100000576038536,-17.100000576038536,0.0
2,-17.350000586748745,-17.350000586748745,-17.350000586748745,0.0
3,-12.833333723363467,-12.833333723363467,-12.833333723363467,0.0
4,-13.579167117519924,-13.579167117519924,-13.579167117519924,0.0
5,-17.233333911863156,-17.233333911863156,-17.233333911863156,0.0
6,-10.595833637169562,-10.595833637169562,-10.595833637169562,0.0
7,-7.700000192659597,-7.700000192659597,-7.700000192659597,0.0
8,-10.345833655446768,-10.345833655446768,-10.345833655446768,0.0
9,-10.395833615718098,-10.395833615718098,-10.395833615718098,0.0
10,-8.516666874988005,-8.516666874988005,-8.516666874988005,0.0
11,-4.150000124199626,-4.150000124199626,-4.150000124199626,0.0
12,-13.070833756083934,-13.070833756083934,-13.070833756083934,0.0
13,-7.491666898597032,-7.491666898597032,-7.491666898597032,0.0
14,-8.712500268244185,-8.712500268244185,-8.712500268244185,0.0
15,-7.283333495259285,-7.283333495259285,-7.283333495259285,0.0
16,-9.454166934476234,-9.454166934476234,-9.454166934476234,0.0
17,-11.308333670914484,-11.308333670914484,-11.308333670914484,0.0
18,-16.808333932305686,-16.808333932305686,-16.808333932305686,0.0
19,-15.88750051765237,-15.88750051765237,-15.88750051765237,0.0
20,-11.804167009385614,-11.804167009385614,-11.804167009385614,0.0
21,-8.583333717969557,-8.583333717969557,-8.583333717969557,0.0
22,-10.245833769751092,-10.245833769751092,-10.245833769751092,0.0
23,-6.38333364626548,-6.38333364626548,-6.38333364626548,0.0
24,-5.916667027243723,-5.916667027243723,-5.916667027243723,0.0
25,-14.041667175867284,-14.041667175867284,-14.041667175867284,0.0
26,-11.591667154299406,-11.591667154299406,-11.591667154299406,0.0
27,-10.687500433142608,-10.687500433142608,-10.687500433142608,0.0
28,-4.266666917673622,-4.266666917673622,-4.266666917673622,0.0
29,-7.412500260747038,-7.412500260747038,-7.412500260747038,0.0
30,-7.583333719987422,-7.583333719987422,-7.583333719987422,0.0
31,-17.42500059962428,-17.42500059962428,-17.42500059962428,0.0
32,-12.108333798358217,-12.108333798358217,-12.108333798358217,0.0
33,-9.000000357395038,-9.000000357395038,-9.000000357395038,0.0
34,-7.695833776573029,-7.695833776573029,-7.695833776573029,0.0
35,-9.825000283696378,-9.825000283696378,-9.825000283696378,0.0
36,-17.166667239119608,-17.166667239119608,-17.166667239119608,0.0
37,-8.425000484023863,-8.425000484023863,-8.425000484023863,0.0
38,-7.720833758086276,-7.720833758086276,-7.720833758086276,0.0
39,-7.641666901685919,-7.641666901685919,-7.641666901685919,0.0
