Generation,Min,Mean,Max,Std
-1,-22.195834124460816,-22.195834124460816,-22.195834124460816,0.0
0,-20.0375007018835,-20.0375007018835,-20.0375007018835,0.0
1,-18.137500652694143,-18.137500652694143,-18.137500652694143,0.0
2,-12.779167051155431,-12.779167051155431,-12.779167051155431,0.0
3,-16.545833879189257,-16.545833879189257,-16.545833879189257,0.0
4,-11.341667018559141,-11.341667018559141,-11.341667018559141,0.0
5,-7.795833539760982,-7.795833539760982,-7.795833539760982,0.0
6,-6.779166803772871,-6.779166803772871,-6.779166803772871,0.0
7,-7.008333563765821,-7.008333563765821,-7.008333563765821,0.0
8,-14.308333821982766,-14.308333821982766,-14.308333821982766,0.0
9,-9.695833775408877,-9.695833775408877,-9.695833775408877,0.0
10,-4.900000326801091,-4.900000326801091,-4.900000326801091,0.0
11,-11.329167024465278,-11.329167024465278,-11.329167024465278,0.0
12,-12.962500450317748,-12.962500450317748,-12.962500450317748,0.0
13,-5.012500475742854,-5.012500475742854,-5.012500475742854,0.0
14,-8.570833624495814,-8.570833624495814,-8.570833624495814,0.0
15,-11.166667300237654,-11.166667300237654,-11.166667300237654,0.0
16,-13.26250058831647,-13.26250058831647,-13.26250058831647,0.0
17,-9.658333857543766,-9.658333857543766,-9.658333857543766,0.0
18,-5.84583369421307,-5.84583369421307,-5.84583369421307,0.0
19,-6.233333665489529,-6.233333665489529,-6.233333665489529,0.0
20,-12.625000558133857,-12.625000558133857,-12.625000558133857,0.0
21,-9.41666697151959,-9.41666697151959,-9.41666697151959,0.0
22,-0.7708335309677447,-0.7708335309677447,-0.7708335309677447,0.0
23,-11.283333714934997,-11.283333714934997,-11.283333714934997,0.0
24,-0.6166667998380339,-0.6166667998380339,-0.6166667998380339,0.0
25,-5.154166975136225,-5.154166975136225,-5.154166975136225,0.0
26,-11.45833387967044,-11.45833387967044,-11.45833387967044,0.0
27,-5.550000357286383,-5.550000357286383,-5.550000357286383,0.0
28,-9.912500387174077,-9.912500387174077,-9.912500387174077,0.0
29,-10.837500336502368,-10.837500336502368,-10.837500336502368,0.0
30,-17.520834191159036,-17.520834191159036,-17.520834191159036,0.0
31,-11.170833896341113,-11.170833896341113,-11.170833896341113,0.0
32,-6.200000308298816,-6.200000308298816,-6.200000308298816,0.0
33,-5.645833723945543,-5.645833723945543,-5.645833723945543,0.0
34,-6.162500434710334,-6.162500434710334,-6.162500434710334,0.0
35,0.4291663825279102,0.4291663825279102,0.4291663825279102,0.0
36,-3.7958336221442246,-3.7958336221442246,-3.7958336221442246,0.0
37,-13.195834038197063,-13.195834038197063,-13.195834038197063,0.0
38,-4.604167057860953,-4.604167057860953,-4.604167057860953,0.0
39,-9.700000461695405,-9.700000461695405,-9.700000461695405,0.0
