Generation,Min,Mean,Max,Std
-1,-25.566667650515836,-25.566667650515836,-25.566667650515836,0.0
0,-16.275000534253195,-16.275000534253195,-16.275000534253195,0.0
1,-13.57083375173776,-13.57083375173776,-13.57083375173776,0.0
2,-16.24166721237513,-16.24166721237513,-16.24166721237513,0.0
3,-14.883333811187185,-14.883333811187185,-14.883333811187185,0.0
4,-6.033333528554067,-6.033333528554067,-6.033333528554067,0.0
5,-11.129167080313588,-11.129167080313588,-11.129167080313588,0.0
6,-12.483333788889771,-12.483333788889771,-12.483333788889771,0.0
7,-16.19166723910409,-16.19166723910409,-16.19166723910409,0.0
8,-18.05833398263591,-18.05833398263591,-18.05833398263591,0.0
9,-8.425000432490682,-8.425000432490682,-8.425000432490682,0.0
10,-10.433333742703931,-10.433333742703931,-10.433333742703931,0.0
11,-11.641667047399096,-11.641667047399096,-11.641667047399096,0.0
12,-9.33750036576142,-9.33750036576142,-9.33750036576142,0.0
13,-7.600000191596337,-7.600000191596337,-7.600000191596337,0.0
14,-14.779167175486995,-14.779167175486995,-14.779167175486995,0.0
15,-10.195833867571006,-10.195833867571006,-10.195833867571006,0.0
16,-6.637500230649796,-6.637500230649796,-6.637500230649796,0.0
17,-8.879167057767821,-8.879167057767821,-8.879167057767821,0.0
18,-7.245833769479456,-7.245833769479456,-7.245833769479456,0.0
19,-7.4458336853422225,-7.4458336853422225,-7.4458336853422225,0.0
20,-14.525000668286035,-14.525000668286035,-14.525000668286035,0.0
21,-10.704167200135998,-10.704167200135998,-10.704167200135998,0.0
22,-9.075000508416755,-9.075000508416755,-9.075000508416755,0.0
23,-9.883333789883181,-9.883333789883181,-9.883333789883181,0.0
24,-6.812500225263648,-6.812500225263648,-6.812500225263648,0.0
25,-8.29583371853611,-8.29583371853611,-8.29583371853611,0.0
26,-16.85000056854915,-16.85000056854915,-16.85000056854915,0.0
27,-9.616667021725638,-9.616667021725638,-9.616667021725638,0.0
28,-17.36666763050016,-17.36666763050016,-17.36666763050016,0.0
29,-5.520833753786671,-5.520833753786671,-5.520833753786671,0.0
30,-10.425000437884592,-10.425000437884592,-10.425000437884592,0.0
31,-5.845833774500837,-5.845833774500837,-5.845833774500837,0.0
32,-7.716667020848642,-7.716667020848642,-7.716667020848642,0.0
33,-10.941667178218873,-10.941667178218873,-10.941667178218873,0.0
34,-5.329167140104498,-5.329167140104498,-5.329167140104498,0.0
35,-10.550000395160168,-10.550000395160168,-10.550000395160168,0.0
36,-13.975000599748455,-13.975000599748455,-13.975000599748455,0.0
37,0.6999998302975049,0.6999998302975049,0.6999998302975049,0.0
38,-9.229167127399705,-9.229167127399705,-9.229167127399705,0.0
39,-2.8208338087036586,-2.8208338087036586,-2.8208338087036586,0.0
