Generation,Min,Mean,Max,Std
-1,-28.90000107511878,-26.920000998023898,-24.600000890903175,1.4810807456969277
0,-38.30000147782266,-22.520000828825868,-3.9000000040978193,6.287323491165998
1,-46.40000182483345,-18.095000656026727,-3.2999999783933163,8.234777711902781
2,-30.400001139380038,-14.010833803416851,-3.2999999783933163,8.663910624584164
3,-30.100001126527786,-11.443333683760526,-2.9999999655410647,8.822525847060394
4,-29.70000110939145,-10.46583364190689,-3.000000120140612,8.405368145847836
5,-47.500001871958375,-14.282500477810391,-2.9000000385567546,11.17756667426388
6,-50.000002056360245,-12.8591670655335,-2.899999961256981,13.834771085589185
7,-49.25000198557973,-11.007500329846517,-2.9500000020489097,11.455424344666941
8,-50.400001996196806,-10.5791669749422,-2.8999999999068677,10.202954646413096
9,-50.30000199191272,-10.910833698930219,2.599999655969441,11.758476467795777
10,-49.95000197691843,-9.152500264525104,1.299999331124127,11.438919521342784
11,-50.20000198762864,-11.985833730835777,-0.10000015050172806,13.145703585419584
12,-50.10000202199444,-10.445833641050074,-0.800000180490315,11.435800612716102
13,-50.30000199191272,-11.30750035038218,0.04999985732138157,11.401333829190905
14,-50.600002004764974,-13.520000438105004,-0.10000015050172806,14.373886670051544
15,-43.70000170916319,-9.739166957636675,-0.10000015050172806,10.663220303409824
16,-46.55000183125958,-10.810833707459581,16.29999920213595,11.835755226914877
17,-50.400001996196806,-13.17333384338611,17.3999991719611,15.357944890152224
18,-50.400001996196806,-11.524167077220046,10.649999383836985,12.777625741845304
19,-50.50000200048089,-14.670833870295125,10.499999494757503,13.57377819476418
20,-50.400001996196806,-12.681667149905115,11.599999464582652,13.6991913642641
21,-50.25000202842057,-12.968333867456144,19.899999243207276,14.27523532153912
22,-49.50000195764005,-12.87083388462973,13.299999344162643,14.3358450486966
23,-50.30000199191272,-11.912708857368367,24.44999893568456,14.936945189302392
24,-49.90000197477639,-12.461667217616924,22.949998639523983,14.701115328566276
25,-50.450002036988735,-7.7791670956028005,18.79999907873571,13.937148779833104
26,-45.25000177556649,-9.000000434190346,24.399998972192407,12.821330144490668
27,-46.50000217696652,-11.75166731274221,24.499998705927283,17.423528469543527
28,-47.60000206949189,-8.871667186139772,21.049998864531517,14.932940268857703
29,-31.50000118650496,-9.273333833847817,22.599999049678445,13.810607487374556
30,-43.55000224383548,-6.245833808913206,30.049998595844954,14.559356522664844
31,-39.150002132635564,-8.335833824651006,20.54999884450808,13.450316498784066
32,-49.00000205216929,-10.819167330511846,25.199998773168772,18.05222796489737
33,-50.25000202842057,-11.59500060257657,23.24999876692891,15.720352573995672
34,-50.30000199191272,-8.783333807749052,24.599999176803976,15.048958340636311
35,-44.45000174129382,-5.65833380309244,27.599998684134334,14.346205161680302
36,-50.30000199191272,-6.271667249454185,30.349998803343624,17.96544701239219
37,-50.20000198762864,-11.687500709303034,33.54999870993197,18.35016962470189
38,-49.300001949071884,-7.6783338921377435,29.899998473469168,16.262224703371725
39,-35.90000137500465,-7.510833859886043,26.299998704344034,15.84868592438419
