Generation,Min,Mean,Max,Std
-1,-22.45000082134114,-22.45000082134114,-22.45000082134114,0.0
0,-19.070833987362374,-19.070833987362374,-19.070833987362374,0.0
1,-18.095833961696673,-18.095833961696673,-18.095833961696673,0.0
2,-12.841667086041221,-12.841667086041221,-12.841667086041221,0.0
3,-9.533333578767875,-9.533333578767875,-9.533333578767875,0.0
4,-9.533333578767875,-9.533333578767875,-9.533333578767875,0.0
5,-8.025000206582869,-8.025000206582869,-8.025000206582869,0.0
6,-8.025000206582869,-8.025000206582869,-8.025000206582869,0.0
7,-8.012500206047358,-8.012500206047358,-8.012500206047358,0.0
8,-6.133333449213144,-6.133333449213144,-6.133333449213144,0.0
9,-6.133333449213144,-6.133333449213144,-6.133333449213144,0.0
10,-6.133333449213144,-6.133333449213144,-6.133333449213144,0.0
11,-6.133333449213144,-6.133333449213144,-6.133333449213144,0.0
12,-6.133333449213144,-6.133333449213144,-6.133333449213144,0.0
13,-6.133333449213144,-6.133333449213144,-6.133333449213144,0.0
14,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
15,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
16,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
17,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
18,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
19,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
20,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
21,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
22,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
23,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
24,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
25,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
26,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
27,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
28,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
29,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
30,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
31,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
32,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
33,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
34,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
35,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
36,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
37,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
38,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
39,-4.4166667251071585,-4.4166667251071585,-4.4166667251071585,0.0
