Generation,Min,Mean,Max,Std
-1,-24.641667565796524,-24.641667565796524,-24.641667565796524,0.0
0,-23.450000851298682,-23.450000851298682,-23.450000851298682,0.0
1,-18.179167311366957,-18.179167311366957,-18.179167311366957,0.0
2,-17.066667234835524,-17.066667234835524,-17.066667234835524,0.0
3,-11.745833683215702,-11.745833683215702,-11.745833683215702,0.0
4,-8.89583355789849,-8.89583355789849,-8.89583355789849,0.0
5,-12.312500377379669,-12.312500377379669,-12.312500377379669,0.0
6,-16.933333905452553,-16.933333905452553,-16.933333905452553,0.0
7,-7.9208335451160865,-7.9208335451160865,-7.9208335451160865,0.0
8,-13.616667116022048,-13.616667116022048,-13.616667116022048,0.0
9,-11.879167012598677,-11.879167012598677,-11.879167012598677,0.0
10,-8.079166885232553,-8.079166885232553,-8.079166885232553,0.0
11,-12.808333754500685,-12.808333754500685,-12.808333754500685,0.0
12,-7.979166864844349,-7.979166864844349,-7.979166864844349,0.0
13,-14.829167158304093,-14.829167158304093,-14.829167158304093,0.0
14,-13.470833792428797,-13.470833792428797,-13.470833792428797,0.0
15,-6.887500196384887,-6.887500196384887,-6.887500196384887,0.0
16,-15.462500589278838,-15.462500589278838,-15.462500589278838,0.0
17,-12.283333715905124,-12.283333715905124,-12.283333715905124,0.0
18,-19.437500669737346,-19.437500669737346,-19.437500669737346,0.0
19,-16.25000055572794,-16.25000055572794,-16.25000055572794,0.0
20,-11.741667077333355,-11.741667077333355,-11.741667077333355,0.0
21,-9.979166963409321,-9.979166963409321,-9.979166963409321,0.0
22,-11.087500331341289,-11.087500331341289,-11.087500331341289,0.0
23,-4.329166859621182,-4.329166859621182,-4.329166859621182,0.0
24,-14.787500525165038,-14.787500525165038,-14.787500525165038,0.0
25,-11.37916714255698,-11.37916714255698,-11.37916714255698,0.0
26,-7.891666867537424,-7.891666867537424,-7.891666867537424,0.0
27,-11.275000490287008,-11.275000490287008,-11.275000490287008,0.0
28,-18.887500671941478,-18.887500671941478,-18.887500671941478,0.0
29,-9.908333813616386,-9.908333813616386,-9.908333813616386,0.0
30,-10.195833671449995,-10.195833671449995,-10.195833671449995,0.0
31,-11.475000364046233,-11.475000364046233,-11.475000364046233,0.0
32,-8.066667096689343,-8.066667096689343,-8.066667096689343,0.0
33,-11.4416670773644,-11.4416670773644,-11.4416670773644,0.0
34,-9.783333776053041,-9.783333776053041,-9.783333776053041,0.0
35,-8.104167127632536,-8.104167127632536,-8.104167127632536,0.0
36,-13.704167222604156,-13.704167222604156,-13.704167222604156,0.0
37,-9.825000370542208,-9.825000370542208,-9.825000370542208,0.0
38,-6.312500184751116,-6.312500184751116,-6.312500184751116,0.0
39,-5.779166921507567,-5.779166921507567,-5.779166921507567,0.0
