Generation,Min,Mean,Max,Std
-1,-30.000001122243702,-26.500000972300768,-22.35000079451129,3.3065088744411066
0,-49.8000019704923,-22.744167480641046,-3.9000000040978193,6.750334181986277
1,-30.100001126527786,-17.930833939167982,-3.3999999826774,7.797361488765884
2,-50.20000198762864,-15.580833839780341,-3.3999999826774,9.724548784718733
3,-30.800001156516373,-14.752500474181337,-3.2999999783933163,9.034607119513254
4,-49.90000197477639,-12.58916704301567,-3.2999999783933163,11.708491336841128
5,-48.85000192979351,-10.516666958737186,-2.8999999999068677,11.746080228952703
6,-30.50000114366412,-10.139166938055617,-3.2999999783933163,10.271859618033611
7,-50.70000200904906,-11.778333674945559,-3.2999999783933163,12.031429381350787
8,-31.300001177936792,-9.950833603095573,-3.2999999783933163,9.903974768008808
9,-50.400001996196806,-13.735833759450664,-3.2999999783933163,12.792127331830773
10,-50.70000200904906,-11.070833644635664,-3.2999999783933163,11.651864769421072
11,-50.70000200904906,-10.156666939449497,-3.2999999783933163,11.482412647377366
12,-50.50000200048089,-10.085000270356735,-3.2999999783933163,12.49042119848516
13,-50.10000202199444,-11.22916698990545,-3.2999999783933163,12.005871621869522
14,-47.45000186981633,-12.254167028663991,-3.2999999783933163,12.333124259688402
15,-49.70000196620822,-9.74000025493248,-3.2999999783933163,10.464093019800675
16,-50.70000200904906,-10.189166941485988,-3.2999999783933163,11.233789140444431
17,-49.70000196620822,-10.98083364913085,-3.2999999783933163,11.528349949873476
18,-50.400001996196806,-10.489166955626569,-3.2999999783933163,12.228188901109155
19,-50.70000200904906,-12.34000036631866,-3.2999999783933163,12.896817990256833
20,-50.20000198762864,-9.980833597939151,-3.2999999783933163,11.71272538993582
21,-50.100001983344555,-11.924167021589044,-3.2999999783933163,11.618023463223425
22,-50.50000200048089,-11.667500336864032,-3.2999999783933163,12.074473676939874
23,-49.50000195764005,-11.662500336649828,-3.2999999783933163,11.54310314285126
24,-49.600001961924136,-10.605000291989805,-3.2999999783933163,11.812697418389023
25,-49.8000019704923,-11.38416699139246,-3.2999999783933163,12.312028832015
26,-30.800001156516373,-8.696666876257707,-3.2999999783933163,9.43500114023346
27,-49.8000019704923,-11.59083366948956,-3.2999999783933163,12.398587454807394
28,-50.70000200904906,-10.456666954234242,-3.2999999783933163,12.414123763328577
29,-50.00000197906047,-11.594167002321532,-3.2999999783933163,12.164967611327995
30,-45.400001781992614,-11.54833366573633,-3.2999999783933163,12.542478252714297
31,-46.80000184196979,-9.675833584872695,-3.2999999783933163,11.182011671383988
32,-50.20000198762864,-12.242500361497514,-3.2999999783933163,13.924795104309522
33,-50.30000199191272,-13.002500394700716,-3.2999999783933163,14.064925727218059
34,-50.70000200904906,-13.451667079965894,-3.2999999783933163,14.583635764509314
35,-46.90000184625387,-12.76333371778795,-3.2999999783933163,12.596143689049816
36,-50.400001996196806,-9.568333581555635,-3.2999999783933163,11.694824738305126
37,-50.70000200904906,-11.849167011957615,-3.2999999783933163,12.602901964766664
38,-50.650002006907016,-9.458333575554812,-3.2999999783933163,11.676259057176736
39,-50.600002004764974,-10.260833609934586,-3.2999999783933163,12.042370478066145
