Generation,Min,Mean,Max,Std
-1,-24.050000880224008,-24.050000880224008,-24.050000880224008,0.0
0,-22.658334157158,-22.658334157158,-22.658334157158,0.0
1,-14.050000474361392,-14.050000474361392,-14.050000474361392,0.0
2,-17.183333925825234,-17.183333925825234,-17.183333925825234,0.0
3,-16.120833883527666,-16.120833883527666,-16.120833883527666,0.0
4,-12.462500377364146,-12.462500377364146,-12.462500377364146,0.0
5,-8.150000244146213,-8.150000244146213,-8.150000244146213,0.0
6,-10.333333658015667,-10.333333658015667,-10.333333658015667,0.0
7,-10.195833626474874,-10.195833626474874,-10.195833626474874,0.0
8,-14.633333813360272,-14.633333813360272,-14.633333813360272,0.0
9,-6.620833470098053,-6.620833470098053,-6.620833470098053,0.0
10,-9.287500263890252,-9.287500263890252,-9.287500263890252,0.0
11,-14.93333384875829,-14.93333384875829,-14.93333384875829,0.0
12,-13.987500458800545,-13.987500458800545,-13.987500458800545,0.0
13,-8.829166901259063,-8.829166901259063,-8.829166901259063,0.0
14,-9.429166936626038,-9.429166936626038,-9.429166936626038,0.0
15,-12.991667092467347,-12.991667092467347,-12.991667092467347,0.0
16,-12.383333739514152,-12.383333739514152,-12.383333739514152,0.0
17,-14.80833381441577,-14.80833381441577,-14.80833381441577,0.0
18,-11.875000377961745,-11.875000377961745,-11.875000377961745,0.0
19,-5.816666788305156,-5.816666788305156,-5.816666788305156,0.0
20,-5.308333423531924,-5.308333423531924,-5.308333423531924,0.0
21,-17.250000579243835,-17.250000579243835,-17.250000579243835,0.0
22,-17.029167268658057,-17.029167268658057,-17.029167268658057,0.0
23,-12.137500373103345,-12.137500373103345,-12.137500373103345,0.0
24,-9.0041669345228,-9.0041669345228,-9.0041669345228,0.0
25,-14.300000504396545,-14.300000504396545,-14.300000504396545,0.0
26,-6.491666814001898,-6.491666814001898,-6.491666814001898,0.0
27,-7.945833555849579,-7.945833555849579,-7.945833555849579,0.0
28,-12.091667053910593,-12.091667053910593,-12.091667053910593,0.0
29,-12.816667081749378,-12.816667081749378,-12.816667081749378,0.0
30,-6.050000150959629,-6.050000150959629,-6.050000150959629,0.0
31,-7.108333529632849,-7.108333529632849,-7.108333529632849,0.0
32,-7.745833579489651,-7.745833579489651,-7.745833579489651,0.0
33,-10.129166979497919,-10.129166979497919,-10.129166979497919,0.0
34,-10.754167012715092,-10.754167012715092,-10.754167012715092,0.0
35,-10.850000314724943,-10.850000314724943,-10.850000314724943,0.0
36,-12.387500393476026,-12.387500393476026,-12.387500393476026,0.0
37,-6.93333351247323,-6.93333351247323,-6.93333351247323,0.0
38,-6.420833490517301,-6.420833490517301,-6.420833490517301,0.0
39,-4.637500067901176,-4.637500067901176,-4.637500067901176,0.0
