Generation,Min,Mean,Max,Std
-1,-24.72916758564922,-24.72916758564922,-24.72916758564922,0.0
0,-22.708334146416746,-22.708334146416746,-22.708334146416746,0.0
1,-18.03333396546077,-18.03333396546077,-18.03333396546077,0.0
2,-12.420833734679036,-12.420833734679036,-12.420833734679036,0.0
3,-8.34166687715333,-8.34166687715333,-8.34166687715333,0.0
4,-19.258334024382446,-19.258334024382446,-19.258334024382446,0.0
5,-7.5583335070405155,-7.5583335070405155,-7.5583335070405155,0.0
6,-9.39583357287726,-9.39583357287726,-9.39583357287726,0.0
7,-17.58333393651992,-17.58333393651992,-17.58333393651992,0.0
8,-8.875000236555934,-8.875000236555934,-8.875000236555934,0.0
9,-11.4458336768051,-11.4458336768051,-11.4458336768051,0.0
10,-11.075000372560075,-11.075000372560075,-11.075000372560075,0.0
11,-7.5166669544220595,-7.5166669544220595,-7.5166669544220595,0.0
12,-5.045833508910921,-5.045833508910921,-5.045833508910921,0.0
13,-5.800000104820356,-5.800000104820356,-5.800000104820356,0.0
14,-10.85416709429895,-10.85416709429895,-10.85416709429895,0.0
15,-15.07916726230178,-15.07916726230178,-15.07916726230178,0.0
16,-10.620833638240583,-10.620833638240583,-10.620833638240583,0.0
17,-12.204167122913836,-12.204167122913836,-12.204167122913836,0.0
18,-9.191667016401576,-9.191667016401576,-9.191667016401576,0.0
19,-17.137500593749184,-17.137500593749184,-17.137500593749184,0.0
20,-9.141667091559308,-9.141667091559308,-9.141667091559308,0.0
21,-11.729167215526104,-11.729167215526104,-11.729167215526104,0.0
22,-10.179166997744082,-10.179166997744082,-10.179166997744082,0.0
23,-12.391667057100372,-12.391667057100372,-12.391667057100372,0.0
24,-12.350000578328036,-12.350000578328036,-12.350000578328036,0.0
25,-9.141667068897126,-9.141667068897126,-9.141667068897126,0.0
26,-12.462500422455681,-12.462500422455681,-12.462500422455681,0.0
27,-7.64166697266046,-7.64166697266046,-7.64166697266046,0.0
28,-10.008333795354702,-10.008333795354702,-10.008333795354702,0.0
29,-7.079167121788487,-7.079167121788487,-7.079167121788487,0.0
30,-6.858333535026759,-6.858333535026759,-6.858333535026759,0.0
31,-9.825000537675805,-9.825000537675805,-9.825000537675805,0.0
32,-10.316667212522589,-10.316667212522589,-10.316667212522589,0.0
33,-2.325000238682454,-2.325000238682454,-2.325000238682454,0.0
34,-16.200000855644856,-16.200000855644856,-16.200000855644856,0.0
35,-11.195833856007084,-11.195833856007084,-11.195833856007084,0.0
36,-10.712500678646999,-10.712500678646999,-10.712500678646999,0.0
37,-15.200000488199294,-15.200000488199294,-15.200000488199294,0.0
38,-11.675000343626985,-11.675000343626985,-11.675000343626985,0.0
39,-8.55416699553219,-8.55416699553219,-8.55416699553219,0.0
