Generation,Min,Mean,Max,Std
-1,-24.96250090643298,-24.96250090643298,-24.96250090643298,0.0
0,-20.158334037172608,-20.158334037172608,-20.158334037172608,0.0
1,-20.158334037172608,-20.158334037172608,-20.158334037172608,0.0
2,-20.050000715302303,-20.050000715302303,-20.050000715302303,0.0
3,-12.554167051178714,-12.554167051178714,-12.554167051178714,0.0
4,-11.170833648919748,-11.170833648919748,-11.170833648919748,0.0
5,-11.170833648919748,-11.170833648919748,-11.170833648919748,0.0
6,-8.295833567623049,-8.295833567623049,-8.295833567623049,0.0
7,-8.295833567623049,-8.295833567623049,-8.295833567623049,0.0
8,-6.966666860117887,-6.966666860117887,-6.966666860117887,0.0
9,-6.966666860117887,-6.966666860117887,-6.966666860117887,0.0
10,-6.966666860117887,-6.966666860117887,-6.966666860117887,0.0
11,-4.337500103361283,-4.337500103361283,-4.337500103361283,0.0
12,-4.337500103361283,-4.337500103361283,-4.337500103361283,0.0
13,-4.337500103361283,-4.337500103361283,-4.337500103361283,0.0
14,-4.337500103361283,-4.337500103361283,-4.337500103361283,0.0
15,-4.337500103361283,-4.337500103361283,-4.337500103361283,0.0
16,-4.337500103361283,-4.337500103361283,-4.337500103361283,0.0
17,-4.337500103361283,-4.337500103361283,-4.337500103361283,0.0
18,-4.337500103361283,-4.337500103361283,-4.337500103361283,0.0
19,-4.337500103361283,-4.337500103361283,-4.337500103361283,0.0
20,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
21,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
22,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
23,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
24,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
25,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
26,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
27,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
28,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
29,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
30,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
31,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
32,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
33,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
34,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
35,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
36,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
37,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
38,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
39,-3.425000048164899,-3.425000048164899,-3.425000048164899,0.0
