Generation,Min,Mean,Max,Std
-1,-23.900000873797882,-23.900000873797882,-23.900000873797882,0.0
0,-20.487500721161876,-20.487500721161876,-20.487500721161876,0.0
1,-17.56666726913924,-17.56666726913924,-17.56666726913924,0.0
2,-21.608334096071,-21.608334096071,-21.608334096071,0.0
3,-13.979167118668556,-13.979167118668556,-13.979167118668556,0.0
4,-11.5958336800104,-11.5958336800104,-11.5958336800104,0.0
5,-11.550000347934352,-11.550000347934352,-11.550000347934352,0.0
6,-13.016667093538368,-13.016667093538368,-13.016667093538368,0.0
7,-9.545833637278216,-9.545833637278216,-9.545833637278216,0.0
8,-9.454166921592938,-9.454166921592938,-9.454166921592938,0.0
9,-16.112500559499797,-16.112500559499797,-16.112500559499797,0.0
10,-10.237500323913991,-10.237500323913991,-10.237500323913991,0.0
11,-6.687500168608191,-6.687500168608191,-6.687500168608191,0.0
12,-6.558333502849564,-6.558333502849564,-6.558333502849564,0.0
13,-8.679166875507994,-8.679166875507994,-8.679166875507994,0.0
14,-8.91666691789093,-8.91666691789093,-8.91666691789093,0.0
15,-10.120833661911698,-10.120833661911698,-10.120833661911698,0.0
16,-13.829167115463255,-13.829167115463255,-13.829167115463255,0.0
17,-6.616666851565242,-6.616666851565242,-6.616666851565242,0.0
18,-15.329167240920166,-15.329167240920166,-15.329167240920166,0.0
19,-10.095833641515734,-10.095833641515734,-10.095833641515734,0.0
20,-3.0166666651299843,-3.0166666651299843,-3.0166666651299843,0.0
21,-10.84583366398389,-10.84583366398389,-10.84583366398389,0.0
22,-7.1958334850690635,-7.1958334850690635,-7.1958334850690635,0.0
23,-14.916667187819257,-14.916667187819257,-14.916667187819257,0.0
24,-9.845833646909645,-9.845833646909645,-9.845833646909645,0.0
25,-8.837500289470578,-8.837500289470578,-8.837500289470578,0.0
26,-8.750000240746886,-8.750000240746886,-8.750000240746886,0.0
27,-5.816666785084332,-5.816666785084332,-5.816666785084332,0.0
28,-12.458333742727214,-12.458333742727214,-12.458333742727214,0.0
29,-8.47500024518619,-8.47500024518619,-8.47500024518619,0.0
30,-6.216666905287032,-6.216666905287032,-6.216666905287032,0.0
31,-13.312500526274865,-13.312500526274865,-13.312500526274865,0.0
32,-11.829167087523578,-11.829167087523578,-11.829167087523578,0.0
33,-5.4375001793572055,-5.4375001793572055,-5.4375001793572055,0.0
34,-13.704167190512331,-13.704167190512331,-13.704167190512331,0.0
35,-7.0125002436107025,-7.0125002436107025,-7.0125002436107025,0.0
36,-16.12916721399718,-16.12916721399718,-16.12916721399718,0.0
37,-12.566667222068645,-12.566667222068645,-12.566667222068645,0.0
38,-3.654166856353792,-3.654166856353792,-3.654166856353792,0.0
39,-7.558333770682414,-7.558333770682414,-7.558333770682414,0.0
