Generation,Min,Mean,Max,Std
-1,-25.61666760756634,-25.61666760756634,-25.61666760756634,0.0
0,-22.26250083585425,-22.26250083585425,-22.26250083585425,0.0
1,-18.862500648324687,-18.862500648324687,-18.862500648324687,0.0
2,-12.900000399327837,-12.900000399327837,-12.900000399327837,0.0
3,-17.895834001208033,-17.895834001208033,-17.895834001208033,0.0
4,-12.491667045280337,-12.491667045280337,-12.491667045280337,0.0
5,-7.591666880451764,-7.591666880451764,-7.591666880451764,0.0
6,-7.92083358054515,-7.92083358054515,-7.92083358054515,0.0
7,-12.250000464652354,-12.250000464652354,-12.250000464652354,0.0
8,-11.112500454687202,-11.112500454687202,-11.112500454687202,0.0
9,-8.141667019498223,-8.141667019498223,-8.141667019498223,0.0
10,-8.833333757900013,-8.833333757900013,-8.833333757900013,0.0
11,-9.462500428858524,-9.462500428858524,-9.462500428858524,0.0
12,0.2833330874564126,0.2833330874564126,0.2833330874564126,0.0
13,-4.7958338574195905,-4.7958338574195905,-4.7958338574195905,0.0
14,-4.229167121501329,-4.229167121501329,-4.229167121501329,0.0
15,-9.325000480593493,-9.325000480593493,-9.325000480593493,0.0
16,-9.170833765917147,-9.170833765917147,-9.170833765917147,0.0
17,-3.5833337577447915,-3.5833337577447915,-3.5833337577447915,0.0
18,-11.616667402675375,-11.616667402675375,-11.616667402675375,0.0
19,-4.5125003677094355,-4.5125003677094355,-4.5125003677094355,0.0
20,-12.212500694479482,-12.212500694479482,-12.212500694479482,0.0
21,-15.100000554656921,-15.100000554656921,-15.100000554656921,0.0
22,-6.383333646381895,-6.383333646381895,-6.383333646381895,0.0
23,-6.67916690876397,-6.67916690876397,-6.67916690876397,0.0
24,-9.104167243970247,-9.104167243970247,-9.104167243970247,0.0
25,-5.058333718334325,-5.058333718334325,-5.058333718334325,0.0
26,-13.80833376191246,-13.80833376191246,-13.80833376191246,0.0
27,-9.487500667455606,-9.487500667455606,-9.487500667455606,0.0
28,-4.512500473530963,-4.512500473530963,-4.512500473530963,0.0
29,-11.812500568184381,-11.812500568184381,-11.812500568184381,0.0
30,-12.270833834540099,-12.270833834540099,-12.270833834540099,0.0
31,-8.600000658538193,-8.600000658538193,-8.600000658538193,0.0
32,-10.191667049579943,-10.191667049579943,-10.191667049579943,0.0
33,-4.008333900749373,-4.008333900749373,-4.008333900749373,0.0
34,-10.66250077864,-10.66250077864,-10.66250077864,0.0
35,-1.3041670446206506,-1.3041670446206506,-1.3041670446206506,0.0
36,-9.179167246834064,-9.179167246834064,-9.179167246834064,0.0
37,-6.533333713887259,-6.533333713887259,-6.533333713887259,0.0
38,-7.187500202911906,-7.187500202911906,-7.187500202911906,0.0
39,-1.0041670833015814,-1.0041670833015814,-1.0041670833015814,0.0
