row       col       value     
0         0         -4.274    
0         1         -3.058    
0         2         -2.236    
0         3         -1.813    
0         4         -1.188    
0         5         -1.312    
0         6         -1.606    
0         7         -0.7925   
0         8         -1.926    
0         9         -1.605    
1         0         -10.02    
1         1         -3.225    
1         2         -2.977    
1         3         -2.666    
1         4         -2.295    
1         5         -1.837    
1         6         -1.937    
1         7         -1.266    
1         8         -2.526    
1         9         -1.537    
2         0         -8.119    
2         1         -3.249    
2         2         -3.076    
2         3         -2.725    
2         4         -2.53     
2         5         -2.003    
2         6         -1.563    
2         7         -1.143    
2         8         -2.175    
2         9         -1.374    
3         0         -6.877    
3         1         -3.358    
3         2         -3.057    
3         3         -2.665    
3         4         -2.165    
3         5         -2.013    
3         6         -1.775    
3         7         -1.208    
3         8         -2.174    
3         9         -1.488    
4         0         -7.768    
4         1         -3.437    
4         2         -3.105    
4         3         -2.86     
4         4         -2.417    
4         5         -2.032    
4         6         -1.758    
4         7         -1.089    
4         8         -1.559    
4         9         -0.9917   
5         0         -9.137    
5         1         -4.275    
5         2         -3.357    
5         3         -3.065    
5         4         -2.495    
5         5         -2.478    
5         6         -2.068    
5         7         -0.8308   
5         8         -1.583    
5         9         -1.519    
6         0         -12.38    
6         1         -6.341    
6         2         -3.884    
6         3         -3.368    
6         4         -2.912    
6         5         -2.653    
6         6         -2.041    
6         7         -2.117    
6         8         -1.513    
6         9         -1.508    
7         0         -17.26    
7         1         -10.47    
7         2         -6.76     
7         3         -4.42     
7         4         -3.705    
7         5         -3.424    
7         6         -2.905    
7         7         -2.3      
7         8         -2.666    
7         9         -2.303    
8         0         -23.29    
8         1         -16.01    
8         2         -11.73    
8         3         -8.212    
8         4         -6.765    
8         5         -5.819    
8         6         -4.902    
8         7         -5.703    
8         8         -6.239    
8         9         -4.011    
9         0         -21.35    
9         1         -25.95    
9         2         -17.63    
9         3         -15.49    
9         4         -14.99    
9         5         -13.65    
9         6         -13.28    
9         7         -12.59    
9         8         -12.67    
9         9         -12.83    
