row       col       value     
0         0         -3.43     
0         1         -1.83     
0         2         1.01      
0         3         9.315     
0         4         20.27     
0         5         27.2      
0         6         28.04     
0         7         32.01     
0         8         34.66     
0         9         35.27     
1         0         -3.7      
1         1         -3.08     
1         2         -1.085    
1         3         6.72      
1         4         14.56     
1         5         20.68     
1         6         25.39     
1         7         27.69     
1         8         33.36     
1         9         32.68     
2         0         -3.9      
2         1         -3.11     
2         2         -1.0      
2         3         7.025     
2         4         13.14     
2         5         18.32     
2         6         23.04     
2         7         32.64     
2         8         34.86     
2         9         36.48     
3         0         -3.98     
3         1         -3.205    
3         2         -1.055    
3         3         5.49      
3         4         15.46     
3         5         20.32     
3         6         21.59     
3         7         28.96     
3         8         31.79     
3         9         37.59     
4         0         -4.04     
4         1         -3.145    
4         2         -1.32     
4         3         1.445     
4         4         11.43     
4         5         17.92     
4         6         20.33     
4         7         28.4      
4         8         32.66     
4         9         35.34     
5         0         -4.35     
5         1         -3.27     
5         2         -2.02     
5         3         0.535     
5         4         9.725     
5         5         13.97     
5         6         23.55     
5         7         29.69     
5         8         31.35     
5         9         37.39     
6         0         -5.385    
6         1         -3.37     
6         2         -2.685    
6         3         1.225     
6         4         7.975     
6         5         9.32      
6         6         22.17     
6         7         25.93     
6         8         30.88     
6         9         37.46     
7         0         -8.688    
7         1         -4.6      
7         2         -2.45     
7         3         -0.565    
7         4         4.09      
7         5         7.155     
7         6         12.42     
7         7         19.54     
7         8         23.33     
7         9         29.94     
8         0         -18.44    
8         1         -8.39     
8         2         -3.815    
8         3         -2.865    
8         4         -0.45     
8         5         4.055     
8         6         4.63      
8         7         9.52      
8         8         13.41     
8         9         16.68     
9         0         nan       
9         1         -15.81    
9         2         -11.89    
9         3         -6.75     
9         4         -6.461    
9         5         -4.072    
9         6         -5.76     
9         7         -3.705    
9         8         0.2       
9         9         1.605     
