row       col       value     
0         0         -3.4      
0         1         -2.5      
0         2         0.35      
0         3         5.2       
0         4         39.6      
0         5         30.65     
0         6         32.75     
0         7         50.6      
0         8         49.6      
0         9         49.7      
1         0         -3.75     
1         1         -3.3      
1         2         1.75      
1         3         -0.5      
1         4         26.1      
1         5         28.85     
1         6         30.95     
1         7         47.25     
1         8         51.5      
1         9         47.3      
2         0         -3.6      
2         1         -3.2      
2         2         0.5       
2         3         3.45      
2         4         27.65     
2         5         31.35     
2         6         37.85     
2         7         50.05     
2         8         48.6      
2         9         56.65     
3         0         -3.9      
3         1         -2.9      
3         2         -0.3      
3         3         1.55      
3         4         26.5      
3         5         29.25     
3         6         32.8      
3         7         48.8      
3         8         49.9      
3         9         53.65     
4         0         -4.1      
4         1         -3.3      
4         2         -0.6      
4         3         0.4       
4         4         23.3      
4         5         29.25     
4         6         27.85     
4         7         50.4      
4         8         48.8      
4         9         54.45     
5         0         -3.95     
5         1         -3.3      
5         2         -1.0      
5         3         0.7       
5         4         27.6      
5         5         27.75     
5         6         40.1      
5         7         50.1      
5         8         47.6      
5         9         55.75     
6         0         -5.9      
6         1         -3.3      
6         2         -2.55     
6         3         -0.35     
6         4         28.7      
6         5         21.05     
6         6         35.15     
6         7         36.2      
6         8         49.7      
6         9         53.05     
7         0         -10.35    
7         1         -3.6      
7         2         -2.9      
7         3         -3.05     
7         4         24.7      
7         5         30.55     
7         6         46.45     
7         7         38.7      
7         8         46.75     
7         9         52.5      
8         0         -5.35     
8         1         -11.2     
8         2         -3.4      
8         3         -3.2      
8         4         -1.6      
8         5         2.4       
8         6         4.15      
8         7         43.55     
8         8         43.6      
8         9         47.45     
9         0         nan       
9         1         nan       
9         2         -9.9      
9         3         -8.65     
9         4         -3.4      
9         5         -3.3      
9         6         -3.4      
9         7         -1.05     
9         8         0.9       
9         9         1.75      
