row       col       value     
0         0         -3.6      
0         1         -3.1      
0         2         -0.65     
0         3         1.7       
0         4         6.95      
0         5         13.4      
0         6         22.55     
0         7         23.15     
0         8         28.75     
0         9         37.0      
1         0         -3.5      
1         1         -3.4      
1         2         -3.3      
1         3         -2.5      
1         4         5.75      
1         5         16.4      
1         6         25.3      
1         7         22.7      
1         8         29.3      
1         9         36.4      
2         0         -3.73     
2         1         -3.6      
2         2         -3.4      
2         3         -0.5      
2         4         0.8       
2         5         12.6      
2         6         27.5      
2         7         22.4      
2         8         36.85     
2         9         36.1      
3         0         -4.0      
3         1         -3.5      
3         2         -3.4      
3         3         -3.3      
3         4         -3.1      
3         5         11.2      
3         6         22.65     
3         7         14.8      
3         8         12.65     
3         9         22.75     
4         0         -5.2      
4         1         -3.6      
4         2         -3.4      
4         3         -3.3      
4         4         -3.3      
4         5         -3.3      
4         6         5.6       
4         7         -3.0      
4         8         -0.9      
4         9         -3.05     
5         0         -3.9      
5         1         -12.45    
5         2         -3.9      
5         3         -3.4      
5         4         -14.35    
5         5         -3.5      
5         6         -3.4      
5         7         -28.1     
5         8         -3.8      
5         9         -3.8      
6         0         -5.1      
6         1         -11.2     
6         2         -5.7      
6         3         -15.8     
6         4         -8.85     
6         5         -6.7      
6         6         -9.95     
6         7         -20.3     
6         8         nan       
6         9         -13.1     
7         0         -7.85     
7         1         -15.4     
7         2         -15.25    
7         3         -16.8     
7         4         -9.9      
7         5         -9.4      
7         6         -14.0     
7         7         -14.0     
7         8         nan       
7         9         -12.2     
8         0         -19.3     
8         1         -18.6     
8         2         -14.45    
8         3         -27.5     
8         4         nan       
8         5         -11.6     
8         6         -10.9     
8         7         -11.65    
8         8         -12.3     
8         9         -10.6     
