i          m          s         
0          -4.62      1.96      
1          0.62       10.28     
2          2.48       9.74      
3          6.15       10.30     
4          9.24       10.81     
5          13.41      10.98     
6          14.44      11.28     
7          19.13      12.60     
8          19.53      12.90     
9          20.03      13.10     
10         20.48      13.52     
11         21.27      12.71     
12         21.65      12.83     
13         22.84      12.98     
14         24.79      13.68     
15         26.25      15.23     
16         27.40      13.87     
17         27.99      13.81     
18         29.85      12.32     
19         32.65      13.28     
20         35.19      12.51     
21         36.72      12.86     
22         37.72      12.93     
23         38.76      13.64     
24         39.48      13.86     
25         40.14      13.36     
26         40.33      13.02     
27         41.09      11.89     
28         41.53      11.64     
29         42.50      11.29     
30         44.55      9.67      
31         44.64      9.63      
32         45.56      8.50      
33         46.38      6.91      
34         46.68      6.68      
35         47.44      6.79      
36         48.38      7.11      
37         48.57      6.74      
38         48.69      6.66      
39         51.01      6.22      
