Generation,Min,Mean,Max,Std
-1,-31.100001169368625,-23.735834190435707,-3.599999991245568,6.006781784625991
0,-30.900001160800457,-23.651667527869964,-4.100000012665987,5.966713236657632
1,-31.600001190789044,-23.434167512777883,-4.600000034086406,5.791527765732199
2,-30.800001156516373,-24.875000905905228,-12.950000391807407,4.421345197138314
3,-31.600001190789044,-23.91500086413386,-4.500000029802322,6.79252866255246
4,-34.90000133216381,-24.77333423295058,-5.000000051222742,5.64926617352758
5,-32.30000122077763,-25.57833427065828,-14.400000453926623,3.641535622529763
6,-32.00000120792538,-25.31583425619174,-4.70000003837049,4.907379787371302
7,-31.700001195073128,-25.301667593427315,-4.900000046938658,5.428290068991401
8,-31.300001177936792,-25.488334268090934,-4.300000021234155,5.00787207385434
9,-32.80000124219805,-25.132500920801736,-5.500000072643161,5.0089740358807
10,-32.700001237913966,-26.176667632201376,-5.850000087637454,4.905698144630594
11,-31.600001190789044,-26.75083432153333,-16.600000548176467,3.1336945980073327
12,-31.400001182220876,-25.75166761141736,-3.499999986961484,5.179583271442835
13,-30.900001160800457,-26.253334296355025,-6.600000119768083,4.606081923132727
14,-32.5000012293458,-26.647500978619792,-4.050000010523945,4.206338898930644
15,-32.00000120792538,-25.266667588707058,-3.499999986961484,6.444084557626585
16,-31.400001182220876,-24.365834217425437,-3.499999986961484,5.8662276855642626
17,-31.700001195073128,-24.868334238952958,-5.900000089779496,5.646591888470848
18,-31.300001177936792,-24.990834248065948,-7.05000013904646,5.171085630894343
19,-31.050001167226583,-25.000000908683674,-3.599999991245568,5.675363666312956
20,-30.900001160800457,-24.387500884376156,-6.450000113341957,5.509942952153274
21,-30.400001139380038,-25.545834266689294,-3.7999999998137355,5.207953209696891
22,-31.20000117365271,-25.177500920152912,-4.600000034086406,5.00003708894193
23,-31.25000117579475,-24.561667560436764,-5.300000064074993,5.383968458429955
24,-31.80000119935721,-25.126667582065178,-6.00000009406358,5.079505333369477
25,-31.900001203641295,-24.257500877518517,-4.100000012665987,6.918284194192218
26,-31.50000118650496,-23.407500842392135,-5.500000072643161,6.008548509139249
27,-31.25000117579475,-24.43000088619689,-5.1000000555068254,5.151627796347516
28,-31.600001190789044,-24.598334228030094,-7.450000156182796,5.434335259452866
29,-32.20000121649355,-25.482500933863534,-5.200000059790909,4.500461514926121
30,-31.100001169368625,-25.038334245591734,-4.200000016950071,6.074683838143139
31,-31.80000119935721,-26.62333431156197,-8.10000018402934,3.784942550201895
32,-32.20000121649355,-27.14666767118033,-7.750000169035047,3.5209359492308407
33,-31.600001190789044,-26.25666763627281,-5.300000064074993,3.971707052713498
34,-31.100001169368625,-26.32333430579553,-8.750000211875886,4.359285933636081
35,-30.70000115223229,-25.785834282124416,-4.70000003837049,5.041272308513895
36,-31.300001177936792,-25.550834268835995,-4.600000034086406,5.209034777092451
37,-31.100001169368625,-25.962500953138807,-6.900000132620335,3.9778725584887127
38,-31.50000118650496,-25.646667604342415,-5.1000000555068254,5.147652326828655
39,-31.100001169368625,-25.660000938891123,-5.7000000812113285,4.874336060403099
