Generation,Min,Mean,Max,Std
-1,-22.76736193397018,-22.76736193397018,-22.76736193397018,0.0
0,-21.70555632675274,-21.70555632675274,-21.70555632675274,0.0
1,-23.811111985663754,-23.811111985663754,-23.811111985663754,0.0
2,-22.4496535800475,-22.4496535800475,-22.4496535800475,0.0
3,-24.34722311625309,-24.34722311625309,-24.34722311625309,0.0
4,-23.769098084775678,-23.769098084775678,-23.769098084775678,0.0
5,-24.846181460494538,-24.846181460494538,-24.846181460494538,0.0
6,-24.062500895790034,-24.062500895790034,-24.062500895790034,0.0
7,-22.935764729430147,-22.935764729430147,-22.935764729430147,0.0
8,-25.011806481546955,-25.011806481546955,-25.011806481546955,0.0
9,-24.232987000248006,-24.232987000248006,-24.232987000248006,0.0
10,-25.920487062074244,-25.920487062074244,-25.920487062074244,0.0
11,-25.419445408708672,-25.419445408708672,-25.419445408708672,0.0
12,-22.95243140378928,-22.95243140378928,-22.95243140378928,0.0
13,-26.57708431242564,-26.57708431242564,-26.57708431242564,0.0
14,-26.030556546126416,-26.030556546126416,-26.030556546126416,0.0
15,-24.295139777199235,-24.295139777199235,-24.295139777199235,0.0
16,-23.692709199324273,-23.692709199324273,-23.692709199324273,0.0
17,-24.46666756232541,-24.46666756232541,-24.46666756232541,0.0
18,-25.9097231834603,-25.9097231834603,-25.9097231834603,0.0
19,-25.664237072031636,-25.664237072031636,-25.664237072031636,0.0
20,-23.71632031842536,-23.71632031842536,-23.71632031842536,0.0
21,-24.015625872846513,-24.015625872846513,-24.015625872846513,0.0
22,-21.419098011745117,-21.419098011745117,-21.419098011745117,0.0
23,-23.916667538762947,-23.916667538762947,-23.916667538762947,0.0
24,-24.695834231831313,-24.695834231831313,-24.695834231831313,0.0
25,-22.991320276898076,-22.991320276898076,-22.991320276898076,0.0
26,-25.27882039234262,-25.27882039234262,-25.27882039234262,0.0
27,-24.32951477867189,-24.32951477867189,-24.32951477867189,0.0
28,-24.518056453415838,-24.518056453415838,-24.518056453415838,0.0
29,-25.876042636661115,-25.876042636661115,-25.876042636661115,0.0
30,-22.102431360396114,-22.102431360396114,-22.102431360396114,0.0
31,-22.918403607107596,-22.918403607107596,-22.918403607107596,0.0
32,-25.233681491052266,-25.233681491052266,-25.233681491052266,0.0
33,-23.045139713180507,-23.045139713180507,-23.045139713180507,0.0
34,-25.741667606479798,-25.741667606479798,-25.741667606479798,0.0
35,-23.386806401462916,-23.386806401462916,-23.386806401462916,0.0
36,-25.232639838297874,-25.232639838297874,-25.232639838297874,0.0
37,-24.525348130862564,-24.525348130862564,-24.525348130862564,0.0
38,-24.812500917452983,-24.812500917452983,-24.812500917452983,0.0
39,-21.81562577859667,-21.81562577859667,-21.81562577859667,0.0
