Generation,Min,Mean,Max,Std
-1,-30.100001126527786,-24.572500891657548,-14.60000046249479,2.8198615984893927
0,-30.900001160800457,-23.421667508377382,-3.599999991245568,4.824627710690057
1,-29.800001113675535,-24.042500867663573,-4.200000016950071,4.107014754275567
2,-29.4000010965392,-24.958334240876137,-6.25000010477379,3.9050414246637004
3,-29.90000111795962,-25.078334245372876,-5.600000076927245,3.394583657539025
4,-30.300001135095954,-24.013334199103216,-7.700000166893005,3.479893187029046
5,-29.500001100823283,-24.466667554434387,-19.100000655278563,2.574889535094607
6,-30.300001135095954,-25.074167579816034,-19.950000730343163,2.0883704960580145
7,-29.000001079402864,-25.236667584845176,-20.200000702403486,2.4762181004358434
8,-29.100001083686948,-24.48250088780187,-6.800000128336251,3.499986160126365
9,-30.100001126527786,-24.70583423327965,-15.500000501051545,2.8959181069606257
10,-29.800001113675535,-24.765834232629278,-11.100000312551856,3.180376053316419
11,-29.100001083686948,-24.83250090601699,-17.850000601727515,2.549196464952146
12,-29.20000108797103,-24.987500907504,-17.70000059530139,2.9369858964160875
13,-29.500001100823283,-24.590000890474766,-6.600000119768083,3.61071107268158
14,-30.900001160800457,-24.810000901832247,-14.60000046249479,3.002232631899994
15,-30.300001135095954,-24.822500901079426,-13.200000402517617,2.7947783604678995
16,-29.800001113675535,-24.743334230377027,-13.80000042822212,2.972617754215617
17,-30.000001122243702,-24.530834221917516,-6.050000096205622,3.4296756866244427
18,-29.800001113675535,-23.97916753097282,-4.150000014808029,3.7806889403373543
19,-29.750001111533493,-24.505834220846495,-15.800000513903797,2.6803311222257395
20,-29.20000108797103,-24.278334211100205,-17.300000578165054,2.8390634454397987
21,-30.300001135095954,-23.930000864132307,-14.500000458210707,3.0294417696600418
22,-30.000001122243702,-24.49500088833738,-14.750000468920916,2.7852694078281632
23,-28.60000106226653,-24.694167562248186,-19.00000065099448,2.378341463333639
24,-30.70000115223229,-25.46000092839046,-18.400000625289977,2.2120466592399213
25,-29.800001113675535,-24.16416753954254,-8.800000214017928,3.808948964714136
26,-29.90000111795962,-24.873334237234666,-13.400000411085784,2.748931223410899
27,-28.40000105369836,-24.116667538151766,-11.100000351201743,3.0532725056820333
28,-31.700001195073128,-25.074167578527703,-16.200000531040132,2.9549041243146474
29,-29.70000110939145,-25.302500920998863,-19.30000066384673,2.1957236839871315
30,-30.250001132953912,-24.527500889085545,-14.500000458210707,3.0221189364743837
31,-28.500001057982445,-24.44083421935017,-15.600000505335629,2.4868068169899984
32,-29.90000111795962,-24.929167571671616,-20.000000693835318,2.019845205731733
33,-30.300001135095954,-24.54333422180886,-12.00000035110861,2.842658306572208
34,-28.700001066550612,-24.90250090450669,-16.050000524614006,2.1491166742902594
35,-29.500001100823283,-24.82583423519973,-19.25000066170469,2.473063180557428
36,-28.800001070834696,-25.13416758045399,-16.90000056102872,1.9504806155203729
37,-28.700001066550612,-24.790834233056135,-6.500000115483999,3.0285103752889166
38,-28.500001057982445,-24.842500901292077,-17.500000586733222,1.836909280769418
39,-28.800001070834696,-24.10333420295889,-6.00000009406358,3.297105774310705
