Generation,Min,Mean,Max,Std
-1,-25.94548707361294,-25.94548707361294,-25.94548707361294,0.0
0,-20.256945152776705,-20.256945152776705,-20.256945152776705,0.0
1,-23.036111959440557,-23.036111959440557,-23.036111959440557,0.0
2,-22.967014723790474,-22.967014723790474,-22.967014723790474,0.0
3,-24.598612008933234,-24.598612008933234,-24.598612008933234,0.0
4,-22.6354174943408,-22.6354174943408,-22.6354174943408,0.0
5,-24.763542575043783,-24.763542575043783,-24.763542575043783,0.0
6,-23.765278657345334,-23.765278657345334,-23.765278657345334,0.0
7,-25.499306502431864,-25.499306502431864,-25.499306502431864,0.0
8,-23.43611198704457,-23.43611198704457,-23.43611198704457,0.0
9,-24.85937590550424,-24.85937590550424,-24.85937590550424,0.0
10,-23.886459204135463,-23.886459204135463,-23.886459204135463,0.0
11,-22.395834136786615,-22.395834136786615,-22.395834136786615,0.0
12,-24.70798702408663,-24.70798702408663,-24.70798702408663,0.0
13,-22.88993139064405,-22.88993139064405,-22.88993139064405,0.0
14,-25.534723188330343,-25.534723188330343,-25.534723188330343,0.0
15,-21.927084123683418,-21.927084123683418,-21.927084123683418,0.0
16,-21.575347987035965,-21.575347987035965,-21.575347987035965,0.0
17,-20.098959041875787,-20.098959041875787,-20.098959041875787,0.0
18,-24.92604260643,-24.92604260643,-24.92604260643,0.0
19,-22.8930563733318,-22.8930563733318,-22.8930563733318,0.0
20,-23.231945318609686,-23.231945318609686,-23.231945318609686,0.0
21,-23.719792558242464,-23.719792558242464,-23.719792558242464,0.0
22,-20.98611187161684,-20.98611187161684,-20.98611187161684,0.0
23,-24.239236997026538,-24.239236997026538,-24.239236997026538,0.0
24,-22.040973010472953,-22.040973010472953,-22.040973010472953,0.0
25,-24.271875905028235,-24.271875905028235,-24.271875905028235,0.0
26,-23.227084189844188,-23.227084189844188,-23.227084189844188,0.0
27,-23.59201473660909,-23.59201473660909,-23.59201473660909,0.0
28,-24.32743144176008,-24.32743144176008,-24.32743144176008,0.0
29,-22.516667499721127,-22.516667499721127,-22.516667499721127,0.0
30,-21.091320195500483,-21.091320195500483,-21.091320195500483,0.0
31,-22.69097303563548,-22.69097303563548,-22.69097303563548,0.0
32,-19.264236818785623,-19.264236818785623,-19.264236818785623,0.0
33,-22.862848042193544,-22.862848042193544,-22.862848042193544,0.0
34,-24.1256953185172,-24.1256953185172,-24.1256953185172,0.0
35,-23.784375866428793,-23.784375866428793,-23.784375866428793,0.0
36,-24.39826481302023,-24.39826481302023,-24.39826481302023,0.0
37,-21.66458410197002,-21.66458410197002,-21.66458410197002,0.0
38,-24.585417560434305,-24.585417560434305,-24.585417560434305,0.0
39,-24.096875890284235,-24.096875890284235,-24.096875890284235,0.0
