Generation,Min,Mean,Max,Std
-1,-21.996181355844275,-21.996181355844275,-21.996181355844275,0.0
0,-23.884375867223653,-23.884375867223653,-23.884375867223653,0.0
1,-24.76215368958462,-24.76215368958462,-24.76215368958462,0.0
2,-21.550347999921843,-21.550347999921843,-21.550347999921843,0.0
3,-23.0479175189911,-23.0479175189911,-23.0479175189911,0.0
4,-21.34930631068548,-21.34930631068548,-21.34930631068548,0.0
5,-24.223264777609277,-24.223264777609277,-24.223264777609277,0.0
6,-25.70555651824624,-25.70555651824624,-25.70555651824624,0.0
7,-22.744792499026516,-22.744792499026516,-22.744792499026516,0.0
8,-24.11007033180471,-24.11007033180471,-24.11007033180471,0.0
9,-24.70000091263339,-24.70000091263339,-24.70000091263339,0.0
10,-23.50694530945556,-23.50694530945556,-23.50694530945556,0.0
11,-25.56562595669594,-25.56562595669594,-25.56562595669594,0.0
12,-22.347223054869875,-22.347223054869875,-22.347223054869875,0.0
13,-25.314584261828312,-25.314584261828312,-25.314584261828312,0.0
14,-23.80555642289174,-23.80555642289174,-23.80555642289174,0.0
15,-25.184028700679644,-25.184028700679644,-25.184028700679644,0.0
16,-21.836806345527293,-21.836806345527293,-21.836806345527293,0.0
17,-25.248264821521136,-25.248264821521136,-25.248264821521136,0.0
18,-22.694792486416798,-22.694792486416798,-22.694792486416798,0.0
19,-25.407987057564444,-25.407987057564444,-25.407987057564444,0.0
20,-24.834375925368576,-24.834375925368576,-24.834375925368576,0.0
21,-25.14687593177789,-25.14687593177789,-25.14687593177789,0.0
22,-25.06770925125198,-25.06770925125198,-25.06770925125198,0.0
23,-23.79965363788263,-23.79965363788263,-23.79965363788263,0.0
24,-21.57048688269505,-21.57048688269505,-21.57048688269505,0.0
25,-23.91597309428875,-23.91597309428875,-23.91597309428875,0.0
26,-22.03784801731753,-22.03784801731753,-22.03784801731753,0.0
27,-23.062153613265966,-23.062153613265966,-23.062153613265966,0.0
28,-25.328125936053564,-25.328125936053564,-25.328125936053564,0.0
29,-24.972917573545903,-24.972917573545903,-24.972917573545903,0.0
30,-25.945487077102168,-25.945487077102168,-25.945487077102168,0.0
31,-25.183681485421,-25.183681485421,-25.183681485421,0.0
32,-23.805903648618067,-23.805903648618067,-23.805903648618067,0.0
33,-20.101389604513923,-20.101389604513923,-20.101389604513923,0.0
34,-24.488889795967324,-24.488889795967324,-24.488889795967324,0.0
35,-23.0128480663342,-23.0128480663342,-23.0128480663342,0.0
36,-24.36388976994527,-24.36388976994527,-24.36388976994527,0.0
37,-23.70659807485127,-23.70659807485127,-23.70659807485127,0.0
38,-24.72361201777757,-24.72361201777757,-24.72361201777757,0.0
39,-25.453473156667314,-25.453473156667314,-25.453473156667314,0.0
