Generation,Min,Mean,Max,Std
-1,-24.7368064805018,-24.7368064805018,-24.7368064805018,0.0
0,-25.014931485438463,-25.014931485438463,-25.014931485438463,0.0
1,-25.560070393923926,-25.560070393923926,-25.560070393923926,0.0
2,-25.97118150869048,-25.97118150869048,-25.97118150869048,0.0
3,-21.36632021774939,-21.36632021774939,-21.36632021774939,0.0
4,-22.150348008180217,-22.150348008180217,-22.150348008180217,0.0
5,-23.963195318534016,-23.963195318534016,-23.963195318534016,0.0
6,-24.222917552151355,-24.222917552151355,-24.222917552151355,0.0
7,-24.859028690245598,-24.859028690245598,-24.859028690245598,0.0
8,-21.795486895823462,-21.795486895823462,-21.795486895823462,0.0
9,-25.069445369415917,-25.069445369415917,-25.069445369415917,0.0
10,-23.352431403479486,-23.352431403479486,-23.352431403479486,0.0
11,-25.314584268806758,-25.314584268806758,-25.314584268806758,0.0
12,-22.196875791440508,-22.196875791440508,-22.196875791440508,0.0
13,-23.856945303514497,-23.856945303514497,-23.856945303514497,0.0
14,-26.046181522371224,-26.046181522371224,-26.046181522371224,0.0
15,-23.125695282654814,-23.125695282654814,-23.125695282654814,0.0
16,-26.45382042174525,-26.45382042174525,-26.45382042174525,0.0
17,-25.47013982753722,-25.47013982753722,-25.47013982753722,0.0
18,-22.198611927050578,-22.198611927050578,-22.198611927050578,0.0
19,-26.721528766547433,-26.721528766547433,-26.721528766547433,0.0
20,-21.444792436354973,-21.444792436354973,-21.444792436354973,0.0
21,-22.376042480008135,-22.376042480008135,-22.376042480008135,0.0
22,-25.344098151981598,-25.344098151981598,-25.344098151981598,0.0
23,-22.133681386159477,-22.133681386159477,-22.133681386159477,0.0
24,-25.178820374101633,-25.178820374101633,-25.178820374101633,0.0
25,-23.639584190069908,-23.639584190069908,-23.639584190069908,0.0
26,-23.575348076206865,-23.575348076206865,-23.575348076206865,0.0
27,-23.798264756181098,-23.798264756181098,-23.798264756181098,0.0
28,-25.110764808652068,-25.110764808652068,-25.110764808652068,0.0
29,-27.040278790670627,-27.040278790670627,-27.040278790670627,0.0
30,-23.82118142356113,-23.82118142356113,-23.82118142356113,0.0
31,-24.69166756847537,-24.69166756847537,-24.69166756847537,0.0
32,-23.840973087586462,-23.840973087586462,-23.840973087586462,0.0
33,-24.717362014020583,-24.717362014020583,-24.717362014020583,0.0
34,-25.175695373967756,-25.175695373967756,-25.175695373967756,0.0
35,-23.515973080641643,-23.515973080641643,-23.515973080641643,0.0
36,-23.988195312626583,-23.988195312626583,-23.988195312626583,0.0
37,-22.67604249608121,-22.67604249608121,-22.67604249608121,0.0
38,-24.71319535764309,-24.71319535764309,-24.71319535764309,0.0
39,-24.560070354572318,-24.560070354572318,-24.560070354572318,0.0
