Generation,Min,Mean,Max,Std
-1,-26.495834311897244,-23.83215364845237,-19.758334032919567,1.5123895037110633
0,-26.433334302778047,-23.781389760877936,-20.208334042535473,1.2508556530620234
1,-27.44583435259604,-23.571181417143407,-20.51666739229889,1.5513589182231653
2,-26.370834303321317,-24.094028661925893,-21.016667420160957,1.1512871609047948
3,-26.320834304400098,-23.9054869845516,-20.45833405002486,1.2504706816721334
4,-26.675000986239564,-24.03507032300889,-19.958334025383618,1.507941484278684
5,-27.283334342413582,-23.67652864275345,-19.662500695480656,1.775726155432648
6,-27.012501000698347,-23.772848091857227,-18.033333942915004,1.6738862581624452
7,-26.3000009637326,-23.839098095282033,-20.925000752788037,1.2817257100812613
8,-26.53750099001142,-24.017223104419994,-19.345834008806076,1.3934070462353016
9,-27.04166768793948,-24.107848112268968,-21.137500752229244,1.472083667667708
10,-27.50000103446655,-23.825834205184627,-19.595834019516285,1.6400030669569785
11,-26.420834311905008,-23.39236196332042,-16.995833940338343,1.7558417066644072
12,-26.20416764561863,-23.351389741327143,-19.38333400397096,1.4843596234640195
13,-25.920834296926234,-23.377500851089525,-19.958334025383618,1.4065835007873073
14,-26.69166765039942,-23.52479252513602,-16.45833388188233,1.723918888143546
15,-26.225000960519537,-23.416667521796057,-19.775000687416952,1.546235973439804
16,-26.591667655777808,-23.57194530622413,-19.179167338220093,1.7011829132710237
17,-26.825000999107335,-23.338611963858906,-19.258334017940797,1.6265178569724554
18,-26.07916762093858,-23.66583420180961,-20.108334041472215,1.3935624279439656
19,-26.904167672386393,-24.197361998990207,-19.87083403451834,1.368425198098027
20,-27.437501022126526,-24.666875908528326,-20.12083404844937,1.4432092185729286
21,-26.850001016282476,-24.121875884213818,-20.395834044126484,1.5925937168465931
22,-26.387500977143645,-24.201181444453276,-21.866667453354847,1.199488291208448
23,-27.133334342429105,-24.113959216452592,-20.033334035038326,1.4852286095870533
24,-27.26250101462938,-24.39507034122103,-21.658334107875515,1.2110669982628721
25,-26.925000990508124,-24.284862001931632,-20.429167401433613,1.5705522729271115
26,-26.662500979262404,-23.91868143111416,-20.237500704010017,1.4987299435956598
27,-27.245834360131994,-23.9743758809507,-20.954167407820933,1.5316121388262476
28,-26.562500984640792,-23.454028633434145,-19.5625006815341,1.3177894351218664
29,-26.51666764934392,-23.792014757897576,-20.670834081674304,1.4103602657011975
30,-26.412500994318787,-24.002986993768715,-19.970834038802423,1.5836385809820552
31,-26.116667641870055,-23.92722309911882,-21.387500804810163,1.216102580962952
32,-26.516667642902274,-24.112014772306434,-21.53333410252041,1.209546160359508
33,-26.6625009921457,-23.897848095874192,-19.625000693874124,1.4334574391826966
34,-26.62083431725235,-23.888403653222166,-19.337500678336557,1.516423865213128
35,-26.995834326876018,-23.65986197569485,-17.504167256799217,1.688459158170106
36,-26.229167633806355,-23.6578480888572,-18.887500655837357,1.4827627300513364
37,-26.383334319960948,-24.18319533279023,-21.354167431398917,1.2181966175128205
38,-26.52500097659261,-24.294723117594717,-21.183334077863645,1.2520189929784817
39,-26.70000098408976,-23.99812588063198,-20.337500727619044,1.5742380931838202
