Generation,Min,Mean,Max,Std
-1,-24.203473099627043,-24.203473099627043,-24.203473099627043,0.0
0,-21.769445287357993,-21.769445287357993,-21.769445287357993,0.0
1,-22.781598045691172,-22.781598045691172,-22.781598045691172,0.0
2,-23.717709189927618,-23.717709189927618,-23.717709189927618,0.0
3,-24.564584233186906,-24.564584233186906,-24.564584233186906,0.0
4,-22.617014694839273,-22.617014694839273,-22.617014694839273,0.0
5,-23.696875855701766,-23.696875855701766,-23.696875855701766,0.0
6,-25.39652871756698,-25.39652871756698,-25.39652871756698,0.0
7,-25.00625091179649,-25.00625091179649,-25.00625091179649,0.0
8,-21.35382021372465,-21.35382021372465,-21.35382021372465,0.0
9,-22.33368135634616,-22.33368135634616,-22.33368135634616,0.0
10,-21.15312576068229,-21.15312576068229,-21.15312576068229,0.0
11,-25.77187595157496,-25.77187595157496,-25.77187595157496,0.0
12,-19.514584017109073,-19.514584017109073,-19.514584017109073,0.0
13,-23.765278646877658,-23.765278646877658,-23.765278646877658,0.0
14,-21.423959109644382,-21.423959109644382,-21.423959109644382,0.0
15,-23.048264755185098,-23.048264755185098,-23.048264755185098,0.0
16,-22.82951472863594,-22.82951472863594,-22.82951472863594,0.0
17,-24.38541755884459,-24.38541755884459,-24.38541755884459,0.0
18,-25.735417613190496,-25.735417613190496,-25.735417613190496,0.0
19,-24.440625884075416,-24.440625884075416,-24.440625884075416,0.0
20,-23.20034807758768,-23.20034807758768,-23.20034807758768,0.0
21,-22.570834137305308,-22.570834137305308,-22.570834137305308,0.0
22,-25.140278702294584,-25.140278702294584,-25.140278702294584,0.0
23,-26.569098204461625,-26.569098204461625,-26.569098204461625,0.0
24,-26.5236120844234,-26.5236120844234,-26.5236120844234,0.0
25,-25.373959264371987,-25.373959264371987,-25.373959264371987,0.0
26,-25.485417602480286,-25.485417602480286,-25.485417602480286,0.0
27,-26.771528768689475,-26.771528768689475,-26.771528768689475,0.0
28,-22.48645916160442,-22.48645916160442,-22.48645916160442,0.0
29,-24.558334229429928,-24.558334229429928,-24.558334229429928,0.0
30,-22.627778587678524,-22.627778587678524,-22.627778587678524,0.0
31,-23.379861956720962,-23.379861956720962,-23.379861956720962,0.0
32,-24.1923620124645,-24.1923620124645,-24.1923620124645,0.0
33,-19.452778469641796,-19.452778469641796,-19.452778469641796,0.0
34,-24.43715367217212,-24.43715367217212,-24.43715367217212,0.0
35,-24.055209218343307,-24.055209218343307,-24.055209218343307,0.0
36,-22.11388969073111,-22.11388969073111,-22.11388969073111,0.0
37,-25.20104260774355,-25.20104260774355,-25.20104260774355,0.0
38,-23.44270918512484,-23.44270918512484,-23.44270918512484,0.0
39,-24.51909812012713,-24.51909812012713,-24.51909812012713,0.0
