Generation,Min,Mean,Max,Std
-1,-26.381945422155294,-26.381945422155294,-26.381945422155294,0.0
0,-21.510417432187953,-21.510417432187953,-21.510417432187953,0.0
1,-24.49166755292875,-24.49166755292875,-24.49166755292875,0.0
2,-23.4069452947038,-23.4069452947038,-23.4069452947038,0.0
3,-25.455209271342028,-25.455209271342028,-25.455209271342028,0.0
4,-24.898959240533358,-24.898959240533358,-24.898959240533358,0.0
5,-23.953473088916834,-23.953473088916834,-23.953473088916834,0.0
6,-23.057292519392732,-23.057292519392732,-23.057292519392732,0.0
7,-24.366320339293452,-24.366320339293452,-24.366320339293452,0.0
8,-22.85382026751823,-22.85382026751823,-22.85382026751823,0.0
9,-24.678820356170437,-24.678820356170437,-24.678820356170437,0.0
10,-26.363542633121444,-26.363542633121444,-26.363542633121444,0.0
11,-25.547917622603965,-25.547917622603965,-25.547917622603965,0.0
12,-25.532639826725546,-25.532639826725546,-25.532639826725546,0.0
13,-20.167014624771483,-20.167014624771483,-20.167014624771483,0.0
14,-22.742361939877608,-22.742361939877608,-22.742361939877608,0.0
15,-24.30277867688306,-24.30277867688306,-24.30277867688306,0.0
16,-24.941320391840744,-24.941320391840744,-24.941320391840744,0.0
17,-25.276389836682938,-25.276389836682938,-25.276389836682938,0.0
18,-21.333334115692804,-21.333334115692804,-21.333334115692804,0.0
19,-21.689236898250076,-21.689236898250076,-21.689236898250076,0.0
20,-24.741667584574316,-24.741667584574316,-24.741667584574316,0.0
21,-24.98645924428193,-24.98645924428193,-24.98645924428193,0.0
22,-21.907986931919975,-21.907986931919975,-21.907986931919975,0.0
23,-23.260764722418063,-23.260764722418063,-23.260764722418063,0.0
24,-22.1260424794972,-22.1260424794972,-22.1260424794972,0.0
25,-25.936459302426858,-25.936459302426858,-25.936459302426858,0.0
26,-23.420834184187697,-23.420834184187697,-23.420834184187697,0.0
27,-26.04930651552665,-26.04930651552665,-26.04930651552665,0.0
28,-23.102431389280053,-23.102431389280053,-23.102431389280053,0.0
29,-26.24513986073887,-26.24513986073887,-26.24513986073887,0.0
30,-25.45000093429634,-25.45000093429634,-25.45000093429634,0.0
31,-26.959028769743682,-26.959028769743682,-26.959028769743682,0.0
32,-22.057986893112282,-22.057986893112282,-22.057986893112282,0.0
33,-23.45625084915082,-23.45625084915082,-23.45625084915082,0.0
34,-23.951736984709797,-23.951736984709797,-23.951736984709797,0.0
35,-23.770139754707795,-23.770139754707795,-23.770139754707795,0.0
36,-24.474653677536278,-24.474653677536278,-24.474653677536278,0.0
37,-24.098611987512815,-24.098611987512815,-24.098611987512815,0.0
38,-21.526389665562117,-21.526389665562117,-21.526389665562117,0.0
39,-24.380903669762322,-24.380903669762322,-24.380903669762322,0.0
