Generation,Min,Mean,Max,Std
-1,-30.900001160800457,-23.377500843039403,-4.100000012665987,5.596594628721033
0,-30.400001139380038,-23.89750086851418,-5.7000000812113285,4.76308240640314
1,-31.400001182220876,-23.557500850750753,-5.000000051222742,5.418854854829378
2,-30.100001126527786,-23.647500858471417,-10.800000299699605,4.004491661323296
3,-29.000001079402864,-22.709167481718275,-4.9500000490807,4.397276728082096
4,-28.700001066550612,-22.38083413753969,-4.800000042654574,5.6020615532348845
5,-29.050001081544906,-22.156667458692876,-3.599999991245568,4.742261149267445
6,-30.300001135095954,-22.725834146522295,-3.6999999955296516,5.981899978724964
7,-31.50000118650496,-23.557500849462425,-5.7000000812113285,5.493828779833589
8,-30.400001139380038,-23.959167538490146,-4.200000016950071,5.602034773698711
9,-29.800001113675535,-24.402500885018767,-5.800000085495412,4.573788056792906
10,-30.400001139380038,-22.731667482038027,-4.70000003837049,6.397212992564434
11,-31.600001190789044,-25.43000093676771,-18.50000062957406,2.6433124231332807
12,-29.500001100823283,-25.09166758378657,-16.500000543892384,2.4584238327389767
13,-32.80000124219805,-24.73666756535725,-4.150000014808029,4.122861912226644
14,-31.20000117365271,-23.781667527665075,-3.6999999955296516,4.313302926517247
15,-29.800001113675535,-24.01583420371947,-6.00000009406358,4.98961853245696
16,-31.100001169368625,-24.43583422235679,-5.350000104866922,4.499917705525736
17,-30.55000118445605,-24.298334219042832,-4.000000008381903,5.471479063832404
18,-29.90000111795962,-25.73583427547322,-8.60000020544976,3.0288900749740377
19,-31.50000118650496,-23.922500869608484,-5.000000051222742,4.62481933629182
20,-30.600001147948205,-24.0008342005002,-4.900000046938658,6.416817319005632
21,-30.600001147948205,-24.75083423520749,-4.900000046938658,4.550865420815348
22,-31.20000117365271,-24.464167553683122,-4.4000000255182385,4.410235364689731
23,-29.850001115817577,-23.41500084400177,-4.900000046938658,5.702260762505058
24,-30.45000114152208,-24.810834235845444,-14.750000468920916,3.233381904310624
25,-29.800001113675535,-25.261667589781187,-14.350000451784581,2.775343438782305
26,-29.4000010965392,-24.74916756718109,-4.500000029802322,3.910674572886509
27,-30.650001150090247,-25.070834249560722,-3.9000000040978193,4.353373317571735
28,-30.550001145806164,-25.88083428039681,-13.050000396091491,3.085559125492098
29,-30.300001135095954,-24.880834242065127,-3.6499999933876097,3.929345869785312
30,-30.900001160800457,-25.29250092250295,-5.900000089779496,4.482408632377854
31,-30.250001132953912,-25.341667591275957,-14.950000477489084,3.13216081718289
32,-30.50000114366412,-24.84583423798904,-15.900000595487654,3.031189273524861
33,-32.5000012293458,-25.50166759748633,-4.600000034086406,3.7988044336464406
34,-30.600001147948205,-24.975000912121807,-8.85000021615997,4.047453075583827
35,-30.300001135095954,-25.227500926159944,-10.800000299699605,3.717430100020608
36,-30.000001122243702,-25.371667597070335,-11.250000318977982,3.3751466439461324
37,-29.100001083686948,-24.851667574148937,-7.0000001369044185,3.471166696246453
38,-32.60000123362988,-25.25750092615684,-17.100000569596887,3.423957713356278
39,-31.50000118650496,-24.82083424013884,-4.6500001908279955,4.7244339441014525
