Generation,Min,Mean,Max,Std
-1,-24.160070368839015,-24.160070368839015,-24.160070368839015,0.0
0,-22.154514702939196,-22.154514702939196,-22.154514702939196,0.0
1,-21.408681313229156,-21.408681313229156,-21.408681313229156,0.0
2,-25.12916760117514,-25.12916760117514,-25.12916760117514,0.0
3,-24.09375089363958,-24.09375089363958,-24.09375089363958,0.0
4,-24.981945369156566,-24.981945369156566,-24.981945369156566,0.0
5,-24.239584236709764,-24.239584236709764,-24.239584236709764,0.0
6,-20.319097936974785,-20.319097936974785,-20.319097936974785,0.0
7,-24.614237020070302,-24.614237020070302,-24.614237020070302,0.0
8,-24.648612007854453,-24.648612007854453,-24.648612007854453,0.0
9,-21.317709104555735,-21.317709104555735,-21.317709104555735,0.0
10,-22.323611935894913,-22.323611935894913,-22.323611935894913,0.0
11,-25.991667617190007,-25.991667617190007,-25.991667617190007,0.0
12,-25.091320377331513,-25.091320377331513,-25.091320377331513,0.0
13,-21.607639662064482,-21.607639662064482,-21.607639662064482,0.0
14,-25.586112058217015,-25.586112058217015,-25.586112058217015,0.0
15,-23.690278643664595,-23.690278643664595,-23.690278643664595,0.0
16,-24.593403692822903,-24.593403692822903,-24.593403692822903,0.0
17,-24.464931440672242,-24.464931440672242,-24.464931440672242,0.0
18,-23.818403638685897,-23.818403638685897,-23.818403638685897,0.0
19,-23.82986197948857,-23.82986197948857,-23.82986197948857,0.0
20,-23.264236965724397,-23.264236965724397,-23.264236965724397,0.0
21,-23.933334216611303,-23.933334216611303,-23.933334216611303,0.0
22,-27.452778797874796,-27.452778797874796,-27.452778797874796,0.0
23,-23.770486990901798,-23.770486990901798,-23.770486990901798,0.0
24,-26.445487088054907,-26.445487088054907,-26.445487088054907,0.0
25,-24.18750090114514,-24.18750090114514,-24.18750090114514,0.0
26,-22.388889726810802,-22.388889726810802,-22.388889726810802,0.0
27,-24.042709210829344,-24.042709210829344,-24.042709210829344,0.0
28,-22.46840359480767,-22.46840359480767,-22.46840359480767,0.0
29,-22.900695276504848,-22.900695276504848,-22.900695276504848,0.0
30,-24.460764791541603,-24.460764791541603,-24.460764791541603,0.0
31,-24.34652867875735,-24.34652867875735,-24.34652867875735,0.0
32,-24.569445347995497,-24.569445347995497,-24.569445347995497,0.0
33,-26.17882040298557,-26.17882040298557,-26.17882040298557,0.0
34,-24.36875090891004,-24.36875090891004,-24.36875090891004,0.0
35,-25.165278703365605,-25.165278703365605,-25.165278703365605,0.0
36,-23.148264735044602,-23.148264735044602,-23.148264735044602,0.0
37,-26.36007041772892,-26.36007041772892,-26.36007041772892,0.0
38,-26.42118156286112,-26.42118156286112,-26.42118156286112,0.0
39,-24.845834245235892,-24.845834245235892,-24.845834245235892,0.0
