Generation,Min,Mean,Max,Std
-1,-23.218056394233525,-23.218056394233525,-23.218056394233525,0.0
0,-24.17534810888982,-24.17534810888982,-24.17534810888982,0.0
1,-22.776389701667032,-22.776389701667032,-22.776389701667032,0.0
2,-23.82048698257616,-23.82048698257616,-23.82048698257616,0.0
3,-22.207986910006085,-22.207986910006085,-22.207986910006085,0.0
4,-23.538542546988335,-23.538542546988335,-23.538542546988335,0.0
5,-20.662153506958727,-20.662153506958727,-20.662153506958727,0.0
6,-25.334723165536868,-25.334723165536868,-25.334723165536868,0.0
7,-24.381945332984387,-24.381945332984387,-24.381945332984387,0.0
8,-23.19062583401359,-23.19062583401359,-23.19062583401359,0.0
9,-22.638195258280675,-22.638195258280675,-22.638195258280675,0.0
10,-23.131945300368695,-23.131945300368695,-23.131945300368695,0.0
11,-22.44965359051518,-22.44965359051518,-22.44965359051518,0.0
12,-23.692709265493452,-23.692709265493452,-23.692709265493452,0.0
13,-23.381598067906452,-23.381598067906452,-23.381598067906452,0.0
14,-22.40833415476825,-22.40833415476825,-22.40833415476825,0.0
15,-23.896528645522064,-23.896528645522064,-23.896528645522064,0.0
16,-24.30694536104824,-24.30694536104824,-24.30694536104824,0.0
17,-26.117014848271438,-26.117014848271438,-26.117014848271438,0.0
18,-26.6041676538977,-26.6041676538977,-26.6041676538977,0.0
19,-23.926389764890903,-23.926389764890903,-23.926389764890903,0.0
20,-24.779862013208913,-24.779862013208913,-24.779862013208913,0.0
21,-22.76875083687547,-22.76875083687547,-22.76875083687547,0.0
22,-24.36145922448486,-24.36145922448486,-24.36145922448486,0.0
23,-26.24340374257493,-26.24340374257493,-26.24340374257493,0.0
24,-26.05347318586104,-26.05347318586104,-26.05347318586104,0.0
25,-22.83784804810097,-22.83784804810097,-22.83784804810097,0.0
26,-25.818403748792154,-25.818403748792154,-25.818403748792154,0.0
27,-26.006250958126557,-26.006250958126557,-26.006250958126557,0.0
28,-24.179167563965567,-24.179167563965567,-24.179167563965567,0.0
29,-22.769098045155662,-22.769098045155662,-22.769098045155662,0.0
30,-23.959375894861296,-23.959375894861296,-23.959375894861296,0.0
31,-25.207639819780727,-25.207639819780727,-25.207639819780727,0.0
32,-24.29062589509542,-24.29062589509542,-24.29062589509542,0.0
33,-22.278125798410557,-22.278125798410557,-22.278125798410557,0.0
34,-23.231945301163552,-23.231945301163552,-23.231945301163552,0.0
35,-22.499306366930895,-22.499306366930895,-22.499306366930895,0.0
36,-24.30590367701694,-24.30590367701694,-24.30590367701694,0.0
37,-22.08784801597034,-22.08784801597034,-22.08784801597034,0.0
38,-23.304514783609193,-23.304514783609193,-23.304514783609193,0.0
39,-22.562153640694707,-22.562153640694707,-22.562153640694707,0.0
